time_s,tracker_id,qx,qy,qz,qw,raw_grip
0.1930,CubeRed,-0.0028,-0.0273,0.0031,0.9996,0
0.1934,CubeBlue,-0.0047,-0.0081,0.0129,0.9999,0
0.2429,CubeRed,-0.0016,-0.0274,0.0023,0.9996,0
0.2430,CubeBlue,-0.0041,-0.0082,0.0125,0.9999,0
0.4102,CubeRed,-0.0023,-0.0274,0.0027,0.9996,0
0.4105,CubeBlue,-0.0037,-0.0082,0.0119,0.9999,0
0.4355,CubeRed,-0.0029,-0.0275,0.0033,0.9996,0
0.4358,CubeBlue,-0.0048,-0.0082,0.0133,0.9999,0
0.4712,CubeRed,-0.0031,-0.0275,0.0024,0.9996,0
0.4715,CubeBlue,-0.0046,-0.0082,0.0123,0.9999,0
0.6073,CubeRed,-0.0026,-0.0275,0.0025,0.9996,0
0.6077,CubeBlue,-0.0046,-0.0082,0.0120,0.9999,0
0.6252,CubeRed,-0.0028,-0.0275,0.0028,0.9996,0
0.6256,CubeBlue,-0.0043,-0.0082,0.0127,0.9999,0
0.6755,CubeRed,-0.0028,-0.0275,0.0028,0.9996,0
0.6757,CubeBlue,-0.0043,-0.0082,0.0131,0.9999,0
0.7987,CubeRed,-0.0026,-0.0276,0.0033,0.9996,0
0.7990,CubeBlue,-0.0039,-0.0082,0.0131,0.9999,0
0.8165,CubeRed,-0.0028,-0.0276,0.0030,0.9996,0
0.8168,CubeBlue,-0.0055,-0.0082,0.0116,0.9999,0
0.8626,CubeRed,-0.0030,-0.0276,0.0026,0.9996,0
0.8628,CubeBlue,-0.0055,-0.0082,0.0116,0.9999,0
0.9798,CubeRed,-0.0026,-0.0276,0.0028,0.9996,0
0.9800,CubeBlue,-0.0045,-0.0082,0.0130,0.9999,0
0.9969,CubeRed,-0.0024,-0.0277,0.0025,0.9996,0
0.9971,CubeBlue,-0.0033,-0.0082,0.0124,0.9999,0
1.0444,CubeRed,-0.0023,-0.0277,0.0032,0.9996,0
1.0447,CubeBlue,-0.0033,-0.0082,0.0124,0.9999,0
1.1947,CubeRed,-0.0023,-0.0277,0.0032,0.9996,0
1.1950,CubeBlue,-0.0045,-0.0082,0.0124,0.9999,0
1.2147,CubeRed,-0.0031,-0.0277,0.0029,0.9996,0
1.2151,CubeBlue,-0.0044,-0.0082,0.0127,0.9999,0
