time_s,tracker_id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,euler_x,euler_y,euler_z,vel_x,vel_y,vel_z,speed_mps,ang_vel_deg_s,is_gripping,grip_source,contact_level,raw_grip,imu_delta_deg,down_face_x,down_face_y,down_face_z
0.1931,CubeRed,0.0000,0.0000,0.0000,0.0000,-0.0273,0.0000,0.9996,0.00,356.87,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,3.168,0.00,-1.00,0.00
0.1935,CubeBlue,0.0000,0.0000,0.0000,0.0000,-0.0082,0.0000,1.0000,0.00,359.06,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,1.827,0.00,-1.00,0.00
0.2430,CubeRed,0.0000,0.0000,0.0000,0.0000,0.0274,0.0000,-0.9996,0.00,356.86,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.168,0.00,-1.00,0.00
0.2431,CubeBlue,0.0000,0.0000,0.0000,0.0000,0.0083,0.0000,-1.0000,0.00,359.05,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.4105,CubeRed,0.0000,0.0000,0.0000,0.0000,0.0274,0.0000,-0.9996,0.00,356.86,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.4106,CubeBlue,0.0000,0.0000,0.0000,0.0000,0.0082,0.0000,-1.0000,0.00,359.06,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.4357,CubeRed,0.0000,0.0000,0.0000,0.0000,0.0275,0.0000,-0.9996,0.00,356.85,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.4358,CubeBlue,0.0000,0.0000,0.0000,0.0000,0.0083,0.0000,-1.0000,0.00,359.05,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.202,0.00,-1.00,0.00
0.4714,CubeRed,0.0000,0.0000,0.0000,0.0000,0.0275,0.0000,-0.9996,0.00,356.85,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.4715,CubeBlue,0.0000,0.0000,0.0000,0.0000,0.0083,0.0000,-1.0000,0.00,359.05,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.6076,CubeRed,-0.0442,0.0828,0.2208,0.0000,0.0275,0.0000,-0.9996,0.00,356.85,0.00,-1.2914,2.4167,6.4479,7.0060,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.6079,CubeBlue,-0.0148,0.0828,0.2177,0.0000,0.0083,0.0000,-1.0000,0.00,359.05,0.00,-0.4333,2.4167,6.3562,6.8139,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.6253,CubeRed,-0.1843,0.3449,0.9202,0.0000,0.0276,0.0000,-0.9996,0.00,356.84,0.00,-1.0261,1.9202,5.1231,5.5665,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.6257,CubeBlue,-0.0618,0.3449,0.9071,0.0000,0.0083,0.0000,-1.0000,0.00,359.05,0.00,-0.3443,1.9202,5.0502,5.4139,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.6756,CubeRed,-0.1876,0.3511,0.9368,0.0000,0.0276,0.0000,-0.9996,0.00,356.84,0.00,-0.1856,0.3473,0.9265,1.0067,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.6758,CubeBlue,-0.0630,0.3511,0.9235,0.0000,0.0083,0.0000,-1.0000,0.00,359.05,0.00,-0.0623,0.3473,0.9133,0.9791,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.7989,CubeRed,-0.1958,0.3665,0.9778,0.0000,0.0146,0.0000,-0.9999,0.00,358.32,0.00,-0.1656,0.3099,0.8269,0.8985,29.90,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.7991,CubeBlue,-0.0657,0.3665,0.9639,0.0000,-0.1173,0.0000,-0.9931,0.00,13.47,0.00,-0.0556,0.3099,0.8152,0.8739,290.98,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.8167,CubeRed,-0.2104,0.3937,1.0503,0.0000,0.0146,0.0000,-0.9999,0.00,358.32,0.00,-0.1164,0.2178,0.5811,0.6313,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.8169,CubeBlue,-0.0722,0.4028,1.0594,0.0000,0.1173,0.0000,0.9931,0.00,13.47,0.00,-0.0521,0.2908,0.7649,0.8199,0.00,0,none,Resting,0,0.247,0.00,-1.00,0.00
0.8628,CubeRed,-0.2152,0.4028,1.0747,0.0000,0.0146,0.0000,-0.9999,0.00,358.32,0.00,-0.2970,0.5559,1.4830,1.6114,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.8629,CubeBlue,-0.0722,0.4028,1.0594,0.0000,0.1173,0.0000,0.9931,0.00,13.47,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.9800,CubeRed,-0.2152,0.4028,1.0747,0.0000,0.0147,0.0000,-0.9999,0.00,358.32,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.9801,CubeBlue,-0.0722,0.4028,1.0594,0.0000,0.1173,0.0000,0.9931,0.00,13.47,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.198,0.00,-1.00,0.00
0.9970,CubeRed,-0.2152,0.4028,1.0747,0.0000,0.0147,0.0000,-0.9999,0.00,358.31,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.9972,CubeBlue,-0.0722,0.4028,1.0594,0.0000,0.1173,0.0000,0.9931,0.00,13.47,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.0446,CubeRed,-0.2152,0.4028,1.0747,0.0000,0.0147,0.0000,-0.9999,0.00,358.31,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.0447,CubeBlue,-0.0722,0.4028,1.0594,0.0000,0.1173,0.0000,0.9931,0.00,13.47,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.1949,CubeRed,-0.2152,0.4028,1.0747,0.0000,0.0147,0.0000,-0.9999,0.00,358.31,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.1950,CubeBlue,-0.0722,0.4028,1.0594,0.0000,0.1173,0.0000,0.9931,0.00,13.47,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.2148,CubeRed,-0.2152,0.4028,1.0747,0.0000,0.0147,0.0000,-0.9999,0.00,358.31,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.2152,CubeBlue,-0.0722,0.4028,1.0594,0.0000,0.1173,0.0000,0.9931,0.00,13.48,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.2506,CubeRed,-0.2152,0.4028,1.0747,0.0000,0.0147,0.0000,-0.9999,0.00,358.31,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.2507,CubeBlue,-0.0722,0.4028,1.0594,0.0000,0.1173,0.0000,0.9931,0.00,13.48,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.3800,CubeRed,-0.2152,0.4028,1.0747,0.0000,0.0148,0.0000,-0.9999,0.00,358.31,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.3802,CubeBlue,-0.0722,0.4028,1.0594,0.0000,0.1072,0.0000,0.9942,0.00,12.31,0.00,0.0000,0.0000,0.0000,0.0000,33.04,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.4005,CubeRed,-0.2152,0.4028,1.0747,0.0000,0.0148,0.0000,-0.9999,0.00,358.31,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.4006,CubeBlue,-0.0722,0.4028,1.0594,0.0000,0.0815,0.0000,0.9967,0.00,9.34,0.00,0.0000,0.0000,0.0000,0.0000,22.90,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.4457,CubeRed,-0.2152,0.4028,1.0747,0.0000,0.0148,0.0000,-0.9999,0.00,358.30,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.4458,CubeBlue,-0.0722,0.4028,1.0594,0.0000,0.0814,0.0000,0.9967,0.00,9.34,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.5682,CubeRed,-0.2152,0.4028,1.0747,0.0000,0.0148,0.0000,-0.9999,0.00,358.30,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.5684,CubeBlue,-0.0722,0.4028,1.0594,0.0000,0.0814,0.0000,0.9967,0.00,9.34,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.5865,CubeRed,-0.2152,0.4028,1.0747,0.0000,0.0149,0.0000,-0.9999,0.00,358.30,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.5866,CubeBlue,-0.0722,0.4028,1.0594,0.0000,0.0814,0.0000,0.9967,0.00,9.34,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.6365,CubeRed,-0.2152,0.4028,1.0747,0.0000,0.0149,0.0000,-0.9999,0.00,358.30,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.6366,CubeBlue,-0.0722,0.4028,1.0594,0.0000,0.0814,0.0000,0.9967,0.00,9.34,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
