time_s,tracker_id,pos_x,pos_y,pos_z,rot_y,is_gripping,down_face_x,down_face_y,down_face_z
0.1930,CubeRed,0.0000,0.0000,0.0000,356.87,0,0.00,-1.00,0.00
0.1934,CubeBlue,0.0000,0.0000,0.0000,359.06,0,0.00,-1.00,0.00
0.2429,CubeRed,0.0000,0.0000,0.0000,356.86,0,0.00,-1.00,0.00
0.2430,CubeBlue,0.0000,0.0000,0.0000,359.05,0,0.00,-1.00,0.00
0.4104,CubeRed,0.0000,0.0000,0.0000,356.86,0,0.00,-1.00,0.00
0.4106,CubeBlue,0.0000,0.0000,0.0000,359.06,0,0.00,-1.00,0.00
0.4356,CubeRed,0.0000,0.0000,0.0000,356.85,0,0.00,-1.00,0.00
0.4358,CubeBlue,0.0000,0.0000,0.0000,359.05,0,0.00,-1.00,0.00
0.4713,CubeRed,0.0000,0.0000,0.0000,356.85,0,0.00,-1.00,0.00
0.4715,CubeBlue,0.0000,0.0000,0.0000,359.05,0,0.00,-1.00,0.00
0.6075,CubeRed,-0.0442,0.0828,0.2208,356.85,0,0.00,-1.00,0.00
0.6078,CubeBlue,-0.0148,0.0828,0.2177,359.05,0,0.00,-1.00,0.00
0.6252,CubeRed,-0.1843,0.3449,0.9202,356.84,0,0.00,-1.00,0.00
0.6257,CubeBlue,-0.0618,0.3449,0.9071,359.05,0,0.00,-1.00,0.00
0.6756,CubeRed,-0.1876,0.3511,0.9368,356.84,0,0.00,-1.00,0.00
0.6757,CubeBlue,-0.0630,0.3511,0.9235,359.05,0,0.00,-1.00,0.00
0.7988,CubeRed,-0.1958,0.3665,0.9778,358.32,0,0.00,-1.00,0.00
0.7991,CubeBlue,-0.0657,0.3665,0.9639,13.47,0,0.00,-1.00,0.00
0.8166,CubeRed,-0.2104,0.3937,1.0503,358.32,0,0.00,-1.00,0.00
0.8168,CubeBlue,-0.0722,0.4028,1.0594,13.47,0,0.00,-1.00,0.00
0.8627,CubeRed,-0.2152,0.4028,1.0747,358.32,0,0.00,-1.00,0.00
0.8629,CubeBlue,-0.0722,0.4028,1.0594,13.47,0,0.00,-1.00,0.00
0.9799,CubeRed,-0.2152,0.4028,1.0747,358.32,0,0.00,-1.00,0.00
0.9801,CubeBlue,-0.0722,0.4028,1.0594,13.47,0,0.00,-1.00,0.00
0.9970,CubeRed,-0.2152,0.4028,1.0747,358.31,0,0.00,-1.00,0.00
0.9971,CubeBlue,-0.0722,0.4028,1.0594,13.47,0,0.00,-1.00,0.00
1.0446,CubeRed,-0.2152,0.4028,1.0747,358.31,0,0.00,-1.00,0.00
1.0447,CubeBlue,-0.0722,0.4028,1.0594,13.47,0,0.00,-1.00,0.00
1.1948,CubeRed,-0.2152,0.4028,1.0747,358.31,0,0.00,-1.00,0.00
1.1950,CubeBlue,-0.0722,0.4028,1.0594,13.47,0,0.00,-1.00,0.00
1.2147,CubeRed,-0.2152,0.4028,1.0747,358.31,0,0.00,-1.00,0.00
1.2152,CubeBlue,-0.0722,0.4028,1.0594,13.48,0,0.00,-1.00,0.00
1.2506,CubeRed,-0.2152,0.4028,1.0747,358.31,0,0.00,-1.00,0.00
1.2507,CubeBlue,-0.0722,0.4028,1.0594,13.48,0,0.00,-1.00,0.00
