time_s,head_px,head_py,head_pz,head_rx,head_ry,head_rz,head_rw,handR_px,handR_py,handR_pz,handR_rx,handR_ry,handR_rz,handR_rw,handL_px,handL_py,handL_pz,handL_rx,handL_ry,handL_rz,handL_rw,gaze_x,gaze_y,gaze_z
0.0676,-0.0137,1.1520,-0.0186,0.0617,-0.0750,0.0175,0.9951,0.0977,0.7488,0.2512,-0.1137,-0.0622,-0.1581,0.9789,-0.1171,0.6394,0.1039,-0.2254,-0.2235,-0.1342,-0.9387,-0.1472,-0.1254,0.9811
0.2346,-0.0126,1.1522,-0.0185,0.0611,-0.0688,0.0177,0.9956,0.0978,0.7479,0.2520,-0.1151,-0.0627,-0.1585,0.9786,-0.1167,0.6416,0.1032,-0.2249,-0.2220,-0.1360,-0.9389,-0.1349,-0.1240,0.9831
0.2568,-0.0101,1.1526,-0.0182,0.0600,-0.0544,0.0177,0.9966,0.0977,0.7481,0.2518,0.1157,0.0636,0.1580,-0.9786,-0.1169,0.6411,0.1034,-0.2246,-0.2222,-0.1373,-0.9388,-0.1062,-0.1214,0.9869
0.4275,-0.0096,1.1526,-0.0182,0.0598,-0.0526,0.0176,0.9967,0.0975,0.7493,0.2516,-0.1141,-0.0623,-0.1593,0.9786,-0.1169,0.6413,0.1048,-0.2319,-0.2208,-0.1358,-0.9376,-0.1028,-0.1210,0.9873
0.4663,-0.0071,1.1526,-0.0177,0.0604,-0.0422,0.0167,0.9971,0.0976,0.7489,0.2516,0.1156,0.0637,0.1585,-0.9785,-0.1170,0.6412,0.1044,-0.2276,-0.2219,-0.1364,-0.9383,-0.0821,-0.1218,0.9892
0.5073,-0.0065,1.1525,-0.0175,0.0608,-0.0398,0.0164,0.9972,0.0975,0.7493,0.2514,0.1157,0.0639,0.1585,-0.9785,-0.1168,0.6416,0.1046,-0.2288,-0.2207,-0.1369,-0.9382,-0.0774,-0.1226,0.9894
0.6195,-0.0059,1.1522,-0.0175,0.0616,-0.0374,0.0160,0.9973,0.0974,0.7498,0.2511,-0.1162,-0.0652,-0.1621,0.9777,-0.1172,0.6405,0.1042,-0.2266,-0.2171,-0.1436,-0.9386,-0.0726,-0.1240,0.9896
0.6710,-0.0044,1.1520,-0.0168,0.0631,-0.0310,0.0154,0.9974,0.0974,0.7495,0.2515,0.1154,0.0641,0.1597,-0.9783,-0.1170,0.6412,0.1043,-0.2282,-0.2191,-0.1390,-0.9384,-0.0599,-0.1268,0.9901
0.7208,-0.0037,1.1516,-0.0167,0.0634,-0.0286,0.0148,0.9975,0.0975,0.7496,0.2514,0.1157,0.0645,0.1601,-0.9782,-0.1172,0.6411,0.1042,-0.2272,-0.2192,-0.1407,-0.9384,-0.0552,-0.1274,0.9903
0.8107,-0.0033,1.1514,-0.0165,0.0639,-0.0272,0.0145,0.9975,0.0970,0.7508,0.2507,-0.1158,-0.0650,-0.1580,0.9785,-0.1167,0.6414,0.1040,-0.2257,-0.2157,-0.1473,-0.9385,-0.0525,-0.1282,0.9904
