time_s,tracker_id,path,raw_offset_deg,abs_error_deg,sym_error_deg,calib_type
0.7978,CubeBlue,initial_keypoint_yaw,14.42,14.42,14.42,smooth
0.7981,CubeRed,initial_keypoint_yaw,1.48,1.48,1.48,smooth
1.3788,CubeBlue,continuous_keypoint_yaw,10.29,10.29,10.29,smooth
4.6902,CubeBlue,continuous_keypoint_yaw,9.59,9.59,9.59,smooth
5.0485,CubeRed,continuous_keypoint_yaw,-6.35,6.35,6.35,smooth
7.1826,CubeBlue,continuous_keypoint_yaw,9.69,9.69,9.69,smooth
7.9481,CubeRed,continuous_keypoint_yaw,4.05,4.05,4.05,smooth
9.8666,CubeBlue,continuous_keypoint_yaw,2.12,2.12,2.12,smooth
10.2426,CubeBlue,post_release_keypoint_yaw,7.37,7.37,7.37,smooth
12.7534,CubeBlue,continuous_keypoint_yaw,13.12,13.12,13.12,smooth
14.1442,CubeRed,continuous_keypoint_yaw,15.95,15.95,15.95,instant
15.2952,CubeBlue,continuous_keypoint_yaw,9.96,9.96,9.96,smooth
16.6552,CubeRed,continuous_keypoint_yaw,13.57,13.57,13.57,smooth
19.3669,CubeRed,continuous_keypoint_yaw,15.02,15.02,15.02,instant
20.7282,CubeBlue,continuous_keypoint_yaw,-2.37,2.37,2.37,smooth
21.8905,CubeRed,continuous_keypoint_yaw,3.73,3.73,3.73,smooth
23.2520,CubeBlue,continuous_keypoint_yaw,-9.04,9.04,9.04,smooth
25.3672,CubeRed,continuous_keypoint_yaw,5.25,5.25,5.25,smooth
25.9498,CubeBlue,continuous_keypoint_yaw,-1.97,1.97,1.97,smooth
28.8481,CubeRed,continuous_keypoint_yaw,4.23,4.23,4.23,smooth
30.3982,CubeBlue,continuous_keypoint_yaw,14.37,14.37,14.37,smooth
32.9254,CubeBlue,continuous_keypoint_yaw,16.01,16.01,16.01,instant
35.6257,CubeBlue,continuous_keypoint_yaw,17.06,17.06,17.06,instant
38.3383,CubeBlue,continuous_keypoint_yaw,32.72,32.72,32.72,instant
42.0140,CubeBlue,continuous_keypoint_yaw,20.37,20.37,20.37,instant
42.7785,CubeRed,continuous_keypoint_yaw,-7.24,7.24,7.24,smooth
45.1118,CubeBlue,continuous_keypoint_yaw,21.81,21.81,21.81,instant
47.4348,CubeRed,continuous_keypoint_yaw,-8.27,8.27,8.27,smooth
47.6287,CubeBlue,continuous_keypoint_yaw,12.36,12.36,12.36,smooth
