time_s,tracker_id,path,raw_offset_deg,abs_error_deg,sym_error_deg,calib_type
0.6440,CubeBlue,initial_keypoint_yaw,-6.78,6.78,6.78,smooth
0.6443,CubeRed,initial_keypoint_yaw,-5.59,5.59,5.59,smooth
1.4314,CubeRed,continuous_keypoint_yaw,-6.18,6.18,6.18,smooth
1.4317,CubeBlue,continuous_keypoint_yaw,-9.72,9.72,9.72,smooth
3.9043,CubeRed,continuous_keypoint_yaw,5.51,5.51,5.51,smooth
3.9045,CubeBlue,continuous_keypoint_yaw,5.00,5.00,5.00,smooth
6.4373,CubeBlue,continuous_keypoint_yaw,-6.13,6.13,6.13,smooth
6.4377,CubeRed,continuous_keypoint_yaw,7.80,7.80,7.80,smooth
8.9613,CubeBlue,continuous_keypoint_yaw,-2.55,2.55,2.55,smooth
18.2926,CubeRed,post_release_keypoint_yaw,7.37,7.37,7.37,smooth
23.3459,CubeRed,post_release_keypoint_yaw,11.50,11.50,11.50,smooth
38.8900,CubeBlue,continuous_keypoint_yaw,-161.80,161.80,18.20,instant
41.8231,CubeBlue,continuous_keypoint_yaw,-142.60,142.60,37.40,instant
42.4057,CubeRed,post_release_keypoint_yaw,38.83,38.83,38.83,instant
46.4757,CubeRed,continuous_keypoint_yaw,37.93,37.93,37.93,instant
47.0583,CubeBlue,continuous_keypoint_yaw,-161.61,161.61,18.39,instant
49.5820,CubeBlue,continuous_keypoint_yaw,-160.84,160.84,19.16,instant
50.9488,CubeRed,post_release_keypoint_yaw,7.13,7.13,7.13,smooth
