time_s,tracker_id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,euler_x,euler_y,euler_z,vel_x,vel_y,vel_z,speed_mps,ang_vel_deg_s,is_gripping,grip_source,contact_level,raw_grip,imu_delta_deg,down_face_x,down_face_y,down_face_z
1.0995,CubeRed,-0.2420,0.3828,0.7404,0.0000,0.2534,0.0000,-0.9674,0.00,330.64,0.00,-0.0044,0.0070,0.0136,0.0159,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.2436,CubeBlue,-0.4460,0.3831,0.7245,0.0000,0.2020,0.0000,-0.9794,0.00,336.70,0.00,-0.0074,0.0063,0.0120,0.0154,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.2437,CubeRed,-0.2422,0.3831,0.7410,0.0000,0.2534,0.0000,-0.9673,0.00,330.64,0.00,-0.0040,0.0063,0.0122,0.0144,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.2632,CubeBlue,-0.4468,0.3837,0.7257,0.0000,0.2020,0.0000,-0.9794,0.00,336.70,0.00,-0.0052,0.0044,0.0084,0.0108,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.2636,CubeRed,-0.2426,0.3837,0.7423,0.0000,0.2535,0.0000,-0.9673,0.00,330.64,0.00,-0.0028,0.0044,0.0086,0.0101,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.2973,CubeBlue,-0.4468,0.3837,0.7257,0.0000,0.2020,0.0000,-0.9794,0.00,336.70,0.00,-0.0007,0.0006,0.0011,0.0014,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.2975,CubeRed,-0.2426,0.3837,0.7423,0.0000,0.2535,0.0000,-0.9673,0.00,330.64,0.00,-0.0004,0.0006,0.0011,0.0013,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.4325,CubeBlue,-0.4468,0.3838,0.7258,0.0000,0.2088,0.0000,-0.9780,0.00,335.90,0.00,-0.0006,0.0005,0.0010,0.0012,23.51,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.4327,CubeRed,-0.2426,0.3838,0.7423,0.0000,0.2548,0.0000,-0.9670,0.00,330.47,0.00,-0.0003,0.0005,0.0010,0.0012,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.4509,CubeBlue,-0.4469,0.3838,0.7259,0.0000,0.2271,0.0000,-0.9739,0.00,333.75,0.00,-0.0005,0.0004,0.0008,0.0010,15.82,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.4510,CubeRed,-0.2426,0.3838,0.7424,0.0000,0.2585,0.0000,-0.9660,0.00,330.03,0.00,-0.0003,0.0004,0.0008,0.0009,3.23,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.4995,CubeBlue,-0.4469,0.3838,0.7259,0.0000,0.2271,0.0000,-0.9739,0.00,333.75,0.00,-0.0001,0.0001,0.0001,0.0002,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.4996,CubeRed,-0.2426,0.3838,0.7424,0.0000,0.2585,0.0000,-0.9660,0.00,330.03,0.00,0.0000,0.0001,0.0001,0.0002,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.6226,CubeBlue,-0.4469,0.3838,0.7259,0.0000,0.2271,0.0000,-0.9739,0.00,333.75,0.00,-0.0001,0.0001,0.0001,0.0002,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.6228,CubeRed,-0.2426,0.3838,0.7424,0.0000,0.2586,0.0000,-0.9660,0.00,330.03,0.00,0.0000,0.0001,0.0001,0.0002,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.6448,CubeBlue,-0.4469,0.3838,0.7259,0.0000,0.2271,0.0000,-0.9739,0.00,333.74,0.00,-0.0001,0.0000,0.0001,0.0001,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.6449,CubeRed,-0.2426,0.3838,0.7424,0.0000,0.2586,0.0000,-0.9660,0.00,330.03,0.00,0.0000,0.0000,0.0001,0.0001,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.6919,CubeBlue,-0.4469,0.3838,0.7259,0.0000,0.2271,0.0000,-0.9739,0.00,333.74,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.6920,CubeRed,-0.2426,0.3838,0.7424,0.0000,0.2586,0.0000,-0.9660,0.00,330.03,0.00,-0.0001,0.0001,0.0002,0.0002,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.8137,CubeBlue,-0.4469,0.3838,0.7259,0.0000,0.2271,0.0000,-0.9739,0.00,333.74,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.8138,CubeRed,-0.2426,0.3838,0.7424,0.0000,0.2586,0.0000,-0.9660,0.00,330.03,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.8345,CubeBlue,-0.4469,0.3838,0.7259,0.0000,0.2272,0.0000,-0.9739,0.00,333.74,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.8349,CubeRed,-0.2426,0.3838,0.7424,0.0000,0.2586,0.0000,-0.9660,0.00,330.03,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.8810,CubeBlue,-0.4469,0.3838,0.7259,0.0000,0.2272,0.0000,-0.9738,0.00,333.74,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.8811,CubeRed,-0.2426,0.3838,0.7424,0.0000,0.2586,0.0000,-0.9660,0.00,330.03,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.0033,CubeBlue,-0.4469,0.3838,0.7259,0.0000,0.2272,0.0000,-0.9738,0.00,333.73,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.0034,CubeRed,-0.2426,0.3838,0.7424,0.0000,0.2586,0.0000,-0.9660,0.00,330.03,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.0215,CubeBlue,-0.4469,0.3838,0.7259,0.0000,0.2272,0.0000,-0.9738,0.00,333.73,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.0216,CubeRed,-0.2426,0.3838,0.7424,0.0000,0.2586,0.0000,-0.9660,0.00,330.02,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.0686,CubeBlue,-0.4469,0.3838,0.7259,0.0000,0.2272,0.0000,-0.9738,0.00,333.73,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.0687,CubeRed,-0.2426,0.3838,0.7424,0.0000,0.2586,0.0000,-0.9660,0.00,330.02,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.1885,CubeBlue,-0.4469,0.3838,0.7259,0.0000,0.2273,0.0000,-0.9738,0.00,333.73,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.1887,CubeRed,-0.2426,0.3838,0.7424,0.0000,0.2586,0.0000,-0.9660,0.00,330.02,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.2068,CubeBlue,-0.4469,0.3838,0.7259,0.0000,0.2273,0.0000,-0.9738,0.00,333.73,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.2069,CubeRed,-0.2426,0.3838,0.7424,0.0000,0.2586,0.0000,-0.9660,0.00,330.02,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.2544,CubeBlue,-0.4469,0.3838,0.7259,0.0000,0.2273,0.0000,-0.9738,0.00,333.73,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.2545,CubeRed,-0.2426,0.3838,0.7424,0.0000,0.2586,0.0000,-0.9660,0.00,330.02,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.3774,CubeBlue,-0.4469,0.3838,0.7259,0.0000,0.2273,0.0000,-0.9738,0.00,333.72,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.3776,CubeRed,-0.2426,0.3838,0.7424,0.0000,0.2587,0.0000,-0.9660,0.00,330.02,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.3976,CubeBlue,-0.4469,0.3838,0.7259,0.0000,0.2273,0.0000,-0.9738,0.00,333.72,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.3981,CubeRed,-0.2426,0.3838,0.7424,0.0000,0.2587,0.0000,-0.9660,0.00,330.02,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.4428,CubeBlue,-0.4469,0.3838,0.7259,0.0000,0.2274,0.0000,-0.9738,0.00,333.72,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.4430,CubeRed,-0.2426,0.3838,0.7424,0.0000,0.2587,0.0000,-0.9660,0.00,330.02,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.5620,CubeBlue,-0.4469,0.3838,0.7259,0.0000,0.2274,0.0000,-0.9738,0.00,333.72,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.5621,CubeRed,-0.2426,0.3838,0.7424,0.0000,0.2587,0.0000,-0.9660,0.00,330.02,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.5791,CubeBlue,-0.4469,0.3838,0.7259,0.0000,0.2274,0.0000,-0.9738,0.00,333.71,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.5792,CubeRed,-0.2426,0.3838,0.7424,0.0000,0.2587,0.0000,-0.9660,0.00,330.02,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.6304,CubeBlue,-0.4469,0.3838,0.7259,0.0000,0.2274,0.0000,-0.9738,0.00,333.71,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.6305,CubeRed,-0.2426,0.3838,0.7424,0.0000,0.2587,0.0000,-0.9660,0.00,330.01,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.7480,CubeBlue,-0.4469,0.3838,0.7259,0.0000,0.2274,0.0000,-0.9738,0.00,333.71,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.7481,CubeRed,-0.2221,0.4675,0.6726,0.0000,0.2587,0.0000,-0.9660,0.00,330.01,0.00,0.4041,1.6492,-1.3766,2.1859,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.7665,CubeBlue,-0.4469,0.3838,0.7259,0.0000,0.2274,0.0000,-0.9738,0.00,333.71,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.7667,CubeRed,-0.1888,0.6035,0.5591,0.0000,0.2587,0.0000,-0.9660,0.00,330.01,0.00,0.2812,1.1475,-0.9578,1.5209,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.8114,CubeBlue,-0.4469,0.3838,0.7259,0.0000,0.2274,0.0000,-0.9738,0.00,333.71,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.8115,CubeRed,-0.1874,0.6094,0.5541,0.0000,0.2587,0.0000,-0.9660,0.00,330.01,0.00,0.0811,0.3311,-0.2763,0.4388,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.9343,CubeBlue,-0.4098,0.4575,0.6659,0.0000,0.2274,0.0000,-0.9738,0.00,333.71,0.00,0.8307,1.6492,-1.3429,2.2833,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.9345,CubeRed,-0.1841,0.6226,0.5431,0.0000,0.2587,0.0000,-0.9660,0.00,330.01,0.00,0.0724,0.2957,-0.2468,0.3919,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.9559,CubeBlue,-0.3347,0.6065,0.5446,0.0000,0.2275,0.0000,-0.9738,0.00,333.70,0.00,0.6080,1.2071,-0.9829,1.6712,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.9565,CubeRed,-0.1776,0.6493,0.5208,0.0000,0.2587,0.0000,-0.9660,0.00,330.01,0.00,0.0530,0.2164,-0.1806,0.2868,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
3.0034,CubeBlue,-0.3314,0.6132,0.5391,0.0000,0.2275,0.0000,-0.9738,0.00,333.70,0.00,0.1577,0.3132,-0.2550,0.4336,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
3.0035,CubeRed,-0.1773,0.6506,0.5198,0.0000,0.2587,0.0000,-0.9660,0.00,330.01,0.00,0.0138,0.0561,-0.0469,0.0744,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
3.1206,CubeBlue,-0.3249,0.6260,0.5287,0.0000,0.2275,0.0000,-0.9738,0.00,333.70,0.00,0.1374,0.2729,-0.2222,0.3778,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
3.1207,CubeRed,-0.1767,0.6529,0.5179,0.0000,0.2587,0.0000,-0.9660,0.00,330.01,0.00,0.0120,0.0489,-0.0408,0.0648,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
3.1409,CubeBlue,-0.3132,0.6492,0.5098,0.0000,0.2275,0.0000,-0.9738,0.00,333.70,0.00,0.0987,0.1960,-0.1596,0.2713,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
3.1411,CubeRed,-0.1757,0.6570,0.5144,0.0000,0.2587,0.0000,-0.9660,0.00,330.01,0.00,0.0086,0.0351,-0.0293,0.0466,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
3.1893,CubeBlue,-0.3126,0.6504,0.5088,0.0000,0.2275,0.0000,-0.9738,0.00,333.70,0.00,0.0286,0.0569,-0.0463,0.0787,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
3.1894,CubeRed,-0.1756,0.6572,0.5143,0.0000,0.2587,0.0000,-0.9660,0.00,330.01,0.00,0.0025,0.0102,-0.0085,0.0135,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
3.3394,CubeBlue,-0.3114,0.6529,0.5068,0.0000,0.2275,0.0000,-0.9738,0.00,333.70,0.00,0.0251,0.0499,-0.0407,0.0691,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
3.3395,CubeRed,-0.1755,0.6577,0.5139,0.0000,0.2587,0.0000,-0.9659,0.00,330.01,0.00,0.0022,0.0090,-0.0075,0.0119,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
3.3596,CubeBlue,-0.3088,0.6581,0.5026,0.0000,0.2275,0.0000,-0.9738,0.00,333.70,0.00,0.0177,0.0351,-0.0286,0.0486,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
3.3597,CubeRed,-0.1753,0.6586,0.5131,0.0000,0.2587,0.0000,-0.9659,0.00,330.01,0.00,0.0015,0.0063,-0.0052,0.0083,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
3.3935,CubeBlue,-0.3087,0.6582,0.5025,0.0000,0.2275,0.0000,-0.9738,0.00,333.70,0.00,0.0018,0.0036,-0.0030,0.0050,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
3.3938,CubeRed,-0.1753,0.6586,0.5131,0.0000,0.2588,0.0000,-0.9659,0.00,330.01,0.00,0.0002,0.0006,-0.0005,0.0009,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
3.5277,CubeBlue,-0.3087,0.6583,0.5024,0.0000,0.2275,0.0000,-0.9738,0.00,333.70,0.00,0.0016,0.0032,-0.0026,0.0044,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
3.5279,CubeRed,-0.1753,0.6586,0.5131,0.0000,0.2588,0.0000,-0.9659,0.00,330.01,0.00,0.0001,0.0006,-0.0005,0.0008,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
3.5493,CubeBlue,-0.3085,0.6586,0.5021,0.0000,0.2275,0.0000,-0.9738,0.00,333.70,0.00,0.0013,0.0026,-0.0021,0.0035,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
3.5502,CubeRed,-0.1753,0.6587,0.5130,0.0000,0.2588,0.0000,-0.9659,0.00,330.00,0.00,0.0001,0.0005,-0.0004,0.0006,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
3.5925,CubeBlue,-0.3085,0.6586,0.5021,0.0000,0.2275,0.0000,-0.9738,0.00,333.70,0.00,0.0002,0.0005,-0.0004,0.0007,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
3.5926,CubeRed,-0.1753,0.6587,0.5130,0.0000,0.2588,0.0000,-0.9659,0.00,330.00,0.00,0.0000,0.0001,-0.0001,0.0001,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
