start_time_s,end_time_s,duration_s,tracker_id,start_x,start_y,start_z,end_x,end_y,end_z,path_length_m,avg_speed_mps,max_speed_mps,release_type,final_contact_level
8.9905,9.0458,0.0553,CubeBlue,-0.0864,0.6166,0.4230,-0.3085,0.6587,0.5021,0.0000,0.0000,0.0000,placement,Resting
9.0459,9.1549,0.1089,CubeBlue,-0.0920,0.6420,0.4134,-0.3085,0.6587,0.5021,0.0000,1.0181,1.0181,placement,Resting
9.1550,9.1838,0.0288,CubeBlue,-0.0900,0.6479,0.4050,-0.3085,0.6587,0.5021,0.0000,0.1895,0.1895,placement,Resting
9.1839,9.2381,0.0541,CubeBlue,-0.0826,0.6446,0.4029,-0.3085,0.6587,0.5021,0.0000,0.0752,0.0752,placement,Resting
9.2382,9.3503,0.1121,CubeBlue,-0.0626,0.6462,0.4062,-0.3085,0.6587,0.5021,0.0000,0.7442,0.7442,placement,Resting
9.3505,9.3791,0.0286,CubeBlue,-0.0520,0.6488,0.4103,-0.3085,0.6587,0.5021,0.0000,0.2156,0.2156,placement,Resting
9.9632,10.0156,0.0524,CubeBlue,0.1745,0.6933,0.5845,-0.3085,0.6587,0.5021,0.0000,0.0000,0.0000,placement,Resting
10.0157,10.1282,0.1124,CubeBlue,0.1796,0.6816,0.5879,-0.3085,0.6587,0.5021,0.0000,0.4765,0.4765,placement,Resting
10.1283,10.1559,0.0276,CubeBlue,0.1749,0.6789,0.5848,-0.3085,0.6587,0.5021,0.0000,0.1200,0.1200,placement,Resting
10.1561,10.2123,0.0562,CubeBlue,0.1708,0.6785,0.5852,-0.3085,0.6587,0.5021,0.0000,0.0357,0.0357,placement,Resting
10.2124,10.3210,0.1086,CubeBlue,0.1810,0.6540,0.5882,-0.3085,0.6587,0.5021,0.0000,0.9793,0.9793,placement,Resting
10.3212,10.3509,0.0297,CubeBlue,0.1837,0.6445,0.5932,-0.3085,0.6587,0.5021,0.0000,0.1979,0.1979,placement,Resting
20.2689,20.3227,0.0538,CubeBlue,0.1193,0.6321,0.5351,-0.2434,0.7006,0.4877,0.0000,0.0000,0.0000,placement,Resting
20.3228,20.4346,0.1118,CubeBlue,0.1209,0.6240,0.5450,-0.2434,0.7006,0.4877,0.0000,0.4754,0.4754,placement,Resting
20.4348,20.4621,0.0273,CubeBlue,0.1135,0.6271,0.5528,-0.2434,0.7006,0.4877,0.0000,0.2126,0.2126,placement,Resting
20.4627,20.5160,0.0533,CubeBlue,0.0991,0.6297,0.5459,-0.2434,0.7006,0.4877,0.0000,0.1429,0.1429,placement,Resting
20.5161,20.6295,0.1134,CubeBlue,0.0706,0.6376,0.5371,-0.2434,0.7006,0.4877,0.0000,1.1473,1.1473,placement,Resting
20.6297,20.6558,0.0260,CubeBlue,0.0511,0.6470,0.5293,-0.2434,0.7006,0.4877,0.0000,0.4329,0.4329,placement,Resting
20.6559,20.7105,0.0546,CubeBlue,0.0304,0.6607,0.5200,-0.2434,0.7006,0.4877,0.0000,0.2315,0.2315,placement,Resting
20.7140,20.8254,0.1113,CubeBlue,0.0058,0.6583,0.5063,-0.2434,0.7006,0.4877,0.0000,1.0898,1.0898,placement,Resting
20.8255,20.8501,0.0246,CubeBlue,-0.0075,0.6562,0.4992,-0.2434,0.7006,0.4877,0.0000,0.2638,0.2638,placement,Resting
20.8503,20.9050,0.0547,CubeBlue,-0.0250,0.6559,0.4941,-0.2434,0.7006,0.4877,0.0000,0.1556,0.1556,placement,Resting
20.9051,21.0156,0.1105,CubeBlue,-0.0664,0.6606,0.4774,-0.2434,0.7006,0.4877,0.0000,2.4410,2.4410,placement,Resting
21.0158,21.0450,0.0292,CubeBlue,-0.0752,0.6593,0.4785,-0.2434,0.7006,0.4877,0.0000,0.1624,0.1624,placement,Resting
21.0455,21.0994,0.0539,CubeBlue,-0.0884,0.6641,0.4741,-0.2434,0.7006,0.4877,0.0000,0.1313,0.1313,placement,Resting
21.0995,21.2124,0.1129,CubeBlue,-0.1011,0.6595,0.4714,-0.2434,0.7006,0.4877,0.0000,0.4910,0.4910,placement,Resting
21.2126,21.2400,0.0274,CubeBlue,-0.0918,0.6446,0.4775,-0.2434,0.7006,0.4877,0.0000,0.3420,0.3420,placement,Resting
