time_s,tracker_id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,euler_x,euler_y,euler_z,vel_x,vel_y,vel_z,speed_mps,ang_vel_deg_s,is_gripping,grip_source,contact_level,raw_grip,imu_delta_deg,down_face_x,down_face_y,down_face_z
1.1850,CubeRed,0.0000,0.0000,0.0000,0.0000,0.0861,0.0000,0.9963,0.00,9.88,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.3255,CubeBlue,0.0253,0.3584,0.7095,0.0000,0.0243,0.0000,0.9997,0.00,2.78,0.00,0.0204,0.2669,0.5226,0.5872,95.31,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.3258,CubeRed,-0.0219,0.1113,0.0832,0.0000,-0.1523,0.0000,0.9883,0.00,342.48,0.00,-0.7921,4.0276,3.0096,5.0898,991.70,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.3494,CubeBlue,0.0277,0.3896,0.7705,0.0000,0.0195,0.0000,0.9998,0.00,2.24,0.00,0.0170,0.2227,0.4360,0.4899,3.89,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.3499,CubeRed,-0.1144,0.5815,0.4345,0.0000,-0.2005,0.0000,0.9797,0.00,336.87,0.00,-0.6608,3.3599,2.5107,4.2461,40.07,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.4010,CubeBlue,0.0277,0.3905,0.7722,0.0000,0.0195,0.0000,0.9998,0.00,2.24,0.00,0.0027,0.0357,0.0699,0.0785,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.4011,CubeRed,-0.1170,0.5947,0.4444,0.0000,0.2005,0.0000,-0.9797,0.00,336.87,0.00,-0.1059,0.5386,0.4024,0.6806,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.5171,CubeBlue,0.0278,0.3920,0.7752,0.0000,0.0195,0.0000,0.9998,0.00,2.24,0.00,0.0023,0.0305,0.0596,0.0670,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.5172,CubeRed,-0.1215,0.6177,0.4616,0.0000,0.2005,0.0000,-0.9797,0.00,336.87,0.00,-0.0904,0.4595,0.3434,0.5807,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.5433,CubeBlue,0.0280,0.3945,0.7801,0.0000,0.0195,0.0000,0.9998,0.00,2.24,0.00,0.0016,0.0213,0.0417,0.0469,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.5434,CubeRed,-0.1289,0.6555,0.4898,0.0000,0.2005,0.0000,-0.9797,0.00,336.87,0.00,-0.0632,0.3214,0.2402,0.4062,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.5966,CubeBlue,0.0280,0.3946,0.7804,0.0000,0.0195,0.0000,0.9998,0.00,2.24,0.00,0.0005,0.0063,0.0123,0.0138,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.5967,CubeRed,-0.1294,0.6580,0.4917,0.0000,0.2005,0.0000,-0.9797,0.00,336.87,0.00,-0.0186,0.0947,0.0708,0.1197,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.7097,CubeBlue,0.0281,0.3949,0.7809,0.0000,0.0195,0.0000,0.9998,0.00,2.24,0.00,0.0004,0.0053,0.0103,0.0116,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.7098,CubeRed,-0.1302,0.6621,0.4948,0.0000,0.2005,0.0000,-0.9797,0.00,336.87,0.00,-0.0157,0.0796,0.0595,0.1006,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.7382,CubeBlue,0.0281,0.3953,0.7817,0.0000,0.0195,0.0000,0.9998,0.00,2.23,0.00,0.0003,0.0036,0.0071,0.0080,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.7383,CubeRed,-0.1315,0.6684,0.4995,0.0000,0.2005,0.0000,-0.9797,0.00,336.87,0.00,-0.0108,0.0549,0.0410,0.0693,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.7915,CubeBlue,0.0281,0.3954,0.7818,0.0000,0.0195,0.0000,0.9998,0.00,2.23,0.00,0.0001,0.0011,0.0022,0.0025,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.7916,CubeRed,-0.1316,0.6689,0.4998,0.0000,0.2005,0.0000,-0.9797,0.00,336.87,0.00,-0.0034,0.0171,0.0128,0.0216,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.9151,CubeBlue,0.0281,0.3954,0.7819,0.0000,0.0373,0.0000,0.9993,0.00,4.28,0.00,0.0001,0.0009,0.0019,0.0021,38.92,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.9152,CubeRed,-0.1317,0.6696,0.5004,0.0000,0.1633,0.0000,-0.9866,0.00,341.20,0.00,-0.0028,0.0143,0.0107,0.0181,82.41,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.9474,CubeBlue,0.0281,0.3955,0.7821,0.0000,0.0618,0.0000,0.9981,0.00,7.08,0.00,0.0000,0.0006,0.0013,0.0014,22.55,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.9478,CubeRed,-0.1319,0.6708,0.5013,0.0000,0.1633,0.0000,-0.9866,0.00,341.20,0.00,-0.0019,0.0098,0.0073,0.0124,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.9992,CubeBlue,0.0281,0.3955,0.7821,0.0000,0.0619,0.0000,0.9981,0.00,7.10,0.00,0.0000,0.0002,0.0003,0.0004,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.9993,CubeRed,-0.1320,0.6709,0.5014,0.0000,0.1633,0.0000,-0.9866,0.00,341.20,0.00,-0.0005,0.0025,0.0019,0.0031,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.1193,CubeBlue,0.0281,0.3955,0.7821,0.0000,0.0619,0.0000,0.9981,0.00,7.10,0.00,0.0000,0.0001,0.0003,0.0003,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.1194,CubeRed,-0.1320,0.6710,0.5014,0.0000,0.1633,0.0000,-0.9866,0.00,341.20,0.00,-0.0004,0.0020,0.0015,0.0025,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.1409,CubeBlue,0.0281,0.3955,0.7821,0.0000,0.0619,0.0000,0.9981,0.00,7.09,0.00,0.0000,0.0001,0.0002,0.0002,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.1410,CubeRed,-0.1320,0.6712,0.5016,0.0000,0.1634,0.0000,-0.9866,0.00,341.20,0.00,-0.0003,0.0014,0.0010,0.0018,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.1932,CubeBlue,0.0281,0.3955,0.7821,0.0000,0.0619,0.0000,0.9981,0.00,7.09,0.00,0.0000,0.0000,0.0001,0.0001,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
