start_time_s,end_time_s,duration_s,tracker_id,start_x,start_y,start_z,end_x,end_y,end_z,path_length_m,avg_speed_mps,max_speed_mps,release_type,final_contact_level
0.3188,0.3189,0.0001,CubeRed,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,placement,Resting
6.8242,6.8758,0.0516,CubeBlue,-0.1252,0.6713,0.4736,0.0135,0.6713,0.4861,0.0000,0.0000,0.0000,placement,Resting
6.8759,6.9891,0.1132,CubeBlue,-0.1305,0.6771,0.4693,0.0135,0.6713,0.4861,0.0000,0.3660,0.3660,placement,Resting
6.9893,7.0155,0.0262,CubeBlue,-0.1308,0.6783,0.4679,0.0135,0.6713,0.4861,0.0000,0.0383,0.0383,placement,Resting
7.0156,7.0703,0.0546,CubeBlue,-0.1310,0.6702,0.4695,0.0135,0.6713,0.4861,0.0000,0.0726,0.0726,placement,Resting
7.0704,7.1823,0.1119,CubeBlue,-0.1281,0.6934,0.4644,0.0135,0.6713,0.4861,0.0000,0.9123,0.9123,placement,Resting
7.1824,7.2104,0.0280,CubeBlue,-0.1270,0.7102,0.4582,0.0135,0.6713,0.4861,0.0000,0.3337,0.3337,placement,Resting
7.2108,7.2675,0.0567,CubeBlue,-0.1258,0.7211,0.4550,0.0135,0.6713,0.4861,0.0000,0.0998,0.0998,placement,Resting
7.2676,7.3737,0.1060,CubeBlue,-0.1248,0.7157,0.4537,0.0135,0.6713,0.4861,0.0000,0.2107,0.2107,placement,Resting
7.3738,7.4044,0.0305,CubeBlue,-0.1238,0.7089,0.4576,0.0135,0.6713,0.4861,0.0000,0.1404,0.1404,placement,Resting
7.4045,7.4594,0.0548,CubeBlue,-0.1222,0.7083,0.4600,0.0135,0.6713,0.4861,0.0000,0.0267,0.0267,placement,Resting
7.4595,7.5706,0.1111,CubeBlue,-0.1152,0.7055,0.4624,0.0135,0.6713,0.4861,0.0000,0.2747,0.2747,placement,Resting
7.5707,7.5998,0.0291,CubeBlue,-0.1107,0.7034,0.4640,0.0135,0.6713,0.4861,0.0000,0.0956,0.0956,placement,Resting
7.6000,7.6538,0.0538,CubeBlue,-0.1065,0.7024,0.4659,0.0135,0.6713,0.4861,0.0000,0.0419,0.0419,placement,Resting
7.6539,7.7648,0.1109,CubeBlue,-0.1049,0.7021,0.4666,0.0135,0.6713,0.4861,0.0000,0.0665,0.0665,placement,Resting
7.7650,7.7951,0.0301,CubeBlue,-0.1047,0.7016,0.4669,0.0135,0.6713,0.4861,0.0000,0.0102,0.0102,placement,Resting
7.7956,7.8488,0.0532,CubeBlue,-0.1053,0.7019,0.4666,0.0135,0.6713,0.4861,0.0000,0.0068,0.0068,placement,Resting
7.8489,7.9594,0.1105,CubeBlue,-0.1046,0.7015,0.4677,0.0135,0.6713,0.4861,0.0000,0.0477,0.0477,placement,Resting
10.9465,11.0007,0.0542,CubeBlue,-0.1140,0.6713,0.6200,0.0166,0.6713,0.5078,0.0000,0.0000,0.0000,placement,Resting
11.0008,11.1124,0.1116,CubeBlue,-0.1196,0.6802,0.6147,0.0166,0.6713,0.5078,0.0000,0.4533,0.4533,placement,Resting
