time_s,tracker_id,qx,qy,qz,qw,raw_grip
0.0025,CubeRed,0.0030,-0.5532,-0.0067,0.8330,0
0.0026,CubeBlue,0.2102,-0.4393,-0.0052,0.8734,0
0.1067,CubeRed,0.0025,-0.5531,-0.0072,0.8331,0
0.1070,CubeBlue,0.2105,-0.4390,-0.0039,0.8735,0
0.1369,CubeRed,0.0026,-0.5531,-0.0077,0.8330,0
0.1374,CubeBlue,0.2113,-0.4383,-0.0001,0.8737,0
0.1897,CubeRed,0.0034,-0.5531,-0.0069,0.8331,0
0.1899,CubeBlue,0.2116,-0.4380,0.0011,0.8737,0
0.3044,CubeRed,0.0031,-0.5531,-0.0076,0.8330,0
0.3045,CubeBlue,0.2121,-0.4375,0.0034,0.8738,0
0.3287,CubeRed,0.0032,-0.5531,-0.0077,0.8331,0
0.3288,CubeBlue,0.2127,-0.4368,0.0069,0.8740,0
0.3823,CubeRed,0.0032,-0.5531,-0.0077,0.8331,0
0.3825,CubeBlue,0.2127,-0.4368,0.0069,0.8740,0
0.4941,CubeRed,0.0029,-0.5532,-0.0072,0.8330,0
0.4944,CubeBlue,0.2132,-0.4363,0.0090,0.8741,0
0.5234,CubeRed,0.0043,-0.5531,-0.0075,0.8331,0
0.5240,CubeBlue,0.2141,-0.4353,0.0134,0.8743,0
0.5797,CubeRed,0.0033,-0.5531,-0.0080,0.8331,0
0.5799,CubeBlue,0.2143,-0.4351,0.0145,0.8744,0
0.6892,CubeRed,0.0025,-0.5531,-0.0080,0.8331,0
0.6895,CubeBlue,0.2145,-0.4349,0.0156,0.8744,0
0.7172,CubeRed,0.0032,-0.5531,-0.0071,0.8331,0
0.7174,CubeBlue,0.2154,-0.4339,0.0198,0.8746,0
0.7719,CubeRed,0.0029,-0.5531,-0.0070,0.8331,0
0.7720,CubeBlue,0.2154,-0.4339,0.0198,0.8746,0
0.8806,CubeRed,0.0036,-0.5531,-0.0079,0.8331,0
0.8808,CubeBlue,0.2158,-0.4335,0.0220,0.8747,0
0.9113,CubeRed,0.0039,-0.5530,-0.0077,0.8331,0
0.9115,CubeBlue,0.2165,-0.4328,0.0252,0.8748,0
0.9673,CubeRed,0.0026,-0.5531,-0.0074,0.8331,0
0.9675,CubeBlue,0.2167,-0.4325,0.0262,0.8748,0
1.0747,CubeRed,0.0035,-0.5531,-0.0073,0.8331,0
1.0749,CubeBlue,0.2172,-0.4321,0.0283,0.8748,0
1.1071,CubeRed,0.0025,-0.5531,-0.0074,0.8331,0
1.1075,CubeBlue,0.2179,-0.4313,0.0315,0.8749,0
1.1643,CubeRed,0.0025,-0.5531,-0.0066,0.8331,0
1.1645,CubeBlue,0.2181,-0.4311,0.0326,0.8749,0
1.2714,CubeRed,0.0025,-0.5531,-0.0066,0.8331,0
1.2716,CubeBlue,0.2183,-0.4309,0.0336,0.8750,0
1.3010,CubeRed,0.0108,-0.3885,0.0060,0.9214,0
1.3012,CubeBlue,0.2192,-0.4299,0.0378,0.8750,0
1.3544,CubeRed,0.0132,-0.3565,0.0077,0.9342,0
1.3546,CubeBlue,0.2194,-0.4297,0.0389,0.8751,0
