time_s,tracker_id,qx,qy,qz,qw,raw_grip
0.0087,CubeBlue,0.0006,-0.1508,0.0020,0.9886,0
0.0089,CubeRed,-0.0052,-0.2069,-0.0061,0.9783,0
0.1027,CubeBlue,0.0004,-0.1508,0.0027,0.9886,0
0.1030,CubeRed,-0.0032,-0.2072,-0.0045,0.9783,0
0.1306,CubeBlue,0.0006,-0.1508,0.0020,0.9886,0
0.1308,CubeRed,-0.0039,-0.2075,-0.0047,0.9782,0
0.1864,CubeBlue,0.0005,-0.1508,0.0030,0.9886,0
0.1866,CubeRed,-0.0042,-0.2075,-0.0054,0.9782,0
0.2939,CubeBlue,0.0008,-0.1508,0.0014,0.9886,0
0.2942,CubeRed,-0.0051,-0.2076,-0.0061,0.9782,0
0.3259,CubeBlue,0.0000,-0.1508,0.0023,0.9886,0
0.3263,CubeRed,-0.0050,-0.2078,-0.0048,0.9781,0
0.3811,CubeBlue,0.0000,-0.1508,0.0023,0.9886,0
0.3812,CubeRed,-0.0048,-0.2078,-0.0051,0.9781,0
0.4912,CubeBlue,0.0010,-0.1508,0.0029,0.9886,0
0.4914,CubeRed,-0.0049,-0.2079,-0.0048,0.9781,0
0.5203,CubeBlue,0.0006,-0.1508,0.0030,0.9886,0
0.5205,CubeRed,-0.0044,-0.2080,-0.0054,0.9781,0
0.5745,CubeBlue,-0.0002,-0.1508,0.0023,0.9886,0
0.5748,CubeRed,-0.0039,-0.2080,-0.0048,0.9781,0
0.6900,CubeBlue,0.0007,-0.1508,0.0023,0.9886,0
0.6902,CubeRed,-0.0049,-0.2081,-0.0053,0.9781,0
0.7149,CubeBlue,0.0002,-0.1508,0.0020,0.9886,0
0.7152,CubeRed,-0.0044,-0.2082,-0.0052,0.9781,0
0.7681,CubeBlue,0.0007,-0.1508,0.0029,0.9886,0
0.7683,CubeRed,-0.0034,-0.2082,-0.0050,0.9781,0
0.8801,CubeBlue,-0.0002,-0.1508,0.0030,0.9886,0
0.8804,CubeRed,-0.0034,-0.2082,-0.0050,0.9781,0
0.9090,CubeBlue,0.0006,-0.1508,0.0028,0.9886,0
0.9097,CubeRed,-0.0043,-0.2083,-0.0046,0.9780,0
0.9632,CubeBlue,0.0006,-0.1508,0.0028,0.9886,0
0.9634,CubeRed,-0.0053,-0.2083,-0.0048,0.9780,0
1.0755,CubeBlue,0.0014,-0.1508,0.0029,0.9886,0
1.0760,CubeRed,-0.0042,-0.2084,-0.0047,0.9780,0
1.1036,CubeBlue,0.0008,-0.1508,0.0034,0.9886,0
1.1038,CubeRed,-0.0043,-0.2084,-0.0050,0.9780,0
1.1593,CubeBlue,0.0008,-0.1508,0.0034,0.9886,0
1.1595,CubeRed,-0.0035,-0.2085,-0.0045,0.9780,0
1.2699,CubeBlue,0.0009,-0.1508,0.0023,0.9886,0
1.2702,CubeRed,-0.0047,-0.2085,-0.0054,0.9780,0
1.2979,CubeBlue,0.0006,-0.1508,0.0027,0.9886,0
1.2981,CubeRed,-0.0056,-0.2086,-0.0052,0.9780,0
1.3522,CubeBlue,0.0006,-0.1508,0.0023,0.9886,0
1.3524,CubeRed,-0.0056,-0.2086,-0.0052,0.9780,0
1.4651,CubeBlue,0.0002,-0.1508,0.0028,0.9886,0
1.4654,CubeRed,-0.0038,-0.2086,-0.0048,0.9780,0
1.4919,CubeBlue,0.0005,-0.1509,0.0025,0.9886,0
1.4925,CubeRed,-0.0041,-0.2087,-0.0048,0.9780,0
1.5466,CubeBlue,0.0005,-0.1509,0.0025,0.9886,0
1.5468,CubeRed,-0.0050,-0.2087,-0.0053,0.9780,0
1.6581,CubeBlue,-0.0003,-0.1509,0.0014,0.9886,0
1.6584,CubeRed,-0.0049,-0.2087,-0.0053,0.9780,0
1.6864,CubeBlue,0.0000,-0.1509,0.0016,0.9886,0
1.6866,CubeRed,-0.0052,-0.2087,-0.0053,0.9780,0
1.7436,CubeBlue,-0.0001,-0.1509,0.0027,0.9885,0
1.7438,CubeRed,-0.0048,-0.2087,-0.0044,0.9780,0
1.8523,CubeBlue,0.0008,-0.1509,0.0011,0.9886,0
1.8526,CubeRed,-0.0048,-0.2088,-0.0052,0.9779,0
1.8824,CubeBlue,0.0009,-0.1509,0.0030,0.9885,0
1.8826,CubeRed,-0.0041,-0.2088,-0.0048,0.9779,0
1.9356,CubeBlue,0.0007,-0.1509,0.0020,0.9886,0
1.9358,CubeRed,-0.0048,-0.2088,-0.0056,0.9779,0
2.0481,CubeBlue,0.0002,-0.1509,0.0024,0.9886,0
2.0484,CubeRed,-0.0043,-0.2088,-0.0047,0.9779,0
2.0776,CubeBlue,0.0005,-0.1508,0.0018,0.9886,0
2.0780,CubeRed,-0.0049,-0.2088,-0.0048,0.9779,0
2.1312,CubeBlue,0.0009,-0.1509,0.0023,0.9886,0
2.1314,CubeRed,-0.0043,-0.2089,-0.0054,0.9779,0
2.2413,CubeBlue,0.0000,-0.1509,0.0018,0.9886,0
