time_s,tracker_id,pos_x,pos_y,pos_z,rot_y,is_gripping,down_face_x,down_face_y,down_face_z
0.0088,CubeBlue,-0.0851,0.7226,0.5516,335.39,0,0.00,-1.00,0.00
0.0089,CubeRed,0.2367,0.7034,0.5364,315.42,0,0.00,-1.00,0.00
0.1029,CubeBlue,-0.0851,0.7226,0.5516,335.39,0,0.00,-1.00,0.00
0.1031,CubeRed,0.2367,0.7034,0.5364,315.39,0,0.00,-1.00,0.00
0.1307,CubeBlue,-0.0851,0.7226,0.5516,335.40,0,0.00,-1.00,0.00
0.1308,CubeRed,0.2367,0.7034,0.5364,315.36,0,0.00,-1.00,0.00
0.1865,CubeBlue,-0.0851,0.7226,0.5516,335.40,0,0.00,-1.00,0.00
0.1866,CubeRed,0.2367,0.7034,0.5364,315.35,0,0.00,-1.00,0.00
0.2940,CubeBlue,-0.0851,0.7226,0.5516,335.40,0,0.00,-1.00,0.00
0.2943,CubeRed,0.2367,0.7034,0.5364,315.35,0,0.00,-1.00,0.00
0.3260,CubeBlue,-0.0851,0.7226,0.5516,335.40,0,0.00,-1.00,0.00
0.3264,CubeRed,0.2367,0.7034,0.5364,315.32,0,0.00,-1.00,0.00
0.3811,CubeBlue,-0.0851,0.7226,0.5516,335.40,0,0.00,-1.00,0.00
0.3813,CubeRed,0.2367,0.7034,0.5364,315.32,0,0.00,-1.00,0.00
0.4913,CubeBlue,-0.0851,0.7226,0.5516,335.39,0,0.00,-1.00,0.00
0.4915,CubeRed,0.2367,0.7034,0.5364,315.31,0,0.00,-1.00,0.00
0.5203,CubeBlue,-0.0851,0.7226,0.5516,335.40,0,0.00,-1.00,0.00
0.5205,CubeRed,0.2367,0.7034,0.5364,315.30,0,0.00,-1.00,0.00
0.5746,CubeBlue,-0.0851,0.7226,0.5516,335.40,0,0.00,-1.00,0.00
0.5748,CubeRed,0.2367,0.7034,0.5364,315.30,0,0.00,-1.00,0.00
0.6900,CubeBlue,-0.0851,0.7226,0.5516,334.99,0,0.00,-1.00,0.00
0.6902,CubeRed,0.2367,0.7034,0.5364,315.29,0,0.00,-1.00,0.00
0.7150,CubeBlue,-0.0851,0.7226,0.5516,334.49,0,0.00,-1.00,0.00
0.7153,CubeRed,0.2367,0.7034,0.5364,315.27,0,0.00,-1.00,0.00
0.7681,CubeBlue,-0.0851,0.7226,0.5516,334.46,0,0.00,-1.00,0.00
0.7683,CubeRed,0.2367,0.7034,0.5364,315.27,0,0.00,-1.00,0.00
0.8802,CubeBlue,-0.0851,0.7226,0.5516,334.46,0,0.00,-1.00,0.00
