time_s,tracker_id,path,raw_offset_deg,abs_error_deg,sym_error_deg,calib_type
0.6890,CubeBlue,continuous_keypoint_yaw,-8.20,8.20,8.20,smooth
2.0474,CubeRed,continuous_keypoint_yaw,-12.54,12.54,12.54,smooth
3.9902,CubeBlue,continuous_keypoint_yaw,-6.09,6.09,6.09,smooth
6.5189,CubeBlue,continuous_keypoint_yaw,-2.82,2.82,2.82,smooth
9.2409,CubeBlue,continuous_keypoint_yaw,4.03,4.03,4.03,smooth
11.3797,CubeRed,post_release_keypoint_yaw,-49.41,49.41,40.59,instant
11.7685,CubeBlue,continuous_keypoint_yaw,2.05,2.05,2.05,smooth
14.1019,CubeRed,continuous_keypoint_yaw,-59.86,59.86,30.14,instant
15.4626,CubeBlue,post_release_keypoint_yaw,-6.63,6.63,6.63,smooth
19.5464,CubeBlue,continuous_keypoint_yaw,2.91,2.91,2.91,smooth
22.0742,CubeBlue,post_release_keypoint_yaw,5.43,5.43,5.43,smooth
23.2405,CubeRed,continuous_keypoint_yaw,-47.08,47.08,42.92,instant
24.6023,CubeBlue,continuous_keypoint_yaw,11.74,11.74,11.74,smooth
28.4917,CubeBlue,continuous_keypoint_yaw,6.55,6.55,6.55,smooth
29.8819,CubeRed,post_release_keypoint_yaw,9.38,9.38,9.38,smooth
31.0477,CubeBlue,continuous_keypoint_yaw,6.00,6.00,6.00,smooth
33.5740,CubeRed,continuous_keypoint_yaw,32.53,32.53,32.53,instant
33.9627,CubeBlue,continuous_keypoint_yaw,2.10,2.10,2.10,smooth
325.1892,CubeRed,continuous_keypoint_yaw,102.41,102.41,12.41,instant
328.9772,CubeBlue,continuous_keypoint_yaw,0.25,0.25,0.25,smooth
331.5054,CubeRed,continuous_keypoint_yaw,104.40,104.40,14.40,instant
333.0204,CubeBlue,continuous_keypoint_yaw,-3.39,3.39,3.39,smooth
333.9547,CubeRed,continuous_keypoint_yaw,109.87,109.87,19.87,instant
335.4701,CubeBlue,continuous_keypoint_yaw,-5.43,5.43,5.43,smooth
336.4277,CubeRed,continuous_keypoint_yaw,97.69,97.69,7.69,instant
337.9002,CubeBlue,continuous_keypoint_yaw,-0.77,0.77,0.77,smooth
338.8304,CubeRed,continuous_keypoint_yaw,99.92,99.92,9.92,instant
341.0806,CubeBlue,continuous_keypoint_yaw,-2.86,2.86,2.86,smooth
341.2572,CubeRed,continuous_keypoint_yaw,101.15,101.15,11.15,instant
343.5627,CubeBlue,continuous_keypoint_yaw,-7.31,7.31,7.31,smooth
343.7541,CubeRed,continuous_keypoint_yaw,94.29,94.29,4.29,instant
