time_s,tracker_id,qx,qy,qz,qw,raw_grip
2.9143,CubeBlue,0.2155,0.4309,-0.1186,0.8682,0
3.0215,CubeRed,0.0000,0.0655,-0.0017,0.9978,0
3.0217,CubeBlue,0.2156,0.4311,-0.1182,0.8682,0
3.0525,CubeRed,-0.0007,0.0655,-0.0023,0.9978,0
3.0527,CubeBlue,0.2153,0.4311,-0.1180,0.8683,0
3.1120,CubeRed,-0.0007,0.0655,-0.0023,0.9978,0
3.1122,CubeBlue,0.2150,0.4309,-0.1186,0.8683,0
3.2158,CubeRed,0.0005,0.0655,-0.0020,0.9979,0
3.2160,CubeBlue,0.2160,0.4309,-0.1185,0.8681,0
3.2486,CubeRed,0.0006,0.0655,-0.0024,0.9978,0
3.2490,CubeBlue,0.2157,0.4310,-0.1182,0.8682,0
3.3032,CubeRed,0.0001,0.0655,-0.0018,0.9978,0
3.3033,CubeBlue,0.2148,0.4310,-0.1183,0.8684,0
3.4137,CubeRed,0.0004,0.0655,-0.0028,0.9978,0
3.4140,CubeBlue,0.2150,0.4308,-0.1189,0.8684,0
3.4429,CubeRed,0.0045,0.0599,-0.0056,0.9982,0
3.4432,CubeBlue,0.2146,0.4309,-0.1186,0.8684,0
3.4974,CubeRed,0.0001,0.0213,-0.0046,0.9998,4
3.4976,CubeBlue,0.2155,0.4309,-0.1189,0.8682,0
3.6073,CubeRed,-0.0012,0.0165,-0.0016,0.9999,4
3.6075,CubeBlue,0.2147,0.4310,-0.1183,0.8684,0
3.6378,CubeRed,-0.0041,0.0065,0.0018,1.0000,0
3.6381,CubeBlue,0.2150,0.4308,-0.1188,0.8684,0
3.6914,CubeRed,-0.0048,0.0064,0.0003,1.0000,0
3.6944,CubeBlue,0.2150,0.4308,-0.1188,0.8684,0
3.8043,CubeRed,-0.0008,0.0064,-0.0005,1.0000,0
3.8045,CubeBlue,0.2160,0.4308,-0.1187,0.8681,0
3.8341,CubeRed,0.0123,0.0539,-0.0025,0.9985,0
3.8346,CubeBlue,0.2156,0.4310,-0.1183,0.8682,0
3.8856,CubeRed,0.0086,0.0661,0.0018,0.9978,0
3.8857,CubeBlue,0.2153,0.4310,-0.1181,0.8683,0
3.9977,CubeRed,0.0086,0.0752,0.0025,0.9971,0
3.9979,CubeBlue,0.2158,0.4309,-0.1185,0.8682,0
4.0253,CubeRed,0.0461,0.1068,-0.0026,0.9932,0
4.0255,CubeBlue,0.2160,0.4308,-0.1187,0.8682,0
4.0802,CubeRed,0.0667,0.1075,-0.0214,0.9917,0
4.0804,CubeBlue,0.2160,0.4308,-0.1187,0.8682,0
4.1890,CubeRed,0.0434,0.1093,-0.0733,0.9903,0
4.1892,CubeBlue,0.2150,0.4309,-0.1182,0.8684,0
4.2204,CubeRed,0.0038,0.0734,-0.0907,0.9932,0
4.2205,CubeBlue,0.2156,0.4307,-0.1187,0.8683,0
4.2775,CubeRed,-0.0110,0.0521,-0.0738,0.9959,0
4.2777,CubeBlue,0.2156,0.4307,-0.1187,0.8683,0
4.3834,CubeRed,-0.0219,0.0164,-0.0264,0.9993,0
4.3836,CubeBlue,0.2156,0.4309,-0.1181,0.8683,0
4.4145,CubeRed,-0.0149,-0.0141,0.0310,0.9993,0
4.4150,CubeBlue,0.2150,0.4308,-0.1182,0.8685,0
4.4701,CubeRed,-0.0060,-0.0237,0.0413,0.9988,0
4.4703,CubeBlue,0.2149,0.4310,-0.1173,0.8685,0
4.5806,CubeRed,-0.0063,-0.0226,0.0377,0.9990,0
4.5809,CubeBlue,0.2152,0.4309,-0.1177,0.8684,0
4.6112,CubeRed,-0.0031,-0.0637,0.0236,0.9977,0
4.6113,CubeBlue,0.2156,0.4307,-0.1188,0.8683,0
4.6639,CubeRed,-0.0177,-0.0863,0.0454,0.9951,0
4.6640,CubeBlue,0.2150,0.4307,-0.1185,0.8685,0
4.7745,CubeRed,-0.0162,-0.0865,0.0426,0.9952,0
4.7747,CubeBlue,0.2151,0.4309,-0.1178,0.8684,0
4.8038,CubeRed,-0.0137,-0.0865,0.0354,0.9955,0
4.8040,CubeBlue,0.2162,0.4308,-0.1180,0.8682,0
4.8587,CubeRed,-0.0128,-0.0865,0.0333,0.9956,0
4.8589,CubeBlue,0.2162,0.4308,-0.1180,0.8682,0
4.9666,CubeRed,-0.0116,-0.0865,0.0297,0.9957,0
4.9668,CubeBlue,0.2155,0.4307,-0.1182,0.8684,0
4.9999,CubeRed,-0.0095,-0.0865,0.0236,0.9959,0
5.0005,CubeBlue,0.2151,0.4308,-0.1176,0.8685,0
5.0533,CubeRed,-0.0095,-0.0865,0.0236,0.9959,0
5.0534,CubeBlue,0.2161,0.4308,-0.1176,0.8682,0
5.1636,CubeRed,-0.0086,-0.0865,0.0209,0.9960,0
5.1638,CubeBlue,0.2155,0.4307,-0.1182,0.8684,0
5.1927,CubeRed,-0.0069,-0.0866,0.0173,0.9961,0
5.1929,CubeBlue,0.2157,0.4306,-0.1186,0.8683,0
5.2476,CubeRed,-0.0069,-0.0866,0.0173,0.9961,0
5.2478,CubeBlue,0.2147,0.4306,-0.1187,0.8686,0
5.3592,CubeRed,-0.0057,-0.0865,0.0140,0.9961,0
5.3594,CubeBlue,0.2166,0.4307,-0.1180,0.8681,0
5.3874,CubeRed,-0.0044,-0.0866,0.0109,0.9962,0
5.3877,CubeBlue,0.2164,0.4306,-0.1184,0.8682,0
5.4439,CubeRed,-0.0045,-0.0865,0.0097,0.9962,0
5.4441,CubeBlue,0.2159,0.4306,-0.1182,0.8683,0
5.5526,CubeRed,-0.0034,-0.0866,0.0079,0.9962,0
5.5528,CubeBlue,0.2158,0.4305,-0.1186,0.8684,0
5.5820,CubeRed,-0.0023,-0.0865,0.0048,0.9962,0
5.5825,CubeBlue,0.2151,0.4304,-0.1188,0.8685,0
5.6366,CubeRed,-0.0023,-0.0865,0.0048,0.9962,0
5.6368,CubeBlue,0.2157,0.4306,-0.1180,0.8684,0
5.7477,CubeRed,-0.0022,-0.0865,0.0029,0.9962,0
5.7480,CubeBlue,0.2147,0.4307,-0.1177,0.8686,0
5.7761,CubeRed,-0.0015,-0.0865,-0.0003,0.9963,0
5.7762,CubeBlue,0.2152,0.4305,-0.1182,0.8685,0
5.8308,CubeRed,-0.0005,-0.0865,-0.0009,0.9963,0
5.8309,CubeBlue,0.2159,0.4304,-0.1187,0.8684,0
5.9423,CubeRed,-0.0013,-0.0865,-0.0010,0.9962,0
5.9425,CubeBlue,0.2151,0.4304,-0.1183,0.8686,0
5.9702,CubeRed,-0.0004,-0.0865,-0.0015,0.9962,0
5.9704,CubeBlue,0.2162,0.4302,-0.1189,0.8683,0
6.0267,CubeRed,-0.0007,-0.0865,-0.0013,0.9962,0
6.0268,CubeBlue,0.2161,0.4305,-0.1178,0.8684,0
6.1360,CubeRed,-0.0004,-0.0865,-0.0020,0.9962,0
6.1364,CubeBlue,0.2159,0.4301,-0.1192,0.8684,0
6.1661,CubeRed,0.0000,-0.0865,-0.0021,0.9963,0
6.1665,CubeBlue,0.2152,0.4304,-0.1180,0.8686,0
6.2203,CubeRed,-0.0007,-0.0865,-0.0011,0.9963,0
6.2204,CubeBlue,0.2154,0.4306,-0.1170,0.8686,0
6.3307,CubeRed,-0.0005,-0.0865,-0.0007,0.9963,0
6.3310,CubeBlue,0.2155,0.4304,-0.1181,0.8686,0
6.3605,CubeRed,0.0003,-0.0865,-0.0019,0.9963,0
6.3607,CubeBlue,0.2133,0.4202,-0.1162,0.8743,0
6.4147,CubeRed,0.0002,-0.0865,-0.0023,0.9962,0
6.4149,CubeBlue,0.2070,0.3842,-0.1197,0.8917,0
6.5267,CubeRed,0.0002,-0.0865,-0.0016,0.9963,0
6.5270,CubeBlue,0.2014,0.3577,-0.1222,0.9036,0
6.5549,CubeRed,-0.0002,-0.0865,-0.0017,0.9963,0
6.5552,CubeBlue,0.1893,0.3397,-0.1232,0.9130,0
6.6087,CubeRed,0.0001,-0.0865,-0.0021,0.9963,0
6.6107,CubeBlue,0.1775,0.3454,-0.1165,0.9141,0
6.7206,CubeRed,0.0005,-0.0864,-0.0030,0.9963,0
6.7208,CubeBlue,0.1555,0.3610,-0.1052,0.9135,0
6.7489,CubeRed,0.0005,-0.0865,-0.0030,0.9963,0
6.7493,CubeBlue,0.2124,0.3814,-0.0955,0.8946,0
6.8029,CubeRed,-0.0002,-0.0865,-0.0032,0.9963,0
6.8031,CubeBlue,0.2065,0.3899,-0.1058,0.8911,0
6.9137,CubeRed,0.0001,-0.0865,-0.0023,0.9963,0
6.9140,CubeBlue,0.2075,0.3949,-0.1211,0.8868,0
6.9431,CubeRed,-0.0001,-0.0864,-0.0031,0.9963,0
6.9433,CubeBlue,0.2132,0.4203,-0.1684,0.8658,0
6.9980,CubeRed,-0.0001,-0.0864,-0.0031,0.9963,0
6.9982,CubeBlue,0.2318,0.4232,-0.1548,0.8621,0
7.1060,CubeRed,-0.0001,-0.0864,-0.0023,0.9963,0
7.1061,CubeBlue,0.2420,0.4208,-0.1616,0.8592,0
7.1349,CubeRed,-0.0004,-0.0864,-0.0023,0.9963,0
7.1351,CubeBlue,0.2456,0.4086,-0.1636,0.8637,0
7.1911,CubeRed,-0.0004,-0.0864,-0.0020,0.9963,0
7.1913,CubeBlue,0.2355,0.4042,-0.1605,0.8692,0
7.2967,CubeRed,-0.0004,-0.0864,-0.0035,0.9963,0
7.2970,CubeBlue,0.2271,0.3940,-0.1426,0.8791,0
7.3195,CubeRed,-0.0001,-0.0864,-0.0023,0.9963,0
7.3201,CubeBlue,0.2099,0.3952,-0.1023,0.8884,0
7.3736,CubeRed,-0.0004,-0.0864,-0.0026,0.9963,0
7.3738,CubeBlue,0.2099,0.3952,-0.1023,0.8884,0
7.4835,CubeRed,0.0002,-0.0864,-0.0006,0.9963,0
7.4838,CubeBlue,0.2093,0.3866,-0.1068,0.8918,0
7.5130,CubeRed,-0.0003,-0.0864,-0.0015,0.9963,0
7.5132,CubeBlue,0.2168,0.3847,-0.1069,0.8908,0
7.5672,CubeRed,-0.0003,-0.0864,-0.0015,0.9963,0
7.5674,CubeBlue,0.2185,0.3844,-0.1081,0.8904,0
7.6795,CubeRed,0.0006,-0.0864,-0.0022,0.9963,0
7.6798,CubeBlue,0.2206,0.3844,-0.1081,0.8899,0
7.7062,CubeRed,0.0005,-0.0864,-0.0023,0.9963,0
7.7065,CubeBlue,0.2209,0.3842,-0.1089,0.8898,0
7.7609,CubeRed,0.0003,-0.0864,-0.0014,0.9963,0
7.7611,CubeBlue,0.2219,0.3844,-0.1080,0.8896,0
7.8717,CubeRed,0.0003,-0.0864,-0.0025,0.9963,0
7.8719,CubeBlue,0.2205,0.3843,-0.1084,0.8899,0
7.9025,CubeRed,0.0002,-0.0864,-0.0026,0.9963,0
7.9031,CubeBlue,0.2206,0.3845,-0.1075,0.8899,0
7.9566,CubeRed,0.0012,-0.0864,-0.0024,0.9963,0
7.9567,CubeBlue,0.2216,0.3844,-0.1078,0.8897,0
8.0672,CubeRed,0.0000,-0.0864,-0.0025,0.9963,0
8.0674,CubeBlue,0.2212,0.3846,-0.1073,0.8898,0
8.0945,CubeRed,-0.0011,-0.0864,-0.0026,0.9963,0
8.0947,CubeBlue,0.2205,0.3846,-0.1070,0.8900,0
8.1498,CubeRed,0.0000,-0.0864,-0.0025,0.9963,0
8.1500,CubeBlue,0.2213,0.3844,-0.1078,0.8897,0
8.2606,CubeRed,0.0003,-0.0864,-0.0022,0.9963,0
8.2607,CubeBlue,0.2214,0.3844,-0.1074,0.8897,0
8.2895,CubeRed,0.0011,-0.0865,-0.0028,0.9963,0
8.2897,CubeBlue,0.2217,0.3844,-0.1076,0.8897,0
8.3437,CubeRed,0.0000,-0.0864,-0.0026,0.9963,0
8.3458,CubeBlue,0.2208,0.3845,-0.1072,0.8899,0
8.4563,CubeRed,0.0008,-0.0865,-0.0022,0.9963,0
8.4565,CubeBlue,0.2216,0.3843,-0.1079,0.8897,0
8.4851,CubeRed,-0.0003,-0.0865,-0.0023,0.9963,0
8.4855,CubeBlue,0.2209,0.3845,-0.1071,0.8899,0
8.5388,CubeRed,0.0000,-0.0865,-0.0025,0.9963,0
8.5390,CubeBlue,0.2215,0.3843,-0.1078,0.8897,2
8.6502,CubeRed,-0.0002,-0.0865,-0.0019,0.9963,0
8.6504,CubeBlue,0.2210,0.3845,-0.1067,0.8899,2
8.6798,CubeRed,0.0008,-0.0865,-0.0018,0.9963,0
8.6800,CubeBlue,0.2219,0.3844,-0.1073,0.8897,0
8.7329,CubeRed,0.0008,-0.0865,-0.0018,0.9963,0
8.7331,CubeBlue,0.2214,0.3841,-0.1082,0.8898,0
8.8442,CubeRed,0.0002,-0.0865,-0.0025,0.9963,0
8.8444,CubeBlue,0.2212,0.3844,-0.1073,0.8899,0
8.8730,CubeRed,-0.0001,-0.0865,-0.0024,0.9962,0
8.8732,CubeBlue,0.2210,0.3842,-0.1077,0.8899,0
8.9271,CubeRed,0.0000,-0.0865,-0.0013,0.9963,0
8.9273,CubeBlue,0.2214,0.3844,-0.1068,0.8898,0
9.0418,CubeRed,0.0000,-0.0865,-0.0026,0.9963,0
9.0419,CubeBlue,0.2212,0.3841,-0.1080,0.8899,0
9.0678,CubeRed,0.0005,-0.0814,-0.0018,0.9967,0
9.0683,CubeBlue,0.2214,0.3842,-0.1078,0.8898,0
9.1210,CubeRed,0.0005,-0.0814,-0.0018,0.9967,0
9.1212,CubeBlue,0.2214,0.3842,-0.1078,0.8898,0
9.2331,CubeRed,0.0114,0.0002,0.0017,0.9999,0
9.2333,CubeBlue,0.2216,0.3842,-0.1077,0.8898,0
9.2615,CubeRed,0.0170,0.0599,0.0026,0.9981,0
9.2617,CubeBlue,0.2224,0.3843,-0.1074,0.8896,0
9.3165,CubeRed,0.0170,0.0599,0.0026,0.9981,0
9.3167,CubeBlue,0.2222,0.3843,-0.1076,0.8896,0
9.4269,CubeRed,0.0177,0.0598,-0.0089,0.9980,0
9.4271,CubeBlue,0.2212,0.3842,-0.1077,0.8899,0
9.4560,CubeRed,0.0168,0.0505,-0.0369,0.9979,0
9.4564,CubeBlue,0.2216,0.3844,-0.1070,0.8898,0
9.5107,CubeRed,0.0145,0.0461,-0.0497,0.9976,0
9.5109,CubeBlue,0.2216,0.3844,-0.1070,0.8898,0
9.6212,CubeRed,0.0139,0.0548,-0.0632,0.9964,0
9.6213,CubeBlue,0.2214,0.3842,-0.1077,0.8898,0
9.6513,CubeRed,0.0140,0.0579,-0.0622,0.9963,0
9.6518,CubeBlue,0.2219,0.3844,-0.1069,0.8897,0
9.7048,CubeRed,-0.0157,0.0198,-0.0380,0.9990,0
9.7050,CubeBlue,0.2211,0.3842,-0.1075,0.8899,0
9.8163,CubeRed,-0.0118,-0.0068,-0.0894,0.9959,0
9.8165,CubeBlue,0.2222,0.3845,-0.1065,0.8896,0
9.8458,CubeRed,0.0295,-0.0264,-0.1411,0.9892,0
9.8460,CubeBlue,0.2217,0.3843,-0.1069,0.8898,0
