time_s,tracker_id,bbox_x,bbox_y,bbox_w,bbox_h,bbox_score,kp0_x,kp0_y,kp0_v,kp1_x,kp1_y,kp1_v,kp2_x,kp2_y,kp2_v,kp3_x,kp3_y,kp3_v,calib_status
0.1080,Blue,688.77,593.92,101.65,123.14,0.714,721.23,581.74,1.000,693.95,554.43,1.000,662.18,568.06,1.000,678.20,592.75,1.000,ongoing
0.3011,Blue,645.67,593.19,98.72,118.38,0.712,680.52,566.41,1.000,624.40,552.59,1.000,611.99,590.70,1.000,665.21,597.79,1.000,ongoing
0.4971,Blue,581.38,560.42,100.61,121.34,0.713,617.09,532.01,1.000,557.92,519.21,1.000,547.76,558.59,1.000,601.60,565.98,1.000,ongoing
0.6907,Blue,546.92,541.52,99.90,120.21,0.718,583.92,514.41,1.000,527.78,501.33,1.000,515.22,536.55,1.000,563.73,546.76,1.000,ongoing
0.6910,Red,1219.93,515.06,116.71,113.17,0.680,1225.64,509.79,1.000,1209.67,506.10,1.000,1207.40,513.95,1.000,1218.98,516.91,1.000,ongoing
0.8857,Blue,541.78,538.53,103.65,117.08,0.719,580.51,505.98,1.000,520.93,495.74,1.000,508.18,535.23,1.000,564.54,544.02,1.000,ongoing
0.8858,Red,1202.03,516.20,114.51,112.78,0.646,1210.97,508.28,1.000,1187.60,505.59,1.000,1184.03,516.99,1.000,1203.50,522.35,1.000,ongoing
1.0801,Blue,532.33,536.98,98.09,114.42,0.715,567.30,506.60,1.000,508.72,497.65,1.000,499.01,536.01,1.000,556.29,543.06,1.000,ongoing
1.0803,Red,1180.74,504.84,110.64,112.84,0.651,1201.23,487.29,1.000,1161.54,486.02,1.000,1157.26,511.58,1.000,1194.47,513.10,1.000,ongoing
1.2714,Blue,527.35,536.19,100.33,116.05,0.717,564.82,506.85,1.000,507.33,493.99,1.000,492.33,532.23,1.000,548.00,544.10,1.000,ongoing
1.2717,Red,1175.91,500.24,104.16,106.82,0.628,1189.93,487.56,1.000,1155.20,483.73,1.000,1155.40,505.11,1.000,1180.76,507.43,1.000,ongoing
1.4657,Blue,526.03,536.49,102.24,116.13,0.718,563.73,506.43,1.000,506.28,493.96,1.000,490.97,532.10,1.000,546.84,544.24,1.000,ongoing
1.4660,Red,1175.39,502.70,106.14,109.45,0.648,1193.93,481.23,1.000,1151.36,482.23,1.000,1151.34,510.39,1.000,1190.96,509.30,1.000,ongoing
1.6620,Blue,522.23,533.61,99.95,118.21,0.712,561.30,512.17,1.000,503.25,492.32,1.000,482.67,532.72,1.000,534.91,547.19,1.000,ongoing
1.6623,Red,1173.65,501.58,105.85,108.02,0.681,1193.34,484.05,1.000,1151.45,480.79,1.000,1149.80,508.20,1.000,1185.82,509.11,1.000,ongoing
1.8575,Blue,510.40,533.74,101.50,114.05,0.714,549.79,504.19,1.000,490.95,492.47,1.000,476.41,532.11,1.000,531.27,542.42,1.000,ongoing
1.8578,Red,1159.58,498.91,104.68,109.01,0.615,1166.88,482.07,1.000,1136.27,485.87,1.000,1142.50,504.99,1.000,1168.36,500.82,1.000,ongoing
2.0518,Blue,512.95,531.80,100.15,114.09,0.712,549.46,502.17,1.000,494.22,491.16,1.000,481.58,527.08,1.000,531.87,538.45,1.000,ongoing
2.0519,Red,1162.18,496.87,108.48,109.10,0.643,1167.06,481.91,1.000,1142.10,485.29,1.000,1150.90,501.38,1.000,1169.22,495.44,1.000,ongoing
2.2465,Blue,511.05,534.44,100.88,114.73,0.714,549.66,503.97,1.000,491.54,492.63,1.000,478.18,531.33,1.000,531.75,541.55,1.000,ongoing
2.2467,Red,1160.97,497.75,105.95,108.40,0.615,1167.86,481.84,1.000,1139.15,485.91,1.000,1148.12,504.53,1.000,1170.78,498.17,1.000,ongoing
2.4415,Blue,509.83,532.27,101.48,117.58,0.710,551.21,512.48,1.000,491.77,491.50,1.000,471.78,530.55,1.000,519.28,546.63,1.000,ongoing
2.4418,Red,1161.07,496.07,108.02,109.17,0.634,1172.47,475.88,1.000,1138.86,479.87,1.000,1147.66,502.99,1.000,1175.21,495.79,1.000,ongoing
2.6329,Blue,511.92,530.87,99.05,115.71,0.709,551.83,511.33,1.000,494.67,489.84,1.000,474.84,526.75,1.000,520.48,543.91,1.000,ongoing
2.6333,Red,1162.65,494.56,111.40,109.29,0.698,1185.87,474.26,1.000,1142.00,471.44,1.000,1138.44,500.19,1.000,1180.62,501.57,1.000,ongoing
2.8301,Blue,508.68,529.21,103.67,117.02,0.713,548.47,503.17,1.000,490.07,485.99,1.000,470.78,525.21,1.000,522.16,538.51,1.000,ongoing
3.0207,Blue,436.36,541.25,102.41,119.91,0.717,472.38,515.58,1.000,415.53,501.30,1.000,400.78,538.26,1.000,455.12,549.40,1.000,ongoing
3.0209,Red,1071.40,506.49,102.33,104.84,0.691,1095.18,479.23,1.000,1051.96,480.94,1.000,1049.35,509.29,1.000,1092.93,508.45,1.000,ongoing
3.2150,Blue,311.84,580.36,110.85,122.07,0.708,345.76,545.47,1.000,286.49,538.95,1.000,275.33,579.85,1.000,341.12,588.42,1.000,ongoing
3.4127,Blue,246.69,630.54,115.37,124.98,0.713,282.94,599.16,1.000,224.92,587.56,1.000,210.12,626.14,1.000,272.96,638.78,1.000,ongoing
3.6065,Blue,238.85,636.75,121.25,129.81,0.721,284.49,608.14,1.000,221.13,589.28,1.000,199.92,636.01,1.000,265.49,648.92,1.000,ongoing
3.8035,Blue,225.94,626.50,127.35,136.86,0.711,265.72,589.58,1.000,198.64,580.71,1.000,187.65,629.52,1.000,254.51,633.50,1.000,ongoing
3.9968,Blue,262.69,623.29,122.38,135.76,0.713,302.47,586.12,1.000,235.73,577.44,1.000,228.81,623.64,1.000,293.32,627.75,1.000,ongoing
