time_s,tracker_id,pos_x,pos_y,pos_z,rot_y,is_gripping,down_face_x,down_face_y,down_face_z
0.0084,CubeRed,0.1701,0.6716,0.4534,16.69,0,0.00,-1.00,0.00
0.0085,CubeBlue,-0.2385,0.6716,0.2989,11.75,0,0.00,-1.00,0.00
0.1090,CubeRed,0.1701,0.6716,0.4534,16.69,0,0.00,-1.00,0.00
0.1092,CubeBlue,-0.2385,0.6716,0.2989,11.77,0,0.00,-1.00,0.00
0.1359,CubeRed,0.1701,0.6716,0.4534,16.68,0,0.00,-1.00,0.00
0.1360,CubeBlue,-0.2385,0.6716,0.2989,11.75,0,0.00,-1.00,0.00
0.1920,CubeRed,0.1701,0.6716,0.4534,16.69,0,0.00,-1.00,0.00
0.1922,CubeBlue,-0.2385,0.6716,0.2989,11.78,0,0.00,-1.00,0.00
0.3019,CubeRed,0.1701,0.6716,0.4534,16.69,0,0.00,-1.00,0.00
0.3021,CubeBlue,-0.2385,0.6716,0.2989,11.73,0,0.00,-1.00,0.00
0.3310,CubeRed,0.1701,0.6716,0.4534,16.69,0,0.00,-1.00,0.00
0.3314,CubeBlue,-0.2385,0.6716,0.2989,11.73,0,0.00,-1.00,0.00
0.3883,CubeRed,0.1701,0.6716,0.4534,16.69,0,0.00,-1.00,0.00
0.3885,CubeBlue,-0.2385,0.6716,0.2989,11.71,0,0.00,-1.00,0.00
0.4980,CubeRed,0.1701,0.6716,0.4534,16.69,0,0.00,-1.00,0.00
0.4982,CubeBlue,-0.2385,0.6716,0.2989,11.74,0,0.00,-1.00,0.00
0.5275,CubeRed,0.1701,0.6716,0.4534,16.69,0,0.00,-1.00,0.00
0.5277,CubeBlue,-0.2385,0.6716,0.2989,11.74,0,0.00,-1.00,0.00
0.5801,CubeRed,0.1701,0.6716,0.4534,16.69,0,0.00,-1.00,0.00
0.5802,CubeBlue,-0.2385,0.6716,0.2989,11.74,0,0.00,-1.00,0.00
0.6917,CubeRed,0.1716,0.6716,0.4511,16.69,0,0.00,-1.00,0.00
0.6919,CubeBlue,-0.2385,0.6716,0.2989,11.80,0,0.00,-1.00,0.00
0.7212,CubeRed,0.1716,0.6716,0.4511,16.69,0,0.00,-1.00,0.00
0.7214,CubeBlue,-0.2385,0.6716,0.2989,11.78,0,0.00,-1.00,0.00
0.7748,CubeRed,0.1716,0.6716,0.4511,16.69,0,0.00,-1.00,0.00
0.7749,CubeBlue,-0.2385,0.6716,0.2989,11.77,0,0.00,-1.00,0.00
0.8866,CubeRed,0.1716,0.6716,0.4511,16.69,0,0.00,-1.00,0.00
0.8868,CubeBlue,-0.2385,0.6716,0.2989,11.73,0,0.00,-1.00,0.00
0.9159,CubeRed,0.1716,0.6716,0.4511,16.69,0,0.00,-1.00,0.00
0.9164,CubeBlue,-0.2385,0.6716,0.2989,11.71,0,0.00,-1.00,0.00
0.9720,CubeRed,0.1716,0.6716,0.4511,16.69,0,0.00,-1.00,0.00
0.9722,CubeBlue,-0.2385,0.6716,0.2989,11.74,0,0.00,-1.00,0.00
1.0810,CubeRed,0.1716,0.6716,0.4511,16.69,0,0.00,-1.00,0.00
1.0811,CubeBlue,-0.2385,0.6716,0.2989,11.73,0,0.00,-1.00,0.00
1.1086,CubeRed,0.1716,0.6716,0.4511,16.69,0,0.00,-1.00,0.00
1.1088,CubeBlue,-0.2385,0.6716,0.2989,11.73,0,0.00,-1.00,0.00
1.1637,CubeRed,0.1716,0.6716,0.4511,16.69,0,0.00,-1.00,0.00
1.1638,CubeBlue,-0.2385,0.6716,0.2989,11.73,0,0.00,-1.00,0.00
1.2724,CubeRed,0.1716,0.6716,0.4511,16.69,0,0.00,-1.00,0.00
1.2726,CubeBlue,-0.2385,0.6716,0.2989,11.76,0,0.00,-1.00,0.00
1.3025,CubeRed,0.1716,0.6716,0.4511,16.69,0,0.00,-1.00,0.00
1.3026,CubeBlue,-0.2385,0.6716,0.2989,11.74,0,0.00,-1.00,0.00
1.3586,CubeRed,0.1716,0.6716,0.4511,16.69,0,0.00,-1.00,0.00
1.3587,CubeBlue,-0.2385,0.6716,0.2989,11.72,0,0.00,-1.00,0.00
1.4668,CubeRed,0.1716,0.6716,0.4511,16.69,0,0.00,-1.00,0.00
