time_s,tracker_id,qx,qy,qz,qw,raw_grip
2.8607,CubeBlue,0.0080,-0.5601,-0.0111,0.8283,0
2.9134,CubeRed,-0.1092,0.1935,-0.6622,0.7156,0
2.9136,CubeBlue,0.0084,-0.5601,-0.0119,0.8283,0
3.0265,CubeRed,-0.0299,0.1618,-0.7060,0.6889,0
3.0267,CubeBlue,0.0065,-0.5602,-0.0112,0.8283,0
3.0545,CubeRed,-0.0122,0.1417,-0.6912,0.7086,0
3.0549,CubeBlue,0.0059,-0.5601,-0.0130,0.8283,0
3.1080,CubeRed,-0.0122,0.1417,-0.6912,0.7086,0
3.1101,CubeBlue,0.0060,-0.5601,-0.0128,0.8283,0
3.2195,CubeRed,-0.0389,0.1409,-0.6995,0.6995,0
3.2199,CubeBlue,0.0069,-0.5600,-0.0131,0.8283,0
3.2492,CubeRed,-0.0431,0.1370,-0.6999,0.6996,0
3.2493,CubeBlue,0.0073,-0.5600,-0.0122,0.8284,0
3.3027,CubeRed,-0.0448,0.1355,-0.6985,0.7012,0
3.3029,CubeBlue,0.0063,-0.5600,-0.0116,0.8284,0
3.4160,CubeRed,-0.0476,0.1331,-0.6973,0.7027,0
3.4162,CubeBlue,0.0058,-0.5600,-0.0116,0.8284,0
3.4419,CubeRed,-0.0508,0.1304,-0.6945,0.7058,0
3.4420,CubeBlue,0.0064,-0.5600,-0.0122,0.8284,0
3.4962,CubeRed,-0.0518,0.1294,-0.6949,0.7054,0
3.4964,CubeBlue,0.0064,-0.5600,-0.0122,0.8284,0
3.6074,CubeRed,-0.0536,0.1279,-0.6931,0.7074,0
3.6077,CubeBlue,0.0069,-0.5600,-0.0111,0.8284,0
3.6367,CubeRed,-0.0560,0.1259,-0.6919,0.7087,0
3.6372,CubeBlue,0.0071,-0.5600,-0.0117,0.8284,0
3.6937,CubeRed,-0.0570,0.1251,-0.6914,0.7093,0
3.6939,CubeBlue,0.0061,-0.5600,-0.0118,0.8284,0
3.8019,CubeRed,-0.0576,0.1245,-0.6916,0.7092,0
3.8021,CubeBlue,0.0069,-0.5600,-0.0122,0.8284,0
3.8324,CubeRed,-0.1273,0.1965,-0.6939,0.6809,0
3.8325,CubeBlue,0.0065,-0.5601,-0.0121,0.8283,0
3.8851,CubeRed,-0.1537,0.2138,-0.7024,0.6613,0
3.8853,CubeBlue,0.0065,-0.5601,-0.0121,0.8283,0
3.9978,CubeRed,-0.1621,0.2269,-0.6999,0.6575,0
3.9981,CubeBlue,0.0059,-0.5601,-0.0123,0.8283,0
4.0268,CubeRed,-0.1651,0.2507,-0.6744,0.6746,0
4.0271,CubeBlue,0.0053,-0.5600,-0.0130,0.8283,0
4.0794,CubeRed,-0.1579,0.2474,-0.6677,0.6842,0
4.0795,CubeBlue,0.0061,-0.5601,-0.0129,0.8283,0
4.1932,CubeRed,-0.1692,0.2347,-0.6844,0.6692,0
4.1935,CubeBlue,0.0054,-0.5601,-0.0128,0.8283,0
4.2219,CubeRed,-0.1713,0.2323,-0.6803,0.6737,0
4.2223,CubeBlue,0.0069,-0.5601,-0.0126,0.8283,0
4.2765,CubeRed,-0.1729,0.2308,-0.6794,0.6748,0
4.2767,CubeBlue,0.0069,-0.5601,-0.0126,0.8283,0
4.3887,CubeRed,-0.1727,0.2310,-0.6784,0.6757,0
4.3889,CubeBlue,0.0084,-0.5600,-0.0135,0.8284,0
4.4148,CubeRed,-0.1752,0.2289,-0.6750,0.6792,0
4.4151,CubeBlue,0.0081,-0.5600,-0.0118,0.8284,0
4.4693,CubeRed,-0.1753,0.2290,-0.6739,0.6802,0
4.4694,CubeBlue,0.0081,-0.5600,-0.0118,0.8284,0
4.5826,CubeRed,-0.1771,0.2274,-0.6722,0.6819,0
4.5828,CubeBlue,0.0018,-0.5612,-0.0077,0.8276,0
4.6087,CubeRed,-0.1787,0.2261,-0.6701,0.6840,0
4.6088,CubeBlue,-0.0669,-0.5169,-0.0687,0.8507,0
4.6630,CubeRed,-0.1791,0.2258,-0.6693,0.6848,0
4.6633,CubeBlue,-0.0669,-0.5169,-0.0687,0.8507,0
4.7752,CubeRed,-0.1800,0.2251,-0.6685,0.6856,0
4.7754,CubeBlue,-0.0572,-0.5041,-0.0982,0.8562,0
4.8035,CubeRed,-0.1811,0.2243,-0.6670,0.6870,0
4.8040,CubeBlue,-0.0182,-0.4742,-0.0500,0.8788,0
4.8610,CubeRed,-0.1818,0.2237,-0.6661,0.6879,0
4.8612,CubeBlue,-0.0189,-0.4626,-0.0529,0.8848,0
4.9690,CubeRed,-0.1820,0.2236,-0.6654,0.6886,0
4.9694,CubeBlue,-0.0132,-0.4402,-0.0498,0.8964,0
4.9958,CubeRed,-0.1835,0.2225,-0.6639,0.6900,0
4.9959,CubeBlue,-0.0095,-0.4402,-0.0514,0.8964,0
5.0519,CubeRed,-0.1838,0.2222,-0.6645,0.6894,0
5.0520,CubeBlue,-0.0075,-0.4402,-0.0498,0.8965,0
5.1627,CubeRed,-0.1842,0.2219,-0.6639,0.6900,0
5.1631,CubeBlue,-0.0038,-0.4401,-0.0484,0.8966,0
5.1918,CubeRed,-0.1848,0.2214,-0.6630,0.6908,0
5.1920,CubeBlue,0.0022,-0.4399,-0.0450,0.8969,0
5.2443,CubeRed,-0.1850,0.2213,-0.6621,0.6916,0
5.2445,CubeBlue,0.0034,-0.4399,-0.0440,0.8970,0
5.3559,CubeRed,-0.1852,0.2211,-0.6625,0.6913,0
5.3564,CubeBlue,0.0049,-0.4399,-0.0437,0.8970,0
5.3870,CubeRed,-0.1855,0.2211,-0.6618,0.6918,0
5.3875,CubeBlue,0.0082,-0.4398,-0.0415,0.8971,0
5.4425,CubeRed,-0.1855,0.2211,-0.6618,0.6918,0
5.4426,CubeBlue,0.0095,-0.4397,-0.0413,0.8971,0
5.5553,CubeRed,-0.1860,0.2207,-0.6610,0.6926,0
5.5555,CubeBlue,0.0141,-0.4493,-0.0283,0.8928,0
5.5839,CubeRed,-0.1859,0.2210,-0.6605,0.6931,0
5.5843,CubeBlue,-0.0587,-0.4752,-0.0372,0.8771,7
5.6348,CubeRed,-0.1862,0.2208,-0.6611,0.6925,0
5.6350,CubeBlue,-0.0480,-0.4937,-0.0507,0.8668,7
5.7520,CubeRed,-0.1854,0.2216,-0.6603,0.6932,0
