time_s,tracker_id,pos_x,pos_y,pos_z,rot_y,is_gripping,down_face_x,down_face_y,down_face_z
2.2451,CubeBlue,0.1281,0.6933,0.4438,37.18,0,0.00,-1.00,0.00
2.2453,CubeRed,-0.1330,0.6933,0.5961,5.58,0,0.00,-1.00,0.00
2.2749,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
2.2754,CubeRed,-0.1330,0.6933,0.5961,5.59,0,0.00,-1.00,0.00
2.3292,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
2.3294,CubeRed,-0.1330,0.6933,0.5961,5.59,0,0.00,-1.00,0.00
2.4403,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
2.4404,CubeRed,-0.1330,0.6933,0.5961,5.59,0,0.00,-1.00,0.00
2.4690,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
2.4692,CubeRed,-0.1330,0.6933,0.5961,5.59,0,0.00,-1.00,0.00
2.5257,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
2.5258,CubeRed,-0.1330,0.6933,0.5961,5.59,0,0.00,-1.00,0.00
2.6353,CubeBlue,0.1281,0.6933,0.4438,37.16,0,0.00,-1.00,0.00
2.6355,CubeRed,-0.1330,0.6933,0.5961,5.59,0,0.00,-1.00,0.00
2.6642,CubeBlue,0.1281,0.6933,0.4438,37.16,0,0.00,-1.00,0.00
2.6645,CubeRed,-0.1330,0.6933,0.5961,5.59,0,0.00,-1.00,0.00
2.7177,CubeBlue,0.1281,0.6933,0.4438,37.16,0,0.00,-1.00,0.00
2.7179,CubeRed,-0.1330,0.6933,0.5961,5.59,0,0.00,-1.00,0.00
2.8310,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
2.8311,CubeRed,-0.1330,0.6933,0.5961,5.59,0,0.00,-1.00,0.00
2.8593,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
2.8597,CubeRed,-0.1330,0.6933,0.5961,5.58,0,0.00,-1.00,0.00
2.9123,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
2.9124,CubeRed,-0.1330,0.6933,0.5961,5.59,0,0.00,-1.00,0.00
3.0242,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
3.0244,CubeRed,-0.1330,0.6933,0.5961,5.58,0,0.00,-1.00,0.00
3.0514,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
3.0516,CubeRed,-0.1330,0.6933,0.5961,5.59,0,0.00,-1.00,0.00
3.1092,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
3.1093,CubeRed,-0.1330,0.6933,0.5961,5.59,0,0.00,-1.00,0.00
3.2159,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
3.2161,CubeRed,-0.1330,0.6933,0.5961,5.59,0,0.00,-1.00,0.00
3.2462,CubeBlue,0.1281,0.6933,0.4438,37.16,0,0.00,-1.00,0.00
3.2463,CubeRed,-0.1330,0.6933,0.5961,5.59,0,0.00,-1.00,0.00
3.3017,CubeBlue,0.1281,0.6933,0.4438,37.16,0,0.00,-1.00,0.00
3.3018,CubeRed,-0.1330,0.6933,0.5961,5.59,0,0.00,-1.00,0.00
3.4101,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
3.4105,CubeRed,-0.1330,0.6933,0.5961,5.59,0,0.00,-1.00,0.00
3.4415,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
3.4419,CubeRed,-0.1330,0.6933,0.5961,5.59,0,0.00,-1.00,0.00
3.4962,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
3.4964,CubeRed,-0.1330,0.6933,0.5961,5.59,0,0.00,-1.00,0.00
3.6083,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
3.6085,CubeRed,-0.1330,0.6933,0.5961,5.59,0,0.00,-1.00,0.00
3.6369,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
3.6371,CubeRed,-0.1330,0.6933,0.5961,5.58,0,0.00,-1.00,0.00
3.6917,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
3.6918,CubeRed,-0.1330,0.6933,0.5961,5.58,0,0.00,-1.00,0.00
3.8027,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
3.8029,CubeRed,-0.1330,0.6933,0.5961,5.58,0,0.00,-1.00,0.00
3.8313,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
3.8315,CubeRed,-0.1330,0.6933,0.5961,5.58,0,0.00,-1.00,0.00
3.8828,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
3.8829,CubeRed,-0.1330,0.6933,0.5961,5.58,0,0.00,-1.00,0.00
3.9970,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
3.9973,CubeRed,-0.1330,0.6933,0.5961,5.58,0,0.00,-1.00,0.00
4.0248,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
4.0253,CubeRed,-0.1330,0.6933,0.5961,5.58,0,0.00,-1.00,0.00
4.0779,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
4.0781,CubeRed,-0.1330,0.6933,0.5961,5.58,0,0.00,-1.00,0.00
4.1875,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
4.1877,CubeRed,-0.1330,0.6933,0.5961,5.59,0,0.00,-1.00,0.00
4.2173,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
4.2174,CubeRed,-0.1330,0.6933,0.5961,5.67,0,0.00,-1.00,0.00
4.2722,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
4.2756,CubeRed,-0.1330,0.6933,0.5961,5.70,0,0.00,-1.00,0.00
4.3844,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
4.3848,CubeRed,-0.1330,0.6933,0.5961,5.82,0,0.00,-1.00,0.00
4.4116,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
4.4117,CubeRed,-0.1288,0.6869,0.5959,6.16,0,0.00,-1.00,0.00
4.4667,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
4.4669,CubeRed,-0.1278,0.6814,0.6008,6.16,0,0.00,-1.00,0.00
4.5761,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
4.5762,CubeRed,-0.1234,0.6804,0.6081,6.32,0,0.00,-1.00,0.00
4.6061,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
4.6066,CubeRed,-0.1215,0.6760,0.6133,6.93,0,0.00,-1.00,0.00
4.6626,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
4.6627,CubeRed,-0.1207,0.6740,0.6125,8.49,0,0.00,-1.00,0.00
4.7701,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
4.7703,CubeRed,-0.1174,0.6733,0.6109,6.02,0,0.00,-1.00,0.00
4.8004,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
4.8005,CubeRed,-0.1129,0.6670,0.6085,353.93,0,0.00,-1.00,0.00
4.8580,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
4.8581,CubeRed,-0.1085,0.6567,0.6110,349.05,0,0.00,-1.00,0.00
4.9646,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
4.9648,CubeRed,-0.1072,0.6497,0.6081,346.49,0,0.00,-1.00,0.00
4.9809,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
4.9812,CubeRed,-0.1037,0.6460,0.6168,346.37,0,0.00,-1.00,0.00
5.0368,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
5.0369,CubeRed,-0.1061,0.6517,0.6175,346.37,0,0.00,-1.00,0.00
5.1457,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
5.1459,CubeRed,-0.1201,0.6941,0.6023,346.37,0,0.00,-1.00,0.00
5.1759,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
5.1766,CubeRed,-0.1265,0.7306,0.5848,346.38,0,0.00,-1.00,0.00
5.2309,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
5.2310,CubeRed,-0.1228,0.6741,0.5978,346.38,0,0.00,-1.00,0.00
5.3398,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
5.3401,CubeRed,-0.1228,0.6741,0.5978,346.43,0,0.00,-1.00,0.00
5.3693,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
5.3695,CubeRed,-0.1228,0.6741,0.5978,346.41,0,0.00,-1.00,0.00
5.4254,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
5.4275,CubeRed,-0.1228,0.6741,0.5978,346.39,0,0.00,-1.00,0.00
5.5334,CubeBlue,0.1281,0.6933,0.4438,37.18,0,0.00,-1.00,0.00
5.5337,CubeRed,-0.1228,0.6741,0.5978,344.94,0,0.00,-1.00,0.00
5.5510,CubeBlue,0.1281,0.6933,0.4438,37.18,0,0.00,-1.00,0.00
5.5511,CubeRed,-0.1228,0.6741,0.5978,343.94,0,0.00,-1.00,0.00
5.6061,CubeBlue,0.1281,0.6933,0.4438,37.18,0,0.00,-1.00,0.00
5.6062,CubeRed,-0.1228,0.6741,0.5978,343.94,0,0.00,-1.00,0.00
5.7151,CubeBlue,0.1281,0.6933,0.4438,37.18,0,0.00,-1.00,0.00
5.7152,CubeRed,-0.1217,0.6668,0.6021,350.30,0,0.00,-1.00,0.00
5.7457,CubeBlue,0.1281,0.6933,0.4438,37.18,0,0.00,-1.00,0.00
5.7463,CubeRed,-0.1199,0.6717,0.6002,351.35,0,0.00,-1.00,0.00
5.8005,CubeBlue,0.1281,0.6933,0.4438,37.18,0,0.00,-1.00,0.00
5.8006,CubeRed,-0.1158,0.6727,0.6000,351.34,0,0.00,-1.00,0.00
5.9096,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
5.9098,CubeRed,-0.1074,0.6722,0.6000,351.44,0,0.00,-1.00,0.00
5.9407,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
5.9409,CubeRed,-0.1002,0.6685,0.6045,358.87,0,0.00,-1.00,0.00
5.9966,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
5.9967,CubeRed,-0.0997,0.6622,0.6021,-0.01,0,0.00,-1.00,0.00
6.1046,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
6.1048,CubeRed,-0.0991,0.6476,0.6002,2.61,0,0.00,-1.00,0.00
6.1342,CubeBlue,0.1281,0.6933,0.4438,37.16,0,0.00,-1.00,0.00
6.1344,CubeRed,-0.1019,0.6381,0.5985,11.91,0,0.00,-1.00,0.00
6.1894,CubeBlue,0.1281,0.6933,0.4438,37.16,0,0.00,-1.00,0.00
6.1895,CubeRed,-0.0991,0.6322,0.5991,12.20,0,0.00,-1.00,0.00
6.2983,CubeBlue,0.1281,0.6933,0.4438,37.16,0,0.00,-1.00,0.00
6.2986,CubeRed,-0.0918,0.6285,0.5969,12.76,0,0.00,-1.00,0.00
6.3279,CubeBlue,0.1281,0.6933,0.4438,37.16,0,0.00,-1.00,0.00
6.3283,CubeRed,-0.0827,0.6223,0.5950,14.03,0,0.00,-1.00,0.00
6.3838,CubeBlue,0.1281,0.6933,0.4438,37.16,0,0.00,-1.00,0.00
6.3839,CubeRed,-0.0791,0.6143,0.5937,13.90,0,0.00,-1.00,0.00
6.4928,CubeBlue,0.1281,0.6933,0.4438,37.16,0,0.00,-1.00,0.00
6.4930,CubeRed,-0.0946,0.6207,0.5882,13.77,0,0.00,-1.00,0.00
6.5222,CubeBlue,0.1281,0.6933,0.4438,37.15,0,0.00,-1.00,0.00
6.5224,CubeRed,-0.0921,0.6113,0.5811,14.40,0,0.00,-1.00,0.00
6.5803,CubeBlue,0.1281,0.6933,0.4438,37.15,0,0.00,-1.00,0.00
6.5804,CubeRed,-0.0904,0.6137,0.5740,13.76,0,0.00,-1.00,0.00
6.6866,CubeBlue,0.1281,0.6933,0.4438,37.15,0,0.00,-1.00,0.00
6.6867,CubeRed,-0.1032,0.6387,0.5745,12.25,0,0.00,-1.00,0.00
6.7027,CubeBlue,0.1281,0.6933,0.4438,37.15,0,0.00,-1.00,0.00
6.7029,CubeRed,-0.1017,0.6435,0.5724,6.88,0,0.00,-1.00,0.00
6.7592,CubeBlue,0.1281,0.6933,0.4438,37.15,0,0.00,-1.00,0.00
6.7593,CubeRed,-0.0996,0.6454,0.5711,4.74,0,0.00,-1.00,0.00
6.8656,CubeBlue,0.1281,0.6933,0.4438,37.15,0,0.00,-1.00,0.00
6.8658,CubeRed,-0.0912,0.6609,0.5610,2.50,0,0.00,-1.00,0.00
6.8836,CubeBlue,0.1281,0.6933,0.4438,37.15,0,0.00,-1.00,0.00
6.8841,CubeRed,-0.0887,0.6752,0.5450,1.72,0,0.00,-1.00,0.00
6.9410,CubeBlue,0.1281,0.6933,0.4438,37.15,0,0.00,-1.00,0.00
6.9411,CubeRed,-0.0883,0.6790,0.5400,0.88,0,0.00,-1.00,0.00
7.0486,CubeBlue,0.1281,0.6933,0.4438,37.15,0,0.00,-1.00,0.00
7.0487,CubeRed,-0.1017,0.6926,0.5436,358.01,0,0.00,-1.00,0.00
7.0785,CubeBlue,0.1281,0.6933,0.4438,37.15,0,0.00,-1.00,0.00
7.0787,CubeRed,-0.1021,0.7061,0.5195,354.95,0,0.00,-1.00,0.00
7.1363,CubeBlue,0.1281,0.6933,0.4438,37.15,0,0.00,-1.00,0.00
7.1365,CubeRed,-0.0999,0.7076,0.5073,354.95,0,0.00,-1.00,0.00
7.2432,CubeBlue,0.1281,0.6933,0.4438,37.14,0,0.00,-1.00,0.00
7.2434,CubeRed,-0.1180,0.6859,0.5679,353.83,0,0.00,-1.00,0.00
7.2735,CubeBlue,0.1281,0.6933,0.4438,37.14,0,0.00,-1.00,0.00
7.2737,CubeRed,-0.1180,0.6859,0.5679,353.53,0,0.00,-1.00,0.00
7.3283,CubeBlue,0.1281,0.6933,0.4438,37.14,0,0.00,-1.00,0.00
7.3284,CubeRed,-0.1180,0.6859,0.5679,352.81,0,0.00,-1.00,0.00
7.4367,CubeBlue,0.1281,0.6933,0.4438,37.14,0,0.00,-1.00,0.00
7.4369,CubeRed,-0.1074,0.6933,0.4871,350.99,0,0.00,-1.00,0.00
7.4680,CubeBlue,0.1281,0.6933,0.4438,37.14,0,0.00,-1.00,0.00
7.4687,CubeRed,-0.1074,0.6933,0.4871,348.87,0,0.00,-1.00,0.00
7.5228,CubeBlue,0.1281,0.6933,0.4438,37.15,0,0.00,-1.00,0.00
7.5230,CubeRed,-0.1074,0.6933,0.4871,346.05,0,0.00,-1.00,0.00
7.6324,CubeBlue,0.1281,0.6933,0.4438,37.15,0,0.00,-1.00,0.00
7.6326,CubeRed,-0.1152,0.6933,0.4055,350.96,0,0.00,-1.00,0.00
7.6632,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
7.6634,CubeRed,-0.1152,0.6933,0.4055,351.42,0,0.00,-1.00,0.00
7.7201,CubeBlue,0.1281,0.6933,0.4438,37.18,0,0.00,-1.00,0.00
7.7202,CubeRed,-0.1167,0.6970,0.4068,351.91,0,0.00,-1.00,0.00
7.8292,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
7.8295,CubeRed,-0.1167,0.7012,0.4080,352.49,0,0.00,-1.00,0.00
7.8562,CubeBlue,0.1281,0.6933,0.4438,37.18,0,0.00,-1.00,0.00
7.8563,CubeRed,-0.1174,0.7017,0.4070,350.65,0,0.00,-1.00,0.00
7.9103,CubeBlue,0.1281,0.6933,0.4438,37.18,0,0.00,-1.00,0.00
7.9104,CubeRed,-0.0993,0.7114,0.4065,348.96,0,0.00,-1.00,0.00
8.0205,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
8.0208,CubeRed,-0.1031,0.6789,0.3835,348.90,0,0.00,-1.00,0.00
8.0498,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
8.0502,CubeRed,-0.1031,0.6789,0.3835,349.01,0,0.00,-1.00,0.00
8.1059,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
8.1060,CubeRed,-0.1031,0.6789,0.3835,349.03,0,0.00,-1.00,0.00
8.2149,CubeBlue,0.1281,0.6933,0.4438,37.17,0,0.00,-1.00,0.00
8.2151,CubeRed,-0.1031,0.6789,0.3835,349.04,0,0.00,-1.00,0.00
8.2450,CubeBlue,0.1281,0.6933,0.4438,37.16,0,0.00,-1.00,0.00
8.2452,CubeRed,-0.1031,0.6789,0.3835,349.08,0,0.00,-1.00,0.00
8.3041,CubeBlue,0.1281,0.6933,0.4438,37.16,0,0.00,-1.00,0.00
8.3042,CubeRed,-0.1031,0.6789,0.3835,349.09,0,0.00,-1.00,0.00
8.4127,CubeBlue,0.1281,0.6933,0.4438,37.16,0,0.00,-1.00,0.00
8.4128,CubeRed,-0.1031,0.6789,0.3835,349.11,0,0.00,-1.00,0.00
8.4404,CubeBlue,0.1281,0.6933,0.4438,37.16,0,0.00,-1.00,0.00
8.4406,CubeRed,-0.1031,0.6789,0.3835,349.14,0,0.00,-1.00,0.00
8.4940,CubeBlue,0.1281,0.6933,0.4438,37.16,0,0.00,-1.00,0.00
8.4942,CubeRed,-0.1031,0.6789,0.3835,349.15,0,0.00,-1.00,0.00
8.6070,CubeBlue,0.1305,0.6933,0.4350,36.87,0,0.00,-1.00,0.00
8.6072,CubeRed,-0.1031,0.6789,0.3835,349.15,0,0.00,-1.00,0.00
8.6375,CubeBlue,0.1305,0.6933,0.4350,36.87,0,0.00,-1.00,0.00
8.6379,CubeRed,-0.1031,0.6789,0.3835,349.18,0,0.00,-1.00,0.00
8.6902,CubeBlue,0.1305,0.6933,0.4350,36.87,0,0.00,-1.00,0.00
8.6903,CubeRed,-0.1031,0.6789,0.3835,349.18,0,0.00,-1.00,0.00
8.8036,CubeBlue,0.1305,0.6933,0.4350,36.87,0,0.00,-1.00,0.00
8.8038,CubeRed,-0.1031,0.6789,0.3835,349.20,0,0.00,-1.00,0.00
8.8313,CubeBlue,0.1305,0.6933,0.4350,36.86,0,0.00,-1.00,0.00
8.8314,CubeRed,-0.1031,0.6789,0.3835,349.21,0,0.00,-1.00,0.00
8.8844,CubeBlue,0.1305,0.6933,0.4350,36.86,0,0.00,-1.00,0.00
8.8846,CubeRed,-0.1031,0.6789,0.3835,349.22,0,0.00,-1.00,0.00
9.0023,CubeBlue,0.1305,0.6933,0.4350,36.86,0,0.00,-1.00,0.00
9.0025,CubeRed,-0.1031,0.6789,0.3835,349.22,0,0.00,-1.00,0.00
9.0255,CubeBlue,0.1305,0.6933,0.4350,36.86,0,0.00,-1.00,0.00
9.0257,CubeRed,-0.1031,0.6789,0.3835,349.24,0,0.00,-1.00,0.00
9.0780,CubeBlue,0.1305,0.6933,0.4350,36.86,0,0.00,-1.00,0.00
9.0781,CubeRed,-0.1031,0.6789,0.3835,349.25,0,0.00,-1.00,0.00
9.1931,CubeBlue,0.1305,0.6933,0.4350,36.86,0,0.00,-1.00,0.00
9.1933,CubeRed,-0.1031,0.6789,0.3835,349.25,0,0.00,-1.00,0.00
9.2200,CubeBlue,0.1305,0.6933,0.4350,36.86,0,0.00,-1.00,0.00
9.2204,CubeRed,-0.1031,0.6789,0.3835,349.27,0,0.00,-1.00,0.00
9.2729,CubeBlue,0.1305,0.6933,0.4350,36.86,0,0.00,-1.00,0.00
9.2731,CubeRed,-0.1031,0.6789,0.3835,349.28,0,0.00,-1.00,0.00
