time_s,tracker_id,qx,qy,qz,qw,raw_grip
0.0029,CubeBlue,-0.0194,0.8586,-0.0178,0.5119,0
0.0031,CubeRed,0.0002,-0.0929,-0.0004,0.9957,0
0.1085,CubeBlue,-0.0174,0.8530,-0.0137,0.5214,0
0.1088,CubeRed,0.0008,-0.0929,-0.0001,0.9957,0
0.1364,CubeBlue,-0.0171,0.8478,-0.0134,0.5299,0
0.1367,CubeRed,0.0012,-0.0929,0.0006,0.9957,0
0.1938,CubeBlue,-0.0180,0.8425,-0.0139,0.5382,0
0.1940,CubeRed,0.0011,-0.0929,0.0004,0.9957,0
0.3037,CubeBlue,-0.0163,0.8313,-0.0095,0.5556,0
0.3040,CubeRed,0.0011,-0.0929,0.0004,0.9957,0
0.3318,CubeBlue,-0.0101,0.8217,-0.0093,0.5698,0
0.3320,CubeRed,0.0007,-0.0929,0.0002,0.9957,0
0.3855,CubeBlue,-0.0084,0.8217,-0.0100,0.5698,0
0.3857,CubeRed,0.0007,-0.0929,0.0002,0.9957,0
0.5021,CubeBlue,-0.0090,0.8217,-0.0101,0.5698,0
0.5023,CubeRed,0.0003,-0.0929,-0.0002,0.9957,0
0.5257,CubeBlue,-0.0088,0.8217,-0.0109,0.5698,3
0.5261,CubeRed,0.0006,-0.0930,-0.0001,0.9957,0
0.5781,CubeBlue,-0.0088,0.8217,-0.0109,0.5698,3
0.5783,CubeRed,0.0006,-0.0930,-0.0007,0.9957,0
0.6901,CubeBlue,-0.0081,0.8217,-0.0107,0.5698,0
0.6903,CubeRed,0.0006,-0.0930,-0.0002,0.9957,0
0.7193,CubeBlue,-0.0087,0.8217,-0.0112,0.5698,0
0.7195,CubeRed,0.0008,-0.0930,-0.0005,0.9957,0
0.7729,CubeBlue,-0.0087,0.8217,-0.0112,0.5698,0
0.7731,CubeRed,0.0005,-0.0930,0.0000,0.9957,0
0.8872,CubeBlue,-0.0082,0.8217,-0.0114,0.5698,0
0.8874,CubeRed,0.0009,-0.0929,-0.0007,0.9957,0
0.9137,CubeBlue,-0.0091,0.8216,-0.0108,0.5698,0
0.9140,CubeRed,0.0005,-0.0930,0.0002,0.9957,0
0.9673,CubeBlue,-0.0086,0.8216,-0.0109,0.5698,0
0.9675,CubeRed,0.0005,-0.0930,-0.0002,0.9957,0
1.0793,CubeBlue,-0.0086,0.8216,-0.0120,0.5698,0
