time_s,tracker_id,path,raw_offset_deg,abs_error_deg,sym_error_deg,calib_type
1.8527,CubeRed,continuous_keypoint_yaw,16.26,16.26,16.26,instant
8.6059,CubeBlue,continuous_keypoint_yaw,-73.61,73.61,16.39,instant
13.2726,CubeBlue,continuous_keypoint_yaw,-79.63,79.63,10.37,instant
18.1313,CubeBlue,continuous_keypoint_yaw,-73.00,73.00,17.00,instant
20.6377,CubeBlue,continuous_keypoint_yaw,-81.02,81.02,8.98,instant
23.1611,CubeBlue,continuous_keypoint_yaw,-80.31,80.31,9.69,instant
25.8855,CubeBlue,continuous_keypoint_yaw,-83.85,83.85,6.15,instant
30.7305,CubeBlue,continuous_keypoint_yaw,-71.12,71.12,18.88,instant
34.2142,CubeBlue,continuous_keypoint_yaw,-69.37,69.37,20.63,instant
34.6073,CubeRed,continuous_keypoint_yaw,40.88,40.88,40.88,instant
37.5358,CubeRed,continuous_keypoint_yaw,44.84,44.84,44.84,instant
38.7042,CubeBlue,continuous_keypoint_yaw,-78.72,78.72,11.28,instant
402.5396,CubeBlue,continuous_keypoint_yaw,-88.84,88.84,1.16,instant
403.5560,CubeRed,continuous_keypoint_yaw,46.23,46.23,43.77,instant
405.3025,CubeBlue,continuous_keypoint_yaw,-88.62,88.62,1.38,instant
406.0165,CubeRed,continuous_keypoint_yaw,50.13,50.13,39.87,instant
409.5015,CubeRed,continuous_keypoint_yaw,48.11,48.11,41.89,instant
412.4179,CubeRed,continuous_keypoint_yaw,48.05,48.05,41.95,instant
414.9182,CubeRed,continuous_keypoint_yaw,41.74,41.74,41.74,instant
415.1256,CubeBlue,continuous_keypoint_yaw,-98.62,98.62,8.62,instant
417.4048,CubeRed,continuous_keypoint_yaw,38.54,38.54,38.54,instant
418.8623,CubeBlue,continuous_keypoint_yaw,-87.86,87.86,2.14,instant
419.9046,CubeRed,continuous_keypoint_yaw,47.80,47.80,42.20,instant
421.5720,CubeBlue,continuous_keypoint_yaw,-86.65,86.65,3.35,instant
423.0305,CubeRed,continuous_keypoint_yaw,49.78,49.78,40.22,instant
424.2790,CubeBlue,continuous_keypoint_yaw,-85.33,85.33,4.67,instant
425.5437,CubeRed,continuous_keypoint_yaw,43.26,43.26,43.26,instant
426.7915,CubeBlue,continuous_keypoint_yaw,-85.84,85.84,4.16,instant
428.0626,CubeRed,continuous_keypoint_yaw,45.21,45.21,44.79,instant
429.1407,CubeBlue,continuous_keypoint_yaw,-85.01,85.01,4.99,instant
430.5860,CubeRed,continuous_keypoint_yaw,45.48,45.48,44.52,instant
