time_s,tracker_id,qx,qy,qz,qw,raw_grip
0.0012,CubeRed,-0.0043,0.1776,0.0128,0.9840,0
0.0016,CubeBlue,0.0213,-0.8041,-0.0076,0.5940,0
0.1068,CubeRed,-0.0047,0.1777,0.0107,0.9840,0
0.1070,CubeBlue,0.0210,-0.8041,-0.0073,0.5940,0
0.1341,CubeRed,-0.0046,0.1776,0.0079,0.9841,0
0.1343,CubeBlue,0.0203,-0.8041,-0.0070,0.5941,0
0.1877,CubeRed,-0.0040,0.1777,0.0071,0.9841,0
0.1879,CubeBlue,0.0208,-0.8041,-0.0071,0.5941,0
0.2999,CubeRed,-0.0032,0.1777,0.0064,0.9841,0
0.3002,CubeBlue,0.0214,-0.8041,-0.0074,0.5941,0
0.3294,CubeRed,-0.0029,0.1777,0.0042,0.9841,0
0.3297,CubeBlue,0.0214,-0.8041,-0.0079,0.5941,0
0.3823,CubeRed,-0.0036,0.1777,0.0050,0.9841,0
0.3825,CubeBlue,0.0214,-0.8041,-0.0079,0.5941,0
0.4955,CubeRed,-0.0026,0.1777,0.0044,0.9841,0
0.4956,CubeBlue,0.0212,-0.8041,-0.0065,0.5941,0
0.5239,CubeRed,-0.0024,0.1778,0.0041,0.9841,7
0.5243,CubeBlue,0.0213,-0.8041,-0.0068,0.5941,0
0.5786,CubeRed,-0.0017,0.1778,0.0035,0.9841,7
0.5789,CubeBlue,0.0210,-0.8041,-0.0076,0.5941,0
0.6897,CubeRed,-0.0024,0.1778,0.0040,0.9841,0
0.6899,CubeBlue,0.0216,-0.8040,-0.0065,0.5941,0
0.7171,CubeRed,-0.0022,0.1779,0.0041,0.9840,0
0.7176,CubeBlue,0.0211,-0.8041,-0.0073,0.5941,0
0.7716,CubeRed,-0.0022,0.1779,0.0041,0.9840,0
0.7718,CubeBlue,0.0214,-0.8041,-0.0067,0.5941,0
0.8834,CubeRed,-0.0015,0.1779,0.0037,0.9840,0
0.8837,CubeBlue,0.0214,-0.8040,-0.0072,0.5941,0
0.9116,CubeRed,-0.0019,0.1779,0.0028,0.9840,0
0.9119,CubeBlue,0.0217,-0.8040,-0.0069,0.5942,0
0.9658,CubeRed,-0.0023,0.1779,0.0033,0.9840,0
0.9660,CubeBlue,0.0208,-0.8040,-0.0067,0.5942,0
1.0781,CubeRed,-0.0020,0.1779,0.0032,0.9840,0
1.0784,CubeBlue,0.0215,-0.8040,-0.0067,0.5942,0
1.1061,CubeRed,-0.0020,0.1779,0.0034,0.9840,0
