time_s,head_px,head_py,head_pz,head_rx,head_ry,head_rz,head_rw,handR_px,handR_py,handR_pz,handR_rx,handR_ry,handR_rz,handR_rw,handL_px,handL_py,handL_pz,handL_rx,handL_ry,handL_rz,handL_rw,gaze_x,gaze_y,gaze_z
0.0442,-0.0314,1.1319,0.3008,0.1721,0.0293,-0.0402,0.9838,0.0924,0.7360,0.4714,0.0354,0.2266,0.1331,-0.9642,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0437,-0.3410,0.9391
0.1271,-0.0324,1.1319,0.3022,0.1723,0.0289,-0.0412,0.9838,0.0924,0.7356,0.4721,0.0349,0.2263,0.1329,-0.9643,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0426,-0.3415,0.9389
0.1824,-0.0338,1.1315,0.3035,0.1741,0.0293,-0.0404,0.9835,0.0922,0.7357,0.4715,0.0358,0.2250,0.1327,-0.9646,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0436,-0.3448,0.9377
0.2388,-0.0351,1.1311,0.3044,0.1732,0.0279,-0.0379,0.9838,0.0922,0.7358,0.4717,0.0363,0.2244,0.1333,-0.9647,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0417,-0.3429,0.9385
0.3214,-0.0360,1.1303,0.3046,0.1758,0.0260,-0.0373,0.9834,0.0921,0.7358,0.4718,0.0369,0.2239,0.1330,-0.9648,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0381,-0.3478,0.9368
0.3768,-0.0369,1.1294,0.3048,0.1788,0.0252,-0.0369,0.9829,0.0920,0.7358,0.4716,0.0392,0.2237,0.1345,-0.9645,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0364,-0.3534,0.9348
0.4333,-0.0371,1.1295,0.3040,0.1785,0.0251,-0.0378,0.9829,0.0921,0.7358,0.4716,0.0400,0.2237,0.1344,-0.9645,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0358,-0.3527,0.9350
0.5162,-0.0371,1.1301,0.3032,0.1768,0.0255,-0.0364,0.9832,0.0920,0.7361,0.4715,0.0415,0.2240,0.1348,-0.9643,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0373,-0.3495,0.9362
0.5715,-0.0375,1.1305,0.3023,0.1760,0.0249,-0.0356,0.9834,0.0922,0.7356,0.4718,0.0408,0.2234,0.1344,-0.9646,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0364,-0.3480,0.9368
0.6274,-0.0376,1.1304,0.3022,0.1759,0.0241,-0.0356,0.9835,0.0926,0.7354,0.4714,0.0421,0.2238,0.1353,-0.9643,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0349,-0.3477,0.9370
0.7104,-0.0373,1.1301,0.3023,0.1771,0.0249,-0.0368,0.9832,0.0925,0.7353,0.4715,0.0423,0.2230,0.1346,-0.9646,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0359,-0.3501,0.9360
0.7667,-0.0370,1.1302,0.3017,0.1773,0.0253,-0.0370,0.9831,0.0926,0.7355,0.4714,0.0438,0.2231,0.1358,-0.9643,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0366,-0.3504,0.9359
