time_s,tracker_id,pos_x,pos_y,pos_z,rot_y,is_gripping,down_face_x,down_face_y,down_face_z
2.4276,CubeBlue,-0.2289,0.3925,0.9575,4.54,0,0.00,-1.00,0.00
2.4742,CubeRed,-0.0045,0.6684,0.7122,349.90,0,0.00,-1.00,0.00
2.4743,CubeBlue,-0.2289,0.3925,0.9575,4.54,0,0.00,-1.00,0.00
2.5914,CubeRed,-0.0045,0.6684,0.7122,349.90,0,0.00,-1.00,0.00
2.5916,CubeBlue,-0.2289,0.3925,0.9575,4.54,0,0.00,-1.00,0.00
2.6108,CubeRed,-0.0045,0.6684,0.7122,349.91,0,0.00,-1.00,0.00
2.6109,CubeBlue,-0.2289,0.3925,0.9575,4.55,0,0.00,-1.00,0.00
2.6568,CubeRed,-0.0045,0.6684,0.7122,349.91,0,0.00,-1.00,0.00
2.6569,CubeBlue,-0.2289,0.3925,0.9575,4.55,0,0.00,-1.00,0.00
2.7770,CubeRed,-0.0045,0.6684,0.7122,349.91,0,0.00,-1.00,0.00
2.7772,CubeBlue,-0.2289,0.3925,0.9575,4.55,0,0.00,-1.00,0.00
2.7976,CubeRed,-0.0045,0.6684,0.7122,349.92,0,0.00,-1.00,0.00
2.7978,CubeBlue,-0.2289,0.3925,0.9575,4.55,0,0.00,-1.00,0.00
2.8445,CubeRed,-0.0045,0.6684,0.7122,349.92,0,0.00,-1.00,0.00
2.8447,CubeBlue,-0.2289,0.3925,0.9575,4.55,0,0.00,-1.00,0.00
2.9612,CubeRed,-0.0045,0.6684,0.7122,349.92,0,0.00,-1.00,0.00
2.9614,CubeBlue,-0.2289,0.3925,0.9575,4.55,0,0.00,-1.00,0.00
2.9839,CubeRed,-0.0045,0.6684,0.7122,349.93,0,0.00,-1.00,0.00
2.9843,CubeBlue,-0.2289,0.3925,0.9575,4.56,0,0.00,-1.00,0.00
3.0325,CubeRed,-0.0045,0.6684,0.7122,349.93,0,0.00,-1.00,0.00
