time_s,tracker_id,qx,qy,qz,qw,raw_grip
0.2219,CubeRed,0.0017,0.0967,-0.0001,0.9953,0
0.2224,CubeBlue,0.0317,-0.4368,-0.0477,0.8977,0
0.2724,CubeRed,0.0004,0.0968,-0.0011,0.9953,0
0.2726,CubeBlue,0.0319,-0.4368,-0.0482,0.8977,0
0.4430,CubeRed,0.0004,0.0968,-0.0011,0.9953,0
0.4433,CubeBlue,0.0316,-0.4368,-0.0479,0.8977,0
0.4707,CubeRed,0.0002,0.0970,-0.0006,0.9953,0
0.4709,CubeBlue,0.0310,-0.4368,-0.0472,0.8978,0
0.4999,CubeRed,0.0004,0.0970,-0.0011,0.9953,0
0.5001,CubeBlue,0.0310,-0.4368,-0.0472,0.8978,0
0.6446,CubeRed,0.0007,0.0970,-0.0009,0.9953,0
0.6448,CubeBlue,0.0317,-0.4367,-0.0479,0.8978,0
0.6660,CubeRed,0.0004,0.0971,-0.0011,0.9953,0
0.6665,CubeBlue,0.0317,-0.4367,-0.0478,0.8978,0
0.7114,CubeRed,0.0004,0.0971,-0.0011,0.9953,0
0.7116,CubeBlue,0.0318,-0.4367,-0.0469,0.8978,0
0.8379,CubeRed,0.0004,0.0971,-0.0010,0.9953,0
0.8382,CubeBlue,0.0319,-0.4367,-0.0475,0.8978,0
0.8590,CubeRed,0.0001,0.0972,-0.0012,0.9953,0
0.8592,CubeBlue,0.0316,-0.4367,-0.0480,0.8978,0
0.9083,CubeRed,0.0004,0.0972,-0.0014,0.9953,0
0.9085,CubeBlue,0.0316,-0.4367,-0.0480,0.8978,0
1.0293,CubeRed,0.0013,0.0972,-0.0008,0.9953,0
1.0295,CubeBlue,0.0321,-0.4367,-0.0470,0.8978,0
1.0494,CubeRed,0.0012,0.0974,-0.0002,0.9952,0
1.0496,CubeBlue,0.0319,-0.4367,-0.0465,0.8979,0
1.0999,CubeRed,0.0001,0.0974,0.0000,0.9952,0
1.1001,CubeBlue,0.0318,-0.4367,-0.0473,0.8978,0
1.2590,CubeRed,0.0013,0.0974,-0.0006,0.9952,0
1.2592,CubeBlue,0.0318,-0.4367,-0.0473,0.8978,0
1.2862,CubeRed,0.0011,0.0975,-0.0002,0.9952,0
1.2867,CubeBlue,0.0319,-0.4366,-0.0472,0.8979,0
1.3149,CubeRed,0.0000,0.0975,-0.0003,0.9952,0
1.3151,CubeBlue,0.0319,-0.4366,-0.0472,0.8979,0
1.4543,CubeRed,0.0003,0.0975,-0.0009,0.9952,0
1.4545,CubeBlue,0.0317,-0.4366,-0.0481,0.8978,0
1.4775,CubeRed,0.0003,0.0976,-0.0006,0.9952,0
