time_s,tracker_id,path,raw_offset_deg,abs_error_deg,sym_error_deg,calib_type
1.1843,CubeBlue,continuous_keypoint_yaw,-157.86,157.86,22.14,instant
11.8403,CubeBlue,continuous_keypoint_yaw,-142.30,142.30,37.70,instant
32.4777,CubeBlue,continuous_keypoint_yaw,-78.46,78.46,11.54,instant
35.0084,CubeBlue,continuous_keypoint_yaw,-79.26,79.26,10.74,instant
37.5304,CubeBlue,continuous_keypoint_yaw,-79.79,79.79,10.21,instant
40.0584,CubeBlue,continuous_keypoint_yaw,-86.26,86.26,3.74,instant
42.5894,CubeBlue,continuous_keypoint_yaw,-78.36,78.36,11.64,instant
45.1153,CubeBlue,continuous_keypoint_yaw,-80.38,80.38,9.62,instant
47.8373,CubeBlue,continuous_keypoint_yaw,-79.54,79.54,10.46,instant
50.3652,CubeBlue,continuous_keypoint_yaw,-75.98,75.98,14.02,instant
53.0705,CubeBlue,continuous_keypoint_yaw,-79.94,79.94,10.06,instant
56.7509,CubeBlue,continuous_keypoint_yaw,-70.37,70.37,19.63,instant
60.6447,CubeBlue,continuous_keypoint_yaw,-74.27,74.27,15.73,instant
63.3671,CubeBlue,continuous_keypoint_yaw,-69.43,69.43,20.57,instant
68.4205,CubeBlue,continuous_keypoint_yaw,-73.32,73.32,16.68,instant
68.8112,CubeRed,post_release_keypoint_yaw,27.18,27.18,27.18,instant
71.3374,CubeRed,continuous_keypoint_yaw,14.69,14.69,14.69,smooth
