time_s,tracker_id,qx,qy,qz,qw,raw_grip
0.0076,CubeBlue,0.0169,0.5509,0.0245,0.8340,0
0.0078,CubeRed,-0.0001,0.2572,-0.0048,0.9663,0
0.1058,CubeBlue,0.0170,0.5509,0.0232,0.8341,0
0.1061,CubeRed,0.0004,0.2572,-0.0053,0.9664,0
0.1348,CubeBlue,0.0163,0.5509,0.0250,0.8340,0
0.1353,CubeRed,-0.0004,0.2572,-0.0047,0.9664,0
0.1896,CubeBlue,0.0173,0.5509,0.0249,0.8340,0
0.1916,CubeRed,-0.0003,0.2572,-0.0042,0.9664,0
0.3010,CubeBlue,0.0163,0.5509,0.0262,0.8340,0
0.3012,CubeRed,-0.0010,0.2572,-0.0035,0.9664,0
0.3301,CubeBlue,0.0157,0.5509,0.0263,0.8340,0
0.3304,CubeRed,-0.0011,0.2572,-0.0042,0.9664,0
0.3842,CubeBlue,0.0163,0.5509,0.0254,0.8340,0
0.3844,CubeRed,-0.0006,0.2572,-0.0034,0.9664,0
0.4951,CubeBlue,0.0163,0.5509,0.0242,0.8341,0
0.4953,CubeRed,-0.0006,0.2572,-0.0042,0.9664,0
0.5250,CubeBlue,0.0158,0.5509,0.0250,0.8340,0
0.5254,CubeRed,-0.0008,0.2572,-0.0047,0.9663,0
0.5785,CubeBlue,0.0156,0.5509,0.0261,0.8340,0
0.5787,CubeRed,-0.0008,0.2572,-0.0036,0.9664,0
0.6897,CubeBlue,0.0151,0.5509,0.0257,0.8340,0
0.6900,CubeRed,-0.0013,0.2572,-0.0047,0.9663,0
0.7193,CubeBlue,0.0156,0.5509,0.0264,0.8340,0
0.7198,CubeRed,-0.0012,0.2572,-0.0036,0.9664,0
0.7721,CubeBlue,0.0158,0.5509,0.0257,0.8340,0
0.7741,CubeRed,-0.0012,0.2572,-0.0036,0.9664,0
0.8882,CubeBlue,0.0154,0.5509,0.0267,0.8340,0
0.8885,CubeRed,-0.0008,0.2572,-0.0040,0.9664,0
0.9135,CubeBlue,0.0153,0.5509,0.0262,0.8340,0
0.9137,CubeRed,-0.0015,0.2572,-0.0030,0.9664,0
0.9660,CubeBlue,0.0151,0.5509,0.0265,0.8340,0
0.9662,CubeRed,-0.0008,0.2572,-0.0039,0.9664,0
1.0802,CubeBlue,0.0155,0.5509,0.0259,0.8340,0
1.0806,CubeRed,-0.0006,0.2571,-0.0045,0.9664,0
1.1059,CubeBlue,0.0143,0.5510,0.0267,0.8340,0
1.1063,CubeRed,-0.0001,0.2571,-0.0052,0.9664,0
1.1611,CubeBlue,0.0143,0.5510,0.0267,0.8340,0
