start_time_s,end_time_s,duration_s,tracker_id,start_x,start_y,start_z,end_x,end_y,end_z,path_length_m,avg_speed_mps,max_speed_mps,release_type,final_contact_level
10.3152,10.4282,0.1130,CubeBlue,-0.0296,0.7078,0.3696,0.0713,0.7255,0.4512,0.0000,0.0000,0.0000,placement,Resting
10.4284,10.4549,0.0265,CubeBlue,0.0143,0.6970,0.3491,0.0713,0.7255,0.4512,0.0000,0.9232,0.9232,placement,Resting
15.1053,15.1054,0.0001,CubeRed,0.0833,0.7255,0.4499,0.1305,0.7255,0.3072,0.0000,0.0000,0.0000,placement,Resting
20.9821,21.0399,0.0578,CubeBlue,0.1603,0.7253,0.5023,0.1039,0.7255,0.4645,0.0000,0.0000,0.0000,placement,HeldSoft
21.0401,21.1524,0.1123,CubeBlue,0.1630,0.7259,0.5151,0.1039,0.7255,0.4645,0.0000,0.5054,0.5054,placement,HeldSoft
21.1525,21.1776,0.0251,CubeBlue,0.1684,0.7284,0.5164,0.1039,0.7255,0.4645,0.0000,0.1047,0.1047,placement,HeldSoft
21.1781,21.2306,0.0525,CubeBlue,0.1834,0.7424,0.5142,0.1039,0.7255,0.4645,0.0000,0.1752,0.1752,placement,HeldSoft
21.2308,21.3428,0.1120,CubeBlue,0.1863,0.7741,0.4942,0.1039,0.7255,0.4645,0.0000,1.9080,1.9080,placement,HeldSoft
