time_s,tracker_id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,euler_x,euler_y,euler_z,vel_x,vel_y,vel_z,speed_mps,ang_vel_deg_s,is_gripping,grip_source,contact_level,raw_grip,imu_delta_deg,down_face_x,down_face_y,down_face_z
0.0061,CubeRed,0.0360,0.6885,0.4857,0.0000,0.0294,0.0000,-0.9996,0.00,356.63,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.371,0.00,-1.00,0.00
0.0066,CubeBlue,-0.0892,0.7083,0.4543,0.0000,0.0499,0.0000,0.9988,0.00,5.72,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.0499,CubeRed,0.0360,0.6885,0.4857,0.0000,0.0295,0.0000,-0.9996,0.00,356.62,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.312,0.00,-1.00,0.00
0.0500,CubeBlue,-0.0892,0.7083,0.4543,0.0000,0.0499,0.0000,0.9988,0.00,5.72,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.1762,CubeRed,0.0360,0.6885,0.4857,0.0000,0.0295,0.0000,-0.9996,0.00,356.62,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.1764,CubeBlue,-0.0892,0.7083,0.4543,0.0000,0.0499,0.0000,0.9988,0.00,5.72,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.2037,CubeRed,0.0360,0.6885,0.4857,0.0000,0.0295,0.0000,-0.9996,0.00,356.62,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.163,0.00,-1.00,0.00
0.2038,CubeBlue,-0.0892,0.7083,0.4543,0.0000,0.0499,0.0000,0.9988,0.00,5.72,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.2561,CubeRed,0.0360,0.6885,0.4857,0.0000,0.0295,0.0000,-0.9996,0.00,356.62,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.2562,CubeBlue,-0.0892,0.7083,0.4543,0.0000,0.0499,0.0000,0.9988,0.00,5.72,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.3694,CubeRed,0.0360,0.6885,0.4857,0.0000,0.0295,0.0000,-0.9996,0.00,356.62,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.3695,CubeBlue,-0.0892,0.7083,0.4543,0.0000,0.0499,0.0000,0.9988,0.00,5.72,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.3966,CubeRed,0.0360,0.6885,0.4857,0.0000,0.0295,0.0000,-0.9996,0.00,356.62,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.3968,CubeBlue,-0.0892,0.7083,0.4543,0.0000,0.0499,0.0000,0.9988,0.00,5.72,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.4524,CubeRed,0.0360,0.6885,0.4857,0.0000,0.0295,0.0000,-0.9996,0.00,356.62,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.4525,CubeBlue,-0.0892,0.7083,0.4543,0.0000,0.0499,0.0000,0.9988,0.00,5.72,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.5639,CubeRed,0.0360,0.6885,0.4857,0.0000,0.0295,0.0000,-0.9996,0.00,356.62,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.5640,CubeBlue,-0.0892,0.7083,0.4543,0.0000,0.0499,0.0000,0.9988,0.00,5.72,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.5921,CubeRed,0.0360,0.6885,0.4857,0.0000,0.0295,0.0000,-0.9996,0.00,356.62,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.5925,CubeBlue,-0.0892,0.7083,0.4543,0.0000,0.0499,0.0000,0.9988,0.00,5.72,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.6463,CubeRed,0.0360,0.6885,0.4857,0.0000,0.0296,0.0000,-0.9996,0.00,356.61,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.6464,CubeBlue,-0.0892,0.7083,0.4543,0.0000,0.0499,0.0000,0.9988,0.00,5.72,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.7551,CubeRed,0.0360,0.6885,0.4857,0.0000,0.0296,0.0000,-0.9996,0.00,356.61,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.7552,CubeBlue,-0.0892,0.7083,0.4543,0.0000,0.0775,0.0000,0.9970,0.00,8.89,0.00,0.0000,0.0000,0.0000,0.0000,58.21,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.7861,CubeRed,0.0360,0.6885,0.4857,0.0000,0.0296,0.0000,-0.9996,0.00,356.60,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.7862,CubeBlue,-0.0892,0.7083,0.4543,0.0000,0.0776,0.0000,0.9970,0.00,8.90,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.8412,CubeRed,0.0360,0.6885,0.4857,0.0000,0.0296,0.0000,-0.9996,0.00,356.60,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.8432,CubeBlue,-0.0892,0.7083,0.4543,0.0000,0.0776,0.0000,0.9970,0.00,8.90,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.9497,CubeRed,0.0360,0.6885,0.4857,0.0000,0.0297,0.0000,-0.9996,0.00,356.60,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.9499,CubeBlue,-0.0892,0.7083,0.4543,0.0000,0.0776,0.0000,0.9970,0.00,8.90,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.9812,CubeRed,0.0360,0.6885,0.4857,0.0000,0.0297,0.0000,-0.9996,0.00,356.59,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.177,0.00,-1.00,0.00
0.9816,CubeBlue,-0.0892,0.7083,0.4543,0.0000,0.0776,0.0000,0.9970,0.00,8.90,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.0363,CubeRed,0.0360,0.6885,0.4857,0.0000,0.0297,0.0000,-0.9996,0.00,356.59,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.0364,CubeBlue,-0.0892,0.7083,0.4543,0.0000,0.0776,0.0000,0.9970,0.00,8.90,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.1474,CubeRed,0.0360,0.6885,0.4857,0.0000,0.0298,0.0000,-0.9996,0.00,356.59,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.1476,CubeBlue,-0.0892,0.7083,0.4543,0.0000,0.0776,0.0000,0.9970,0.00,8.90,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.1777,CubeRed,0.0360,0.6885,0.4857,0.0000,0.0298,0.0000,-0.9996,0.00,356.58,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.1781,CubeBlue,-0.0892,0.7083,0.4543,0.0000,0.0776,0.0000,0.9970,0.00,8.90,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.2301,CubeRed,0.0360,0.6885,0.4857,0.0000,0.0298,0.0000,-0.9996,0.00,356.59,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.2302,CubeBlue,-0.0892,0.7083,0.4543,0.0000,0.0776,0.0000,0.9970,0.00,8.90,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.3420,CubeRed,0.0360,0.6885,0.4857,0.0000,0.0049,0.0000,-1.0000,0.00,359.44,0.00,0.0000,0.0000,0.0000,0.0000,55.55,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.3422,CubeBlue,-0.0892,0.7083,0.4543,0.0000,0.0776,0.0000,0.9970,0.00,8.90,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.3707,CubeRed,0.0360,0.6885,0.4857,0.0000,-0.0272,0.0000,-0.9996,0.00,3.12,0.00,0.0000,0.0000,0.0000,0.0000,32.70,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.3708,CubeBlue,-0.0892,0.7083,0.4543,0.0000,0.0776,0.0000,0.9970,0.00,8.90,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.4246,CubeRed,0.0360,0.6885,0.4857,0.0000,0.0280,0.0000,0.9996,0.00,3.21,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
