time_s,tracker_id,bbox_x,bbox_y,bbox_w,bbox_h,bbox_score,kp0_x,kp0_y,kp0_v,kp1_x,kp1_y,kp1_v,kp2_x,kp2_y,kp2_v,kp3_x,kp3_y,kp3_v,calib_status
3.6069,Red,540.43,784.23,107.84,118.11,0.713,541.68,751.22,1.000,507.68,777.18,1.000,537.97,795.94,1.000,567.14,774.99,1.000,ongoing
3.8010,Blue,827.44,721.68,99.12,106.71,0.722,832.38,692.30,1.000,796.70,709.62,1.000,819.88,731.34,1.000,854.85,713.40,1.000,ongoing
3.8012,Red,555.72,799.59,109.18,120.99,0.720,560.18,764.65,1.000,521.73,789.18,1.000,549.26,811.14,1.000,584.48,791.77,1.000,ongoing
3.9929,Red,573.92,794.22,108.85,123.55,0.718,582.56,754.80,1.000,537.40,780.60,1.000,567.60,807.88,1.000,603.80,783.36,1.000,ongoing
3.9932,Blue,852.39,718.80,96.10,105.32,0.712,872.75,688.65,1.000,825.40,685.41,1.000,816.20,717.84,1.000,870.72,721.12,1.000,ongoing
4.1925,Blue,856.10,709.24,101.38,110.85,0.715,871.48,677.10,1.000,825.41,680.26,1.000,829.28,716.31,1.000,883.95,709.13,1.000,ongoing
4.1927,Red,576.99,783.81,108.01,117.65,0.705,576.17,752.80,1.000,546.69,775.57,1.000,575.43,795.98,1.000,602.20,771.32,1.000,ongoing
4.3850,Red,575.74,778.97,108.91,122.25,0.718,587.36,743.67,1.000,541.35,761.61,1.000,562.91,793.52,1.000,604.93,772.26,1.000,ongoing
4.3852,Blue,855.58,697.17,95.09,90.84,0.713,862.62,667.09,1.000,824.16,687.25,1.000,848.99,711.20,1.000,882.90,692.30,1.000,ongoing
4.5809,Red,574.10,776.83,109.67,125.97,0.719,585.98,737.40,1.000,536.60,761.70,1.000,565.57,792.29,1.000,606.12,768.61,1.000,ongoing
4.7739,Red,572.55,771.51,109.62,119.51,0.713,576.54,737.39,1.000,541.29,760.40,1.000,565.77,781.23,1.000,600.57,762.13,1.000,ongoing
4.9649,Blue,855.75,693.41,98.08,105.59,0.719,869.50,657.32,1.000,823.69,670.66,1.000,839.05,704.21,1.000,886.49,688.77,1.000,ongoing
4.9651,Red,574.44,770.13,109.56,118.95,0.719,579.47,733.41,1.000,539.36,758.46,1.000,565.54,784.82,1.000,606.53,761.37,1.000,ongoing
5.1588,Red,586.19,775.66,112.43,125.67,0.719,597.58,735.01,1.000,549.07,760.25,1.000,580.83,789.77,1.000,617.51,766.95,1.000,ongoing
5.1591,Blue,863.54,700.59,83.21,90.06,0.717,859.51,677.04,1.000,839.33,693.57,1.000,866.92,705.17,1.000,884.18,684.03,1.000,ongoing
5.3569,Blue,869.68,705.04,84.61,91.85,0.723,875.41,676.11,1.000,843.95,688.34,1.000,860.91,711.67,1.000,896.98,697.08,1.000,ongoing
5.3571,Red,594.03,777.53,110.26,125.03,0.717,606.37,737.76,1.000,555.88,759.42,1.000,582.39,794.28,1.000,628.12,768.97,1.000,ongoing
5.5485,Blue,870.01,702.26,96.67,99.70,0.721,881.07,669.58,1.000,839.52,681.35,1.000,853.83,714.00,1.000,900.94,699.42,1.000,ongoing
5.5487,Red,597.07,772.15,107.00,117.32,0.718,597.63,734.95,1.000,562.79,760.40,1.000,592.82,786.59,1.000,629.19,758.08,1.000,ongoing
5.7461,Blue,858.23,701.35,108.83,107.41,0.723,871.68,666.99,1.000,824.51,684.55,1.000,844.18,713.77,1.000,889.48,697.35,1.000,ongoing
5.7462,Red,611.37,764.32,105.68,118.93,0.714,619.42,725.99,1.000,576.70,747.33,1.000,601.26,778.77,1.000,642.77,752.62,1.000,ongoing
5.9421,Blue,746.80,806.32,116.90,119.35,0.723,760.19,771.83,1.000,710.86,794.93,1.000,738.67,825.64,1.000,785.40,805.02,1.000,ongoing
5.9422,Red,610.40,756.08,102.75,111.94,0.718,609.67,727.01,1.000,581.24,746.48,1.000,606.69,767.69,1.000,634.98,744.49,1.000,ongoing
6.1345,Blue,667.93,883.16,117.14,122.24,0.721,669.48,850.41,1.000,636.63,873.17,1.000,670.42,897.61,1.000,694.71,873.73,1.000,ongoing
6.1348,Red,604.18,754.31,105.20,114.30,0.709,604.04,723.08,1.000,572.65,746.71,1.000,600.13,763.52,1.000,628.50,745.79,1.000,ongoing
6.3294,Blue,661.85,902.98,115.25,125.49,0.723,666.06,875.72,1.000,632.03,890.05,1.000,658.27,914.32,1.000,684.25,891.98,1.000,ongoing
6.3296,Red,603.80,748.92,105.86,117.47,0.714,607.53,713.76,1.000,568.06,741.27,1.000,600.95,762.11,1.000,632.30,740.58,1.000,ongoing
6.5233,Blue,658.70,897.71,119.19,124.96,0.726,669.87,865.60,1.000,632.83,876.07,1.000,648.84,900.83,1.000,685.01,883.82,1.000,ongoing
6.5234,Red,600.69,744.00,103.11,115.26,0.716,612.70,706.11,1.000,566.13,728.43,1.000,590.12,758.33,1.000,633.19,738.27,1.000,ongoing
6.7181,Blue,655.14,906.31,123.64,142.97,0.726,672.15,862.89,1.000,620.57,880.88,1.000,645.28,916.98,1.000,691.49,893.72,1.000,ongoing
6.7183,Red,596.41,748.98,103.15,117.12,0.702,598.52,715.02,1.000,562.15,737.46,1.000,590.98,764.48,1.000,625.90,737.25,1.000,ongoing
6.9132,Blue,642.44,907.31,121.33,144.38,0.724,649.94,861.78,1.000,602.61,890.25,1.000,643.44,921.90,1.000,681.21,888.56,1.000,ongoing
6.9134,Red,585.62,748.04,106.19,118.78,0.707,594.11,710.14,1.000,550.64,735.12,1.000,580.32,760.78,1.000,618.21,739.56,1.000,ongoing
7.1076,Blue,635.64,896.13,124.58,147.15,0.719,655.62,847.69,1.000,596.37,863.30,1.000,618.26,902.12,1.000,678.84,883.27,1.000,ongoing
7.1078,Red,578.88,736.71,101.77,113.25,0.716,580.94,700.75,1.000,545.85,725.68,1.000,575.13,751.42,1.000,609.37,722.98,1.000,ongoing
7.3014,Blue,641.19,891.63,118.43,149.17,0.719,650.62,842.23,1.000,604.28,872.34,1.000,643.25,902.44,1.000,681.61,869.15,1.000,ongoing
7.3016,Red,587.07,734.87,105.54,114.83,0.717,591.40,699.88,1.000,553.63,724.74,1.000,584.19,745.45,1.000,616.33,725.08,1.000,ongoing
7.4989,Blue,646.95,890.18,119.56,150.53,0.723,662.76,839.73,1.000,606.07,864.00,1.000,639.33,902.50,1.000,689.12,873.87,1.000,ongoing
7.4991,Red,591.56,734.09,104.12,115.03,0.707,593.33,704.71,1.000,562.22,724.00,1.000,587.18,744.89,1.000,615.68,722.73,1.000,ongoing
7.7042,Blue,645.54,889.49,120.17,150.26,0.722,657.23,837.01,1.000,602.15,867.75,1.000,643.61,903.76,1.000,690.19,869.92,1.000,ongoing
