time_s,tracker_id,pos_x,pos_y,pos_z,rot_y,is_gripping,down_face_x,down_face_y,down_face_z
0.0027,CubeBlue,0.0735,0.7226,0.5805,352.93,0,0.00,-1.00,0.00
0.0067,CubeRed,-0.0839,0.6947,0.5388,347.87,0,0.00,-1.00,0.00
0.1105,CubeBlue,0.0735,0.7226,0.5805,352.93,0,0.00,-1.00,0.00
0.1107,CubeRed,-0.0757,0.6921,0.5259,347.88,0,0.00,-1.00,0.00
0.1375,CubeBlue,0.0735,0.7226,0.5805,352.93,0,0.00,-1.00,0.00
0.1379,CubeRed,-0.1090,0.7042,0.5203,347.87,0,0.00,-1.00,0.00
0.1908,CubeBlue,0.0735,0.7226,0.5805,352.93,0,0.00,-1.00,0.00
0.1909,CubeRed,-0.1090,0.7042,0.5203,347.87,0,0.00,-1.00,0.00
0.3024,CubeBlue,0.0735,0.7226,0.5805,352.93,0,0.00,-1.00,0.00
0.3027,CubeRed,-0.1090,0.7042,0.5203,347.88,0,0.00,-1.00,0.00
0.3306,CubeBlue,0.0735,0.7226,0.5805,352.93,0,0.00,-1.00,0.00
0.3308,CubeRed,-0.1090,0.7042,0.5203,347.89,0,0.00,-1.00,0.00
0.3847,CubeBlue,0.0735,0.7226,0.5805,352.93,0,0.00,-1.00,0.00
0.3849,CubeRed,-0.1090,0.7042,0.5203,347.89,0,0.00,-1.00,0.00
0.4963,CubeBlue,0.0735,0.7226,0.5805,352.93,0,0.00,-1.00,0.00
0.4965,CubeRed,-0.1090,0.7042,0.5203,319.16,0,0.00,-1.00,0.00
0.5255,CubeBlue,0.0735,0.7226,0.5805,352.93,0,0.00,-1.00,0.00
0.5261,CubeRed,-0.1090,0.7042,0.5203,319.16,0,0.00,-1.00,0.00
0.5799,CubeBlue,0.0735,0.7226,0.5805,352.93,0,0.00,-1.00,0.00
0.5800,CubeRed,-0.1090,0.7042,0.5203,319.17,0,0.00,-1.00,0.00
0.6918,CubeBlue,0.0735,0.7226,0.5805,352.92,0,0.00,-1.00,0.00
0.6923,CubeRed,-0.1090,0.7042,0.5203,319.16,0,0.00,-1.00,0.00
0.7194,CubeBlue,0.0735,0.7226,0.5805,352.92,0,0.00,-1.00,0.00
0.7196,CubeRed,-0.1090,0.7042,0.5203,319.16,0,0.00,-1.00,0.00
0.7743,CubeBlue,0.0735,0.7226,0.5805,352.92,0,0.00,-1.00,0.00
0.7744,CubeRed,-0.1090,0.7042,0.5203,319.16,0,0.00,-1.00,0.00
0.8830,CubeBlue,0.0735,0.7226,0.5805,352.92,0,0.00,-1.00,0.00
0.8832,CubeRed,-0.1090,0.7042,0.5203,319.16,0,0.00,-1.00,0.00
0.9142,CubeBlue,0.0735,0.7226,0.5805,352.92,0,0.00,-1.00,0.00
0.9144,CubeRed,-0.1090,0.7042,0.5203,319.17,0,0.00,-1.00,0.00
0.9685,CubeBlue,0.0735,0.7226,0.5805,352.92,0,0.00,-1.00,0.00
0.9686,CubeRed,-0.1090,0.7042,0.5203,319.17,0,0.00,-1.00,0.00
