time_s,tracker_id,path,raw_offset_deg,abs_error_deg,sym_error_deg,calib_type
0.4955,CubeRed,post_release_keypoint_yaw,-32.02,32.02,32.02,instant
2.2458,CubeBlue,continuous_keypoint_yaw,15.10,15.10,15.10,instant
3.0235,CubeRed,continuous_keypoint_yaw,-27.97,27.97,27.97,instant
5.9422,CubeRed,continuous_keypoint_yaw,-27.53,27.53,27.53,instant
6.7179,CubeBlue,post_release_keypoint_yaw,25.15,25.15,25.15,instant
8.6768,CubeRed,continuous_keypoint_yaw,-32.78,32.78,32.78,instant
12.1778,CubeRed,continuous_keypoint_yaw,-4.37,4.37,4.37,smooth
12.5652,CubeBlue,post_release_keypoint_yaw,11.17,11.17,11.17,smooth
15.4849,CubeBlue,continuous_keypoint_yaw,1.91,1.91,1.91,smooth
16.0671,CubeRed,continuous_keypoint_yaw,-19.37,19.37,19.37,instant
18.3984,CubeBlue,continuous_keypoint_yaw,3.55,3.55,3.55,smooth
18.3988,CubeRed,post_release_keypoint_yaw,-38.22,38.22,38.22,instant
22.0929,CubeRed,continuous_keypoint_yaw,-21.10,21.10,21.10,instant
22.2863,CubeBlue,continuous_keypoint_yaw,13.13,13.13,13.13,smooth
24.8157,CubeBlue,continuous_keypoint_yaw,7.29,7.29,7.29,smooth
24.8160,CubeRed,continuous_keypoint_yaw,-20.60,20.60,20.60,instant
27.7322,CubeRed,continuous_keypoint_yaw,-36.44,36.44,36.44,instant
30.4557,CubeRed,continuous_keypoint_yaw,-29.13,29.13,29.13,instant
33.1790,CubeRed,continuous_keypoint_yaw,-34.93,34.93,34.93,instant
33.5658,CubeBlue,post_release_keypoint_yaw,16.81,16.81,16.81,instant
36.0928,CubeBlue,continuous_keypoint_yaw,5.36,5.36,5.36,smooth
37.2607,CubeRed,post_release_keypoint_yaw,4.05,4.05,4.05,smooth
