time_s,tracker_id,bbox_x,bbox_y,bbox_w,bbox_h,bbox_score,kp0_x,kp0_y,kp0_v,kp1_x,kp1_y,kp1_v,kp2_x,kp2_y,kp2_v,kp3_x,kp3_y,kp3_v,calib_status
4.9442,Blue,626.01,642.67,89.32,111.23,0.715,654.41,615.23,1.000,602.14,610.88,1.000,589.81,648.60,1.000,643.32,651.69,1.000,ongoing
4.9443,Red,426.79,626.66,90.20,108.60,0.710,455.96,607.51,1.000,411.14,595.68,1.000,392.62,627.46,1.000,436.92,638.57,1.000,ongoing
5.1383,Blue,616.22,638.58,91.63,111.94,0.720,648.82,610.15,1.000,595.19,601.48,1.000,582.86,639.07,1.000,636.39,646.63,1.000,ongoing
5.1385,Red,418.20,624.13,89.52,105.97,0.716,441.30,599.49,1.000,393.78,593.07,1.000,381.52,628.83,1.000,430.88,631.73,1.000,ongoing
5.3293,Blue,614.08,638.49,91.55,110.16,0.719,647.43,609.70,1.000,595.06,601.37,1.000,581.70,639.81,1.000,637.81,647.10,1.000,ongoing
5.3294,Red,416.15,624.48,88.72,105.50,0.713,441.57,603.78,1.000,395.32,593.43,1.000,379.29,627.97,1.000,425.36,634.55,1.000,ongoing
5.5264,Red,420.29,577.23,89.37,105.97,0.714,446.21,550.42,1.000,393.55,549.49,1.000,388.24,588.69,1.000,439.44,586.21,1.000,ongoing
5.5265,Blue,620.19,593.04,87.06,110.90,0.712,650.11,565.64,1.000,596.97,560.31,1.000,586.82,595.29,1.000,636.64,601.06,1.000,ongoing
5.7180,Blue,642.43,483.64,90.22,111.85,0.711,672.81,457.78,1.000,619.24,451.44,1.000,606.85,490.54,1.000,659.72,494.22,1.000,ongoing
5.7182,Red,442.74,465.39,90.89,106.00,0.710,473.06,445.92,1.000,425.25,434.22,1.000,407.92,466.33,1.000,453.47,477.39,1.000,ongoing
5.9078,Red,452.37,449.29,90.84,105.44,0.715,477.73,422.49,1.000,426.47,420.50,1.000,418.99,458.90,1.000,471.25,458.26,1.000,ongoing
5.9079,Blue,652.52,465.94,87.28,112.73,0.710,683.43,438.14,1.000,629.36,432.49,1.000,619.93,467.73,1.000,669.54,473.53,1.000,ongoing
6.0896,Blue,641.38,460.47,88.47,108.31,0.711,672.54,426.29,1.000,615.03,424.80,1.000,609.09,463.22,1.000,666.03,465.32,1.000,ongoing
