time_s,tracker_id,path,raw_offset_deg,abs_error_deg,sym_error_deg,calib_type
1.2225,CubeRed,initial_keypoint_yaw,-8.39,8.39,8.39,smooth
1.2229,CubeBlue,initial_keypoint_yaw,-80.75,80.75,9.25,instant
2.4151,CubeBlue,continuous_keypoint_yaw,-77.23,77.23,12.77,instant
2.4154,CubeRed,continuous_keypoint_yaw,-8.68,8.68,8.68,smooth
4.9441,CubeBlue,continuous_keypoint_yaw,-79.36,79.36,10.64,instant
5.9077,CubeRed,continuous_keypoint_yaw,-4.31,4.31,4.31,smooth
7.4254,CubeBlue,continuous_keypoint_yaw,-80.00,80.00,10.00,instant
8.3703,CubeRed,continuous_keypoint_yaw,8.43,8.43,8.43,smooth
12.3849,CubeBlue,continuous_keypoint_yaw,-65.17,65.17,24.83,instant
13.1482,CubeRed,continuous_keypoint_yaw,3.87,3.87,3.87,smooth
16.4513,CubeBlue,continuous_keypoint_yaw,-71.72,71.72,18.28,instant
18.7742,CubeRed,continuous_keypoint_yaw,8.57,8.57,8.57,smooth
21.2735,CubeRed,post_release_keypoint_yaw,0.34,0.34,0.34,smooth
21.2738,CubeBlue,continuous_keypoint_yaw,-98.28,98.28,8.28,instant
27.2760,CubeBlue,continuous_keypoint_yaw,-60.80,60.80,29.20,instant
27.2763,CubeRed,continuous_keypoint_yaw,9.74,9.74,9.74,smooth
31.1651,CubeRed,continuous_keypoint_yaw,14.35,14.35,14.35,smooth
31.9409,CubeBlue,continuous_keypoint_yaw,-41.66,41.66,41.66,instant
36.7595,CubeBlue,continuous_keypoint_yaw,-38.53,38.53,38.53,instant
37.9150,CubeRed,continuous_keypoint_yaw,9.15,9.15,9.15,smooth
40.2500,CubeBlue,continuous_keypoint_yaw,-40.78,40.78,40.78,instant
41.2244,CubeRed,continuous_keypoint_yaw,9.16,9.16,9.16,smooth
