time_s,tracker_id,pos_x,pos_y,pos_z,rot_y,is_gripping,down_face_x,down_face_y,down_face_z
0.0033,CubeBlue,0.0932,0.7255,0.4093,28.92,0,0.00,-1.00,0.00
0.0035,CubeRed,-0.0830,0.7092,0.2643,348.52,0,0.00,-1.00,0.00
0.0354,CubeBlue,0.0932,0.7255,0.4093,28.92,0,0.00,-1.00,0.00
0.0356,CubeRed,-0.0830,0.7092,0.2643,348.49,0,0.00,-1.00,0.00
0.0914,CubeBlue,0.0932,0.7255,0.4093,28.92,0,0.00,-1.00,0.00
0.0916,CubeRed,-0.0830,0.7092,0.2643,348.48,0,0.00,-1.00,0.00
0.2058,CubeBlue,0.0932,0.7255,0.4093,28.91,0,0.00,-1.00,0.00
0.2061,CubeRed,-0.0830,0.7092,0.2643,348.47,0,0.00,-1.00,0.00
0.2447,CubeBlue,0.0932,0.7255,0.4093,28.91,0,0.00,-1.00,0.00
0.2453,CubeRed,-0.0830,0.7092,0.2643,348.44,0,0.00,-1.00,0.00
0.2968,CubeBlue,0.0932,0.7255,0.4093,28.91,0,0.00,-1.00,0.00
0.2969,CubeRed,-0.0830,0.7092,0.2643,348.44,0,0.00,-1.00,0.00
0.4104,CubeBlue,0.0932,0.7255,0.4093,28.91,0,0.00,-1.00,0.00
0.4107,CubeRed,-0.0830,0.7092,0.2643,348.41,0,0.00,-1.00,0.00
0.4370,CubeBlue,0.0932,0.7255,0.4093,28.91,0,0.00,-1.00,0.00
0.4372,CubeRed,-0.0830,0.7092,0.2643,348.38,0,0.00,-1.00,0.00
0.4913,CubeBlue,0.0932,0.7255,0.4093,28.91,0,0.00,-1.00,0.00
0.4915,CubeRed,-0.0830,0.7092,0.2643,348.38,0,0.00,-1.00,0.00
0.6055,CubeBlue,0.0932,0.7255,0.4093,28.92,0,0.00,-1.00,0.00
0.6057,CubeRed,-0.0887,0.7255,0.2730,348.37,0,0.00,-1.00,0.00
0.6323,CubeBlue,0.0932,0.7255,0.4093,28.92,0,0.00,-1.00,0.00
0.6325,CubeRed,-0.0887,0.7255,0.2730,348.34,0,0.00,-1.00,0.00
0.6865,CubeBlue,0.0932,0.7255,0.4093,28.92,0,0.00,-1.00,0.00
0.6886,CubeRed,-0.0887,0.7255,0.2730,348.33,0,0.00,-1.00,0.00
0.8007,CubeBlue,0.0932,0.7255,0.4093,28.92,0,0.00,-1.00,0.00
0.8010,CubeRed,-0.0887,0.7255,0.2730,348.32,0,0.00,-1.00,0.00
0.8275,CubeBlue,0.0932,0.7255,0.4093,28.92,0,0.00,-1.00,0.00
0.8279,CubeRed,-0.0887,0.7255,0.2730,348.29,0,0.00,-1.00,0.00
0.8807,CubeBlue,0.0932,0.7255,0.4093,28.92,0,0.00,-1.00,0.00
0.8809,CubeRed,-0.0887,0.7255,0.2730,348.29,0,0.00,-1.00,0.00
0.9943,CubeBlue,0.0932,0.7255,0.4093,28.92,0,0.00,-1.00,0.00
0.9945,CubeRed,-0.0887,0.7255,0.2730,348.28,0,0.00,-1.00,0.00
1.0219,CubeBlue,0.0932,0.7255,0.4093,28.91,0,0.00,-1.00,0.00
1.0221,CubeRed,-0.0887,0.7255,0.2730,348.25,0,0.00,-1.00,0.00
1.0754,CubeBlue,0.0932,0.7255,0.4093,28.91,0,0.00,-1.00,0.00
1.0755,CubeRed,-0.0887,0.7255,0.2730,348.25,0,0.00,-1.00,0.00
1.1883,CubeBlue,0.0932,0.7255,0.4093,29.83,0,0.00,-1.00,0.00
1.1886,CubeRed,-0.0887,0.7255,0.2730,348.24,0,0.00,-1.00,0.00
1.2156,CubeBlue,0.0932,0.7255,0.4093,30.94,0,0.00,-1.00,0.00
1.2159,CubeRed,-0.0887,0.7255,0.2730,348.22,0,0.00,-1.00,0.00
1.2723,CubeBlue,0.0932,0.7255,0.4093,31.06,0,0.00,-1.00,0.00
1.2724,CubeRed,-0.0887,0.7255,0.2730,348.21,0,0.00,-1.00,0.00
1.3815,CubeBlue,0.0932,0.7255,0.4093,31.06,0,0.00,-1.00,0.00
1.3818,CubeRed,-0.0887,0.7255,0.2730,339.90,0,0.00,-1.00,0.00
1.4116,CubeBlue,0.0932,0.7255,0.4093,31.06,0,0.00,-1.00,0.00
1.4121,CubeRed,-0.0887,0.7255,0.2730,339.88,0,0.00,-1.00,0.00
1.4647,CubeBlue,0.0932,0.7255,0.4093,31.06,0,0.00,-1.00,0.00
1.4649,CubeRed,-0.0887,0.7255,0.2730,339.87,0,0.00,-1.00,0.00
1.5765,CubeBlue,0.0932,0.7255,0.4093,31.06,0,0.00,-1.00,0.00
1.5768,CubeRed,-0.0887,0.7255,0.2730,339.86,0,0.00,-1.00,0.00
1.6052,CubeBlue,0.0932,0.7255,0.4093,31.06,0,0.00,-1.00,0.00
1.6053,CubeRed,-0.0887,0.7255,0.2730,339.85,0,0.00,-1.00,0.00
1.6594,CubeBlue,0.0932,0.7255,0.4093,31.06,0,0.00,-1.00,0.00
1.6595,CubeRed,-0.0887,0.7255,0.2730,339.85,0,0.00,-1.00,0.00
1.7710,CubeBlue,0.0932,0.7255,0.4093,31.06,0,0.00,-1.00,0.00
1.7713,CubeRed,-0.0887,0.7255,0.2730,339.84,0,0.00,-1.00,0.00
1.7998,CubeBlue,0.0932,0.7255,0.4093,31.05,0,0.00,-1.00,0.00
1.8000,CubeRed,-0.0887,0.7255,0.2730,339.82,0,0.00,-1.00,0.00
