time_s,tracker_id,qx,qy,qz,qw,raw_grip
0.0032,CubeBlue,0.0060,0.2445,0.0343,0.9690,0
0.0034,CubeRed,0.0190,-0.4402,-0.1280,0.8885,0
0.0353,CubeBlue,0.0066,0.2444,0.0341,0.9690,0
0.0356,CubeRed,0.0186,-0.4405,-0.1238,0.8890,0
0.0913,CubeBlue,0.0067,0.2444,0.0337,0.9691,0
0.0916,CubeRed,0.0185,-0.4405,-0.1228,0.8891,0
0.2057,CubeBlue,0.0060,0.2445,0.0346,0.9690,0
0.2060,CubeRed,0.0184,-0.4406,-0.1217,0.8892,0
0.2447,CubeBlue,0.0062,0.2444,0.0345,0.9690,0
0.2452,CubeRed,0.0179,-0.4408,-0.1175,0.8897,0
0.2967,CubeBlue,0.0066,0.2444,0.0342,0.9690,0
0.2969,CubeRed,0.0179,-0.4408,-0.1175,0.8897,0
0.4103,CubeBlue,0.0061,0.2445,0.0345,0.9690,0
0.4106,CubeRed,0.0176,-0.4409,-0.1144,0.8901,0
0.4369,CubeBlue,0.0063,0.2444,0.0345,0.9690,0
0.4372,CubeRed,0.0173,-0.4411,-0.1111,0.8904,0
0.4913,CubeBlue,0.0066,0.2444,0.0345,0.9690,0
0.4915,CubeRed,0.0173,-0.4411,-0.1111,0.8904,0
0.6054,CubeBlue,0.0065,0.2444,0.0342,0.9690,0
0.6056,CubeRed,0.0171,-0.4412,-0.1090,0.8906,0
0.6323,CubeBlue,0.0060,0.2445,0.0339,0.9690,0
0.6325,CubeRed,0.0167,-0.4414,-0.1048,0.8910,0
0.6865,CubeBlue,0.0062,0.2445,0.0343,0.9690,0
0.6886,CubeRed,0.0166,-0.4414,-0.1037,0.8911,0
0.8007,CubeBlue,0.0066,0.2445,0.0341,0.9690,0
0.8009,CubeRed,0.0165,-0.4415,-0.1027,0.8912,0
0.8274,CubeBlue,0.0066,0.2444,0.0340,0.9690,0
0.8279,CubeRed,0.0161,-0.4417,-0.0984,0.8916,0
0.8807,CubeBlue,0.0067,0.2444,0.0332,0.9691,0
0.8809,CubeRed,0.0161,-0.4417,-0.0984,0.8916,0
0.9941,CubeBlue,0.0064,0.2444,0.0341,0.9690,0
0.9945,CubeRed,0.0159,-0.4418,-0.0963,0.8918,0
1.0218,CubeBlue,0.0059,0.2444,0.0348,0.9690,0
1.0221,CubeRed,0.0155,-0.4419,-0.0931,0.8921,0
1.0753,CubeBlue,0.0061,0.2444,0.0349,0.9690,0
1.0755,CubeRed,0.0154,-0.4420,-0.0920,0.8922,0
1.1882,CubeBlue,0.0061,0.2444,0.0346,0.9690,0
1.1885,CubeRed,0.0152,-0.4420,-0.0899,0.8924,0
1.2156,CubeBlue,0.0060,0.2444,0.0344,0.9690,0
1.2158,CubeRed,0.0149,-0.4421,-0.0866,0.8926,0
1.2722,CubeBlue,0.0060,0.2444,0.0344,0.9690,0
1.2724,CubeRed,0.0148,-0.4422,-0.0856,0.8927,0
1.3814,CubeBlue,0.0055,0.2444,0.0342,0.9690,0
1.3818,CubeRed,0.0147,-0.4422,-0.0845,0.8928,0
1.4115,CubeBlue,0.0051,0.2444,0.0345,0.9690,0
1.4121,CubeRed,0.0142,-0.4423,-0.0802,0.8931,0
1.4646,CubeBlue,0.0057,0.2444,0.0347,0.9690,0
1.4649,CubeRed,0.0141,-0.4424,-0.0791,0.8932,0
1.5764,CubeBlue,0.0062,0.2444,0.0342,0.9690,0
1.5768,CubeRed,0.0139,-0.4425,-0.0770,0.8934,0
1.6050,CubeBlue,0.0064,0.2444,0.0339,0.9691,0
1.6053,CubeRed,0.0137,-0.4425,-0.0748,0.8935,0
1.6593,CubeBlue,0.0057,0.2444,0.0344,0.9690,0
1.6595,CubeRed,0.0136,-0.4425,-0.0738,0.8936,0
1.7709,CubeBlue,0.0059,0.2444,0.0341,0.9691,0
1.7712,CubeRed,0.0133,-0.4426,-0.0716,0.8938,0
1.7997,CubeBlue,0.0062,0.2444,0.0341,0.9691,0
1.7999,CubeRed,0.0130,-0.4427,-0.0684,0.8940,0
1.8557,CubeBlue,0.0062,0.2444,0.0341,0.9691,0
1.8559,CubeRed,0.0129,-0.4427,-0.0673,0.8941,0
1.9657,CubeBlue,0.0059,0.2444,0.0344,0.9691,0
1.9660,CubeRed,0.0126,-0.4427,-0.0651,0.8942,0
1.9949,CubeBlue,0.0058,0.2443,0.0345,0.9691,0
1.9953,CubeRed,0.0123,-0.4428,-0.0619,0.8944,0
2.0481,CubeBlue,0.0055,0.2444,0.0339,0.9691,0
2.0483,CubeRed,0.0123,-0.4428,-0.0619,0.8944,0
2.1614,CubeBlue,0.0057,0.2444,0.0339,0.9691,0
2.1615,CubeRed,0.0120,-0.4429,-0.0586,0.8946,0
2.1880,CubeBlue,0.0069,0.2443,0.0336,0.9691,0
2.1882,CubeRed,0.0117,-0.4430,-0.0554,0.8948,0
2.2420,CubeBlue,0.0071,0.2443,0.0344,0.9691,0
2.2421,CubeRed,0.0115,-0.4430,-0.0543,0.8948,0
2.3538,CubeBlue,0.0066,0.2443,0.0349,0.9690,0
2.3539,CubeRed,0.0113,-0.4431,-0.0521,0.8949,0
2.3820,CubeBlue,0.0059,0.2443,0.0343,0.9691,0
2.3822,CubeRed,0.0111,-0.4431,-0.0500,0.8950,0
2.4363,CubeBlue,0.0059,0.2443,0.0343,0.9691,0
2.4364,CubeRed,0.0108,-0.4431,-0.0489,0.8951,0
2.5477,CubeBlue,0.0065,0.2443,0.0347,0.9691,0
2.5481,CubeRed,0.0108,-0.4432,-0.0467,0.8952,0
2.5769,CubeBlue,0.0058,0.2443,0.0344,0.9691,0
2.5774,CubeRed,0.0102,-0.4432,-0.0425,0.8953,0
2.6308,CubeBlue,0.0050,0.2443,0.0336,0.9691,0
2.6309,CubeRed,0.0100,-0.4433,-0.0414,0.8954,0
2.7426,CubeBlue,0.0063,0.2443,0.0344,0.9691,0
2.7428,CubeRed,0.0101,-0.4433,-0.0403,0.8954,0
2.7716,CubeBlue,0.0067,0.2443,0.0341,0.9691,0
2.7719,CubeRed,0.0097,-0.4433,-0.0371,0.8955,0
2.8249,CubeBlue,0.0060,0.2443,0.0346,0.9691,0
