time_s,tracker_id,path,raw_offset_deg,abs_error_deg,sym_error_deg,calib_type
3.4115,CubeBlue,continuous_keypoint_yaw,0.23,0.23,0.23,smooth
6.2995,CubeBlue,continuous_keypoint_yaw,1.50,1.50,1.50,smooth
9.4077,CubeBlue,continuous_keypoint_yaw,-2.80,2.80,2.80,smooth
11.9372,CubeBlue,continuous_keypoint_yaw,-5.16,5.16,5.16,smooth
13.8826,CubeRed,continuous_keypoint_yaw,-13.75,13.75,13.75,smooth
14.4627,CubeBlue,continuous_keypoint_yaw,-8.41,8.41,8.41,smooth
17.3816,CubeRed,continuous_keypoint_yaw,-4.09,4.09,4.09,smooth
19.9076,CubeRed,continuous_keypoint_yaw,-17.03,17.03,17.03,instant
20.4929,CubeBlue,post_release_keypoint_yaw,29.98,29.98,29.98,instant
22.4369,CubeRed,continuous_keypoint_yaw,-16.49,16.49,16.49,instant
24.9490,CubeRed,continuous_keypoint_yaw,-15.84,15.84,15.84,instant
24.9493,CubeBlue,continuous_keypoint_yaw,19.85,19.85,19.85,instant
27.4794,CubeBlue,continuous_keypoint_yaw,14.20,14.20,14.20,smooth
30.0023,CubeBlue,continuous_keypoint_yaw,12.94,12.94,12.94,smooth
32.5200,CubeBlue,continuous_keypoint_yaw,11.44,11.44,11.44,smooth
32.7146,CubeRed,post_release_keypoint_yaw,-8.33,8.33,8.33,smooth
35.4370,CubeBlue,continuous_keypoint_yaw,16.65,16.65,16.65,instant
36.2117,CubeRed,post_release_keypoint_yaw,-11.21,11.21,11.21,smooth
