time_s,head_px,head_py,head_pz,head_rx,head_ry,head_rz,head_rw,handR_px,handR_py,handR_pz,handR_rx,handR_ry,handR_rz,handR_rw,handL_px,handL_py,handL_pz,handL_rx,handL_ry,handL_rz,handL_rw,gaze_x,gaze_y,gaze_z
0.0469,-0.0426,1.1408,-0.0145,0.1125,-0.0772,0.0291,0.9902,0.0595,0.8886,0.3149,0.0677,0.2414,0.3390,-0.9068,-0.1291,0.6341,0.1069,-0.2119,-0.2255,-0.1835,-0.9330,-0.1464,-0.2272,0.9628
0.1306,-0.0424,1.1403,-0.0154,0.1142,-0.0793,0.0290,0.9899,0.0826,0.8906,0.3047,0.0771,0.2165,0.3642,-0.9025,-0.1282,0.6337,0.1072,-0.2134,-0.2239,-0.1823,-0.9333,-0.1504,-0.2307,0.9613
0.1850,-0.0419,1.1399,-0.0165,0.1164,-0.0806,0.0281,0.9895,0.1131,0.8736,0.3017,0.1042,0.1861,0.3903,-0.8957,-0.1283,0.6347,0.1073,-0.2134,-0.2259,-0.1815,-0.9330,-0.1529,-0.2348,0.9599
0.2407,-0.0417,1.1394,-0.0180,0.1170,-0.0798,0.0292,0.9895,0.1288,0.8600,0.2945,0.1347,0.1595,0.4205,-0.8829,-0.1279,0.6350,0.1073,-0.2151,-0.2254,-0.1806,-0.9329,-0.1511,-0.2362,0.9599
0.3233,-0.0412,1.1373,-0.0184,0.1262,-0.0801,0.0298,0.9883,0.1459,0.8459,0.2860,0.1342,0.1458,0.4344,-0.8786,-0.1278,0.6345,0.1073,-0.2165,-0.2254,-0.1799,-0.9327,-0.1507,-0.2543,0.9553
0.3793,-0.0410,1.1364,-0.0182,0.1306,-0.0823,0.0296,0.9876,0.1545,0.8291,0.2655,0.1331,0.0770,0.5056,-0.8490,-0.1283,0.6351,0.1071,-0.2169,-0.2269,-0.1794,-0.9324,-0.1549,-0.2628,0.9523
0.4353,-0.0409,1.1420,-0.0182,0.1049,-0.0846,0.0263,0.9905,0.1515,0.8187,0.2523,0.1127,0.0405,0.5404,-0.8329,-0.1286,0.6352,0.1066,-0.2158,-0.2273,-0.1790,-0.9326,-0.1621,-0.2122,0.9637
0.5181,-0.0402,1.1514,-0.0211,0.0530,-0.0855,0.0191,0.9947,0.1511,0.8154,0.2390,0.0599,0.0160,0.6035,-0.7950,-0.1289,0.6338,0.1066,-0.2150,-0.2274,-0.1800,-0.9325,-0.1680,-0.1087,0.9798
0.5741,-0.0383,1.1617,-0.0256,0.0026,-0.0859,0.0125,0.9962,0.1496,0.8098,0.2396,0.0874,0.0424,0.5885,-0.8027,-0.1286,0.6345,0.1056,-0.2137,-0.2277,-0.1806,-0.9327,-0.1711,-0.0072,0.9852
0.6302,-0.0372,1.1622,-0.0272,-0.0010,-0.0831,0.0160,0.9964,0.1494,0.8091,0.2399,0.1021,0.0500,0.5956,-0.7952,-0.1282,0.6349,0.1052,-0.2139,-0.2267,-0.1806,-0.9329,-0.1657,-0.0007,0.9862
0.7122,-0.0371,1.1542,-0.0262,0.0474,-0.0820,0.0258,0.9952,0.1516,0.8118,0.2398,0.1084,0.0521,0.5937,-0.7956,-0.1280,0.6357,0.1057,-0.2153,-0.2266,-0.1799,-0.9327,-0.1608,-0.0987,0.9820
0.7691,-0.0373,1.1436,-0.0257,0.0956,-0.0852,0.0331,0.9912,0.1511,0.8174,0.2409,0.1186,0.0651,0.5880,-0.7975,-0.1270,0.6381,0.1052,-0.2157,-0.2249,-0.1803,-0.9330,-0.1626,-0.1953,0.9672
0.8246,-0.0387,1.1359,-0.0250,0.1410,-0.0928,0.0353,0.9850,0.1499,0.8211,0.2404,0.1273,0.0745,0.5833,-0.7988,-0.1274,0.6393,0.1045,-0.2149,-0.2249,-0.1811,-0.9330,-0.1729,-0.2844,0.9430
0.9073,-0.0397,1.1363,-0.0255,0.1382,-0.1007,0.0337,0.9847,0.1471,0.8273,0.2362,0.1267,0.0749,0.5740,-0.8055,-0.1274,0.6387,0.1048,-0.2158,-0.2261,-0.1773,-0.9332,-0.1890,-0.2789,0.9415
0.9628,-0.0397,1.1423,-0.0252,0.1217,-0.1029,0.0298,0.9868,0.1464,0.8318,0.2307,0.1372,0.0914,0.5748,-0.8015,-0.1274,0.6374,0.1041,-0.2148,-0.2259,-0.1785,-0.9333,-0.1958,-0.2463,0.9492
1.0178,-0.0367,1.1527,-0.0273,0.0710,-0.0852,0.0311,0.9933,0.1459,0.8362,0.2272,0.1447,0.1021,0.5778,-0.7967,-0.1276,0.6367,0.1033,-0.2114,-0.2268,-0.1785,-0.9338,-0.1649,-0.1464,0.9754
1.1013,-0.0332,1.1538,-0.0282,0.0614,-0.0609,0.0341,0.9957,0.1436,0.8422,0.2207,0.1674,0.1338,0.5865,-0.7811,-0.1276,0.6359,0.1032,-0.2088,-0.2278,-0.1770,-0.9344,-0.1171,-0.1265,0.9850
1.1568,-0.0289,1.1504,-0.0288,0.0688,-0.0375,0.0380,0.9962,0.1509,0.8404,0.2226,0.2795,0.1049,0.5859,-0.7534,-0.1274,0.6366,0.1033,-0.2108,-0.2273,-0.1761,-0.9343,-0.0694,-0.1399,0.9877
1.2128,-0.0269,1.1427,-0.0265,0.1173,-0.0252,0.0403,0.9920,0.1562,0.8401,0.2232,0.3461,0.0523,0.6207,-0.7016,-0.1270,0.6383,0.1029,-0.2106,-0.2277,-0.1732,-0.9348,-0.0405,-0.2347,0.9712
