start_time_s,end_time_s,duration_s,tracker_id,start_x,start_y,start_z,end_x,end_y,end_z,path_length_m,avg_speed_mps,max_speed_mps,release_type,final_contact_level
17.4110,17.4671,0.0561,CubeRed,-0.1629,0.7157,0.3362,-0.0698,0.7083,0.3339,0.0000,0.0000,0.0000,placement,Resting
17.4672,17.5758,0.1085,CubeRed,-0.1642,0.7159,0.3355,-0.0698,0.7083,0.3339,0.0000,0.0537,0.0537,placement,Resting
17.5760,17.6054,0.0294,CubeRed,-0.1653,0.7174,0.3364,-0.0698,0.7083,0.3339,0.0000,0.0366,0.0366,placement,Resting
18.1920,18.2442,0.0522,CubeRed,-0.2048,0.7083,0.3743,-0.0698,0.7083,0.3339,0.0000,0.0000,0.0000,placement,Resting
18.2444,18.3561,0.1117,CubeRed,-0.1995,0.7263,0.3749,-0.0826,0.7083,0.3447,0.0000,0.5996,0.5996,drop,Resting
18.3562,18.3840,0.0278,CubeRed,-0.1929,0.7305,0.3799,-0.0826,0.7083,0.3447,0.0000,0.1806,0.1806,placement,Resting
18.3841,18.4384,0.0542,CubeRed,-0.1843,0.7285,0.3885,-0.0826,0.7083,0.3447,0.0000,0.1104,0.1104,placement,Resting
18.4385,18.5469,0.1084,CubeRed,-0.1949,0.7423,0.3765,-0.0826,0.7083,0.3447,0.0000,0.7671,0.7671,placement,Resting
18.5470,18.5767,0.0296,CubeRed,-0.1944,0.7418,0.3740,-0.0826,0.7083,0.3447,0.0000,0.0473,0.0473,placement,Resting
18.5768,18.6356,0.0588,CubeRed,-0.1879,0.7375,0.3761,-0.0826,0.7083,0.3447,0.0000,0.0734,0.0734,placement,Resting
18.6357,18.7441,0.1083,CubeRed,-0.1727,0.7341,0.3823,-0.0826,0.7083,0.3447,0.0000,0.5996,0.5996,placement,Resting
18.7443,18.7743,0.0300,CubeRed,-0.1417,0.7249,0.4009,-0.0826,0.7083,0.3447,0.0000,0.6312,0.6312,placement,Resting
18.7748,18.8278,0.0530,CubeRed,-0.0714,0.7227,0.4351,-0.0826,0.7083,0.3447,0.0000,0.6862,0.6862,placement,Resting
18.8279,18.9382,0.1103,CubeRed,0.0536,0.7798,0.4799,-0.0826,0.7083,0.3447,0.0000,5.6613,5.6613,placement,Resting
18.9384,18.9659,0.0275,CubeRed,0.1299,0.8420,0.4844,-0.0826,0.7083,0.3447,0.0000,1.8739,1.8739,placement,Resting
18.9660,19.0212,0.0552,CubeRed,0.1850,0.9487,0.4645,-0.0826,0.7083,0.3447,0.0000,1.0937,1.0937,placement,Resting
19.0213,19.1296,0.1082,CubeRed,0.3075,0.8495,0.4111,-0.0826,0.7083,0.3447,0.0000,6.2450,6.2450,placement,Resting
30.9653,30.9655,0.0001,CubeBlue,0.1286,0.6923,0.3548,-0.0892,0.7083,0.4543,0.0000,0.0000,0.0000,placement,Resting
30.9956,30.9961,0.0005,CubeBlue,0.1353,0.7702,0.3920,-0.0892,0.7083,0.4543,0.0000,0.7756,0.7756,placement,Resting
31.0488,31.0489,0.0001,CubeBlue,0.1455,0.9021,0.4144,-0.0892,0.7083,0.4543,0.0000,4.3921,4.3921,placement,Resting
31.1607,31.1609,0.0001,CubeBlue,0.1523,0.9675,0.4161,-0.0892,0.7083,0.4543,0.0000,1.2522,1.2522,placement,Resting
31.1895,31.1897,0.0001,CubeBlue,0.1637,1.0101,0.4031,-0.0892,0.7083,0.4543,0.0000,0.4087,0.4087,placement,Resting
31.2444,31.2446,0.0001,CubeBlue,0.1374,0.9793,0.4231,-0.0892,0.7083,0.4543,0.0000,1.5228,1.5228,placement,Resting
31.3549,31.3551,0.0002,CubeBlue,0.1348,0.9417,0.4442,-0.0892,0.7083,0.4543,0.0000,0.8099,0.8099,placement,Resting
31.3830,31.3831,0.0001,CubeBlue,0.1330,0.8888,0.4742,-0.0892,0.7083,0.4543,0.0000,0.5478,0.5478,placement,Resting
31.4372,31.4373,0.0001,CubeBlue,0.1219,0.7673,0.4983,-0.0892,0.7083,0.4543,0.0000,4.4586,4.4586,placement,Resting
34.4622,34.4624,0.0002,CubeBlue,0.1367,0.7265,0.4405,-0.0892,0.7083,0.4543,0.0000,0.0000,0.0000,placement,Resting
34.4952,34.4956,0.0004,CubeBlue,0.1069,0.7863,0.3974,-0.0892,0.7083,0.4543,0.0000,0.7359,0.7359,placement,Resting
34.5494,34.5496,0.0001,CubeBlue,0.0693,0.8284,0.2942,-0.0892,0.7083,0.4543,0.0000,3.5808,3.5808,placement,Resting
34.6602,34.6605,0.0002,CubeBlue,0.0419,0.8194,0.2455,-0.0892,0.7083,0.4543,0.0000,1.0540,1.0540,placement,Resting
34.6885,34.6886,0.0001,CubeBlue,0.0381,0.7910,0.2371,-0.0892,0.7083,0.4543,0.0000,0.2615,0.2615,placement,Resting
34.7455,34.7456,0.0001,CubeBlue,0.0282,0.7334,0.2284,-0.0892,0.7083,0.4543,0.0000,2.3656,2.3656,placement,Resting
34.8583,34.8585,0.0002,CubeBlue,0.0359,0.6837,0.2338,-0.0892,0.7083,0.4543,0.0000,0.8818,0.8818,placement,Resting
