time_s,tracker_id,bbox_x,bbox_y,bbox_w,bbox_h,bbox_score,kp0_x,kp0_y,kp0_v,kp1_x,kp1_y,kp1_v,kp2_x,kp2_y,kp2_v,kp3_x,kp3_y,kp3_v,calib_status
0.1109,Blue,715.61,800.28,90.78,113.25,0.720,747.47,767.31,1.000,691.70,764.07,1.000,685.05,802.24,1.000,739.19,803.92,1.000,ongoing
0.1112,Red,777.52,924.58,116.66,96.82,0.711,794.93,906.56,1.000,746.31,913.87,1.000,757.72,946.50,1.000,807.62,939.91,1.000,ongoing
0.3012,Blue,621.03,788.31,87.29,114.86,0.716,651.48,760.24,1.000,596.49,754.30,1.000,587.09,789.98,1.000,637.39,796.87,1.000,ongoing
0.3015,Red,677.80,918.87,102.05,105.43,0.710,705.68,887.74,1.000,647.06,893.09,1.000,651.01,932.57,1.000,711.85,928.51,1.000,ongoing
0.4950,Red,617.66,913.43,117.22,122.45,0.725,637.85,878.61,1.000,582.78,887.07,1.000,592.96,929.05,1.000,652.06,914.29,1.000,ongoing
0.4954,Blue,558.32,785.89,88.34,113.53,0.718,587.45,752.64,1.000,532.64,751.37,1.000,526.88,788.02,1.000,579.93,789.54,1.000,ongoing
0.6902,Blue,582.50,777.44,92.73,118.86,0.721,612.38,746.41,1.000,557.63,741.16,1.000,546.58,782.48,1.000,608.68,785.40,1.000,ongoing
0.6905,Red,644.70,910.13,116.28,131.02,0.715,664.64,870.79,1.000,608.82,885.24,1.000,622.40,926.86,1.000,678.70,910.87,1.000,ongoing
0.6907,Red,1151.91,816.04,80.90,93.54,0.631,1146.90,811.03,1.000,1149.31,814.86,1.000,1150.74,813.78,1.000,1149.71,810.86,1.000,ongoing
0.8861,Red,701.61,901.51,116.48,132.57,0.725,728.98,856.60,1.000,666.58,866.48,1.000,674.96,911.84,1.000,739.15,897.15,1.000,ongoing
0.8864,Blue,640.34,765.32,90.47,114.86,0.720,663.84,729.64,1.000,609.11,736.09,1.000,608.98,773.61,1.000,664.86,768.25,1.000,ongoing
1.0794,Red,730.12,898.89,116.89,133.90,0.723,759.56,857.99,1.000,698.55,863.38,1.000,701.06,910.18,1.000,768.24,898.21,1.000,ongoing
1.0799,Blue,668.05,759.51,87.53,112.85,0.719,700.56,730.91,1.000,645.18,724.44,1.000,633.41,761.19,1.000,683.87,768.46,1.000,ongoing
1.2735,Red,730.58,902.36,116.76,130.41,0.723,758.02,862.66,1.000,697.98,867.61,1.000,700.14,912.94,1.000,765.98,902.80,1.000,ongoing
1.2738,Blue,669.83,763.82,87.71,110.48,0.720,697.71,727.13,1.000,641.65,730.87,1.000,640.83,770.15,1.000,697.14,765.19,1.000,ongoing
1.4679,Red,729.59,905.53,117.60,134.16,0.724,757.78,863.63,1.000,695.82,871.91,1.000,701.70,917.84,1.000,767.69,905.13,1.000,ongoing
1.4681,Blue,667.36,767.07,90.86,112.27,0.721,699.64,731.18,1.000,642.03,730.41,1.000,635.96,770.80,1.000,692.09,769.56,1.000,ongoing
1.6592,Red,734.89,913.36,118.66,120.33,0.723,761.10,874.17,1.000,701.75,884.95,1.000,712.14,927.36,1.000,771.69,913.34,1.000,ongoing
1.6596,Blue,673.51,777.65,90.87,115.17,0.717,702.15,741.47,1.000,645.48,743.35,1.000,644.12,781.13,1.000,699.01,780.51,1.000,ongoing
1.8567,Red,731.39,912.45,120.17,123.68,0.722,755.03,878.81,1.000,702.21,885.90,1.000,710.31,923.48,1.000,763.41,912.21,1.000,ongoing
1.8570,Blue,671.59,775.32,89.12,111.55,0.715,700.99,742.92,1.000,645.75,740.72,1.000,640.66,777.86,1.000,693.16,781.63,1.000,ongoing
2.0484,Red,732.13,909.78,116.66,127.29,0.722,761.99,873.07,1.000,703.04,877.10,1.000,706.88,919.66,1.000,767.76,910.58,1.000,ongoing
2.0486,Blue,671.09,772.63,88.13,112.31,0.714,697.84,741.87,1.000,647.17,741.77,1.000,640.55,776.70,1.000,691.62,777.91,1.000,ongoing
2.2464,Red,746.14,907.52,119.85,131.09,0.721,767.19,876.13,1.000,716.31,884.05,1.000,725.49,918.88,1.000,778.91,911.49,1.000,ongoing
2.2466,Blue,685.82,769.80,88.46,112.37,0.720,712.37,740.43,1.000,662.92,738.14,1.000,654.01,771.50,1.000,702.24,774.26,1.000,ongoing
2.4391,Red,746.78,912.45,119.23,124.09,0.725,770.98,878.27,1.000,715.45,884.90,1.000,724.03,925.43,1.000,782.54,913.68,1.000,ongoing
2.4394,Blue,687.23,774.00,89.49,110.91,0.715,715.72,741.95,1.000,661.49,740.54,1.000,656.02,777.72,1.000,711.69,781.46,1.000,ongoing
2.6336,Red,759.25,910.79,122.37,127.41,0.724,789.67,871.07,1.000,725.47,877.64,1.000,734.45,922.69,1.000,797.30,912.52,1.000,ongoing
2.6338,Blue,695.99,771.74,93.13,115.61,0.719,729.43,740.89,1.000,671.34,734.86,1.000,661.46,777.31,1.000,722.10,779.09,1.000,ongoing
2.8294,Red,750.08,902.93,119.76,134.25,0.725,776.55,860.91,1.000,716.68,869.46,1.000,725.24,912.73,1.000,786.85,900.56,1.000,ongoing
2.8295,Blue,689.48,761.69,92.60,115.23,0.718,719.41,726.95,1.000,663.61,726.95,1.000,660.07,764.11,1.000,716.32,765.31,1.000,ongoing
3.0235,Red,747.38,893.28,119.51,135.52,0.723,765.91,860.27,1.000,717.49,869.32,1.000,728.50,902.32,1.000,778.79,892.46,1.000,ongoing
3.0237,Blue,686.46,753.48,88.56,114.11,0.719,716.42,719.81,1.000,660.71,718.26,1.000,654.96,755.07,1.000,708.51,757.27,1.000,ongoing
3.2185,Red,760.75,891.85,119.34,124.76,0.724,789.19,856.18,1.000,730.18,865.16,1.000,737.72,907.88,1.000,800.63,894.89,1.000,ongoing
3.2187,Blue,695.94,754.64,92.69,115.03,0.719,724.52,720.60,1.000,670.51,719.07,1.000,665.40,758.69,1.000,723.01,757.39,1.000,ongoing
3.4111,Blue,715.90,764.75,93.14,114.36,0.720,749.99,731.05,1.000,693.07,728.56,1.000,685.61,767.40,1.000,743.96,770.48,1.000,ongoing
3.4114,Red,787.23,887.97,113.51,127.29,0.705,796.35,879.32,1.000,777.75,874.52,1.000,776.94,886.43,1.000,788.59,887.77,1.000,ongoing
3.6062,Blue,746.23,774.12,94.02,116.95,0.720,779.52,744.38,1.000,721.64,739.25,1.000,716.11,778.77,1.000,771.30,781.64,1.000,ongoing
3.6064,Red,840.26,859.50,106.43,116.61,0.704,838.63,857.81,1.000,835.40,854.92,1.000,832.78,859.02,1.000,841.77,859.95,1.000,ongoing
3.8011,Red,761.32,649.53,114.12,112.87,0.683,752.35,642.54,1.000,744.64,651.13,1.000,756.74,654.23,1.000,757.13,646.20,1.000,ongoing
3.9922,Red,634.01,648.39,64.46,79.99,0.679,627.04,647.59,1.000,629.62,649.94,1.000,635.66,650.82,1.000,633.44,645.06,1.000,ongoing
4.1930,Blue,810.33,840.32,94.79,93.96,0.652,818.87,836.79,1.000,815.45,831.37,1.000,808.00,837.34,1.000,809.78,838.60,1.000,ongoing
4.3855,Red,605.15,778.94,58.79,80.67,0.664,602.74,777.81,1.000,608.02,775.80,1.000,602.56,775.35,1.000,600.64,775.15,1.000,ongoing
