time_s,tracker_id,path,raw_offset_deg,abs_error_deg,sym_error_deg,calib_type
1.2738,CubeBlue,continuous_keypoint_yaw,21.80,21.80,21.80,instant
2.4390,CubeRed,continuous_keypoint_yaw,-27.53,27.53,27.53,instant
4.7698,CubeBlue,continuous_keypoint_yaw,28.24,28.24,28.24,instant
5.3573,CubeRed,continuous_keypoint_yaw,-24.46,24.46,24.46,instant
8.0782,CubeBlue,continuous_keypoint_yaw,28.70,28.70,28.70,instant
9.8285,CubeBlue,post_release_keypoint_yaw,23.16,23.16,23.16,instant
12.1611,CubeRed,post_release_keypoint_yaw,-15.75,15.75,15.75,instant
12.5522,CubeBlue,continuous_keypoint_yaw,16.11,16.11,16.11,instant
15.0768,CubeRed,continuous_keypoint_yaw,-7.81,7.81,7.81,smooth
15.0771,CubeBlue,continuous_keypoint_yaw,21.39,21.39,21.39,instant
18.7712,CubeRed,post_release_keypoint_yaw,-8.64,8.64,8.64,smooth
20.7165,CubeBlue,post_release_keypoint_yaw,37.24,37.24,37.24,instant
21.2996,CubeRed,continuous_keypoint_yaw,-16.90,16.90,16.90,instant
23.4376,CubeBlue,continuous_keypoint_yaw,23.84,23.84,23.84,instant
23.8280,CubeRed,continuous_keypoint_yaw,-15.92,15.92,15.92,instant
26.1600,CubeBlue,continuous_keypoint_yaw,25.41,25.41,25.41,instant
29.4665,CubeRed,post_release_keypoint_yaw,-2.03,2.03,2.03,smooth
29.8536,CubeBlue,continuous_keypoint_yaw,21.62,21.62,21.62,instant
31.9928,CubeRed,continuous_keypoint_yaw,-4.16,4.16,4.16,smooth
34.5184,CubeRed,continuous_keypoint_yaw,-7.04,7.04,7.04,smooth
