time_s,head_px,head_py,head_pz,head_rx,head_ry,head_rz,head_rw,handR_px,handR_py,handR_pz,handR_rx,handR_ry,handR_rz,handR_rw,handL_px,handL_py,handL_pz,handL_rx,handL_ry,handL_rz,handL_rw,gaze_x,gaze_y,gaze_z
0.0472,-0.0134,1.1417,-0.0313,0.1101,-0.0345,0.0254,0.9930,0.0703,0.7760,0.1889,0.1547,0.2441,0.4141,-0.8632,-0.1656,0.7903,0.0567,0.3239,-0.0450,-0.4298,-0.8416,-0.0629,-0.2205,0.9734
0.1297,-0.0105,1.1410,-0.0309,0.1118,-0.0177,0.0237,0.9933,0.0732,0.7659,0.1829,0.1757,0.1664,0.4329,-0.8683,-0.1586,0.7920,0.0555,0.3192,-0.0789,-0.3662,-0.8705,-0.0298,-0.2230,0.9744
0.1849,-0.0072,1.1404,-0.0303,0.1141,0.0027,0.0231,0.9932,0.0721,0.7644,0.1622,0.1957,0.2301,0.3707,-0.8782,-0.1715,0.8025,0.0735,0.3971,-0.1288,-0.2747,-0.8662,0.0107,-0.2265,0.9740
0.2410,-0.0058,1.1401,-0.0302,0.1153,0.0103,0.0232,0.9930,0.0814,0.7628,0.1611,0.2100,0.3352,0.3148,-0.8628,-0.1914,0.8076,0.0942,0.4773,-0.0918,-0.2294,-0.8433,0.0257,-0.2285,0.9732
0.3245,-0.0057,1.1402,-0.0294,0.1156,0.0036,0.0224,0.9930,0.0981,0.7651,0.1635,0.2507,0.2878,0.3190,-0.8675,-0.2054,0.8100,0.1089,0.5499,0.0051,-0.2529,-0.7960,0.0124,-0.2295,0.9732
0.3799,-0.0053,1.1400,-0.0291,0.1163,0.0009,0.0204,0.9930,0.1311,0.7874,0.1757,0.4260,0.0592,0.4885,-0.7592,-0.2004,0.8180,0.1071,0.5694,0.1738,-0.3830,-0.7063,0.0065,-0.2309,0.9730
0.4356,-0.0061,1.1400,-0.0286,0.1162,-0.0053,0.0209,0.9930,0.1590,0.8088,0.1838,0.4606,-0.0528,0.5095,-0.7249,-0.1941,0.8152,0.1021,0.5249,0.2344,-0.4586,-0.6777,-0.0057,-0.2310,0.9729
0.5189,-0.0082,1.1391,-0.0280,0.1189,-0.0152,0.0220,0.9925,0.1697,0.8273,0.1817,0.4567,-0.1531,0.5543,-0.6788,-0.1932,0.8102,0.0994,0.5177,0.1707,-0.4133,-0.7294,-0.0250,-0.2367,0.9713
0.5746,-0.0107,1.1381,-0.0275,0.1217,-0.0280,0.0227,0.9919,0.1641,0.8350,0.1743,0.4647,-0.1179,0.5279,-0.7011,-0.1770,0.7876,0.0837,0.4101,0.0394,-0.4848,-0.7715,-0.0500,-0.2427,0.9688
0.6301,-0.0124,1.1380,-0.0272,0.1221,-0.0381,0.0244,0.9915,0.1602,0.8296,0.1760,0.4352,-0.0818,0.5173,-0.7323,-0.1726,0.7762,0.0764,0.4133,-0.0478,-0.4197,-0.8067,-0.0697,-0.2440,0.9673
0.7128,-0.0136,1.1375,-0.0273,0.1239,-0.0433,0.0249,0.9910,0.1542,0.8235,0.1770,0.4452,-0.0461,0.4409,-0.7780,-0.1699,0.7804,0.0736,0.4140,-0.1175,-0.4031,-0.8076,-0.0797,-0.2477,0.9656
0.7686,-0.0153,1.1369,-0.0270,0.1251,-0.0525,0.0254,0.9904,0.1374,0.8196,0.1754,0.3806,0.1294,0.4252,-0.8109,-0.1716,0.7858,0.0724,0.4317,-0.1461,-0.3929,-0.7987,-0.0977,-0.2505,0.9632
0.8250,-0.0163,1.1368,-0.0268,0.1249,-0.0556,0.0249,0.9903,0.1154,0.8151,0.1723,0.3359,0.1961,0.4440,-0.8072,-0.1729,0.7921,0.0716,0.4387,-0.1560,-0.3800,-0.7993,-0.1038,-0.2502,0.9626
0.9085,-0.0164,1.1371,-0.0264,0.1247,-0.0517,0.0252,0.9905,0.1013,0.8111,0.1749,0.2360,0.2563,0.4283,-0.8338,-0.1751,0.7936,0.0740,0.4957,-0.1582,-0.3314,-0.7871,-0.0962,-0.2496,0.9636
0.9626,-0.0172,1.1371,-0.0256,0.1245,-0.0514,0.0259,0.9905,0.0940,0.8100,0.1821,0.2854,0.2004,0.4578,-0.8178,-0.1828,0.8070,0.0709,0.5772,-0.0126,-0.2976,-0.7603,-0.0954,-0.2493,0.9637
1.0192,-0.0179,1.1370,-0.0251,0.1254,-0.0518,0.0256,0.9904,0.0932,0.8127,0.1865,0.3198,0.1617,0.4728,-0.8050,-0.1878,0.8109,0.0697,0.5333,0.0909,-0.3116,-0.7812,-0.0962,-0.2511,0.9632
1.1015,-0.0188,1.1370,-0.0247,0.1246,-0.0499,0.0259,0.9906,0.0909,0.8129,0.1913,0.3729,0.0274,0.5553,-0.7429,-0.1918,0.8098,0.0690,0.4621,0.1736,-0.3362,-0.8021,-0.0925,-0.2495,0.9640
1.1578,-0.0200,1.1367,-0.0243,0.1238,-0.0491,0.0282,0.9907,0.0944,0.8062,0.1884,0.3571,0.0577,0.5190,-0.7745,-0.1935,0.8046,0.0628,0.4518,0.0964,-0.3561,-0.8123,-0.0904,-0.2480,0.9645
1.2134,-0.0204,1.1368,-0.0241,0.1244,-0.0498,0.0294,0.9905,0.0940,0.7977,0.1865,0.3285,0.0987,0.4898,-0.8015,-0.1906,0.8016,0.0553,0.4405,0.0087,-0.3397,-0.8309,-0.0913,-0.2494,0.9641
1.2966,-0.0204,1.1371,-0.0242,0.1235,-0.0508,0.0294,0.9906,0.0941,0.7877,0.1785,0.1904,0.2043,0.4127,-0.8670,-0.1779,0.7914,0.0482,0.4692,-0.0316,-0.3041,-0.8285,-0.0934,-0.2476,0.9643
1.3524,-0.0209,1.1379,-0.0240,0.1197,-0.0523,0.0298,0.9910,0.0973,0.7872,0.1677,0.2071,0.1902,0.4162,-0.8647,-0.1777,0.7900,0.0492,0.5027,-0.1236,-0.2525,-0.8174,-0.0965,-0.2405,0.9658
1.4080,-0.0212,1.1385,-0.0237,0.1182,-0.0526,0.0289,0.9912,0.1006,0.7826,0.1681,0.2316,0.1674,0.4382,-0.8522,-0.1810,0.7935,0.0518,0.4839,-0.1187,-0.2982,-0.8142,-0.0975,-0.2374,0.9665
1.4911,-0.0213,1.1382,-0.0234,0.1196,-0.0527,0.0294,0.9910,0.1043,0.7797,0.1680,0.2255,0.1697,0.4348,-0.8552,-0.1845,0.7905,0.0539,0.4805,-0.0783,-0.3039,-0.8189,-0.0975,-0.2401,0.9658
1.5470,-0.0214,1.1380,-0.0235,0.1198,-0.0525,0.0298,0.9910,0.1317,0.7891,0.1678,0.2707,0.1295,0.4596,-0.8359,-0.1969,0.7926,0.0555,0.4949,-0.0613,-0.3063,-0.8109,-0.0968,-0.2406,0.9658
1.6028,-0.0215,1.1382,-0.0236,0.1201,-0.0526,0.0310,0.9909,0.1494,0.8038,0.1689,0.3338,0.0512,0.4786,-0.8105,-0.1997,0.7992,0.0549,0.5190,-0.0199,-0.3202,-0.7923,-0.0967,-0.2412,0.9656
1.6848,-0.0211,1.1384,-0.0239,0.1203,-0.0515,0.0309,0.9909,0.1616,0.8209,0.1693,0.3977,0.0120,0.4917,-0.7745,-0.2004,0.8018,0.0566,0.5383,0.0825,-0.3571,-0.7589,-0.0947,-0.2417,0.9657
1.7423,-0.0207,1.1384,-0.0244,0.1206,-0.0509,0.0315,0.9909,0.1717,0.8328,0.1674,0.4619,0.0043,0.4791,-0.7464,-0.1983,0.8073,0.0570,0.5416,0.1052,-0.3477,-0.7581,-0.0932,-0.2421,0.9658
1.7974,-0.0204,1.1384,-0.0248,0.1200,-0.0515,0.0317,0.9909,0.1687,0.8378,0.1609,0.4781,-0.0014,0.4689,-0.7426,-0.1987,0.8062,0.0584,0.5393,0.1003,-0.3443,-0.7619,-0.0945,-0.2412,0.9659
1.8800,-0.0210,1.1381,-0.0253,0.1207,-0.0551,0.0307,0.9907,0.1626,0.8355,0.1579,0.4335,0.0144,0.4753,-0.7655,-0.1988,0.8041,0.0584,0.5236,0.0803,-0.3425,-0.7759,-0.1018,-0.2425,0.9648
